OBJECTID,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,DROOGVALLEND,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
1,W0665,Waterschap Zeeuwse Eilanden,bestaand,0,slik,,4.241,283,,2019/10/11 12:33:57+00,4.241082,12.3464200805632
2,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,1000.064,283,,2019/11/22 13:08:01+00,1000.063702,683.153907122827
3,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,835.973,283,,2019/11/22 13:08:01+00,835.9731595,275.588770155676
4,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,550.705,283,,2022/09/06 14:15:52+00,550.7046055,1222.82021617446
5,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,51.323,283,,2022/09/06 14:15:52+00,51.323055,200.886743355127
6,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,37.19,283,,2022/09/06 14:15:52+00,37.1900365,40.6483672713581
7,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,15.333,283,,2022/09/06 14:15:52+00,15.333065,37.5921061456233
8,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,375.536,283,,2022/09/06 14:15:52+00,375.5356745,721.49474212814
9,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,16.376,283,,2022/09/06 14:15:52+00,16.376137,38.3901407679333
10,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,850.013,283,,2022/09/06 14:15:52+00,850.012777,139.731218496973
11,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,10938.737,283,,2022/09/06 14:15:52+00,10938.736842,516.551483747703
12,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,4195.107,283,,2022/09/06 14:15:52+00,4195.107387,302.00981282403
13,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,1128.443,283,,2022/09/06 14:15:52+00,1128.442692,1134.48418170942
14,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,331.729,283,,2022/09/06 14:15:52+00,331.728857,72.2517401535158
15,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,62.679,283,,2022/09/06 14:15:52+00,62.6786605,37.5690104879973
16,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,86.779,283,,2022/09/06 14:15:52+00,86.779407,47.7361276371881
17,W0665,Waterschap Zeeuwse Eilanden,bestaand,0,slik,,3031.751,283,,2023/01/06 16:42:11+00,3030.368316205,1773.45954530408
18,W0665,Waterschap Zeeuwse Eilanden,bestaand,0,slik,,5.59,283,,2019/04/25 15:41:42+00,5.589886,11.1829455244282
19,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,58234.729,283,,2019/09/27 07:54:16+00,58234.729001,1357.66700518861
20,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,1017.941,283,,2019/09/27 07:54:16+00,1017.940546,142.573140650689
21,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,154696.016,283,,2019/09/27 07:54:16+00,154696.015948,2327.32904467634
22,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,slik,,9.111,283,,2022/09/06 14:15:52+00,9.1106705,44.7310017473278
