SOORTNAAM;WETENSCHAPPELIJKE_NAAM;AANTAL;STRAATNAAM;GROEIPLAATS;DATUM;JAAR;X_COORDINAAT;Y_COORDINAAT;LOCATIE_ID;COUNTER;X;Y;LONG;LAT
Gele Helmbloem;Pseudofumaria lutea;1;1e Sweelinckstraat 11;gevelvoet;20140811000000;2014;79796;455672;181730;1;79796;455672;4.2899940881704595;52.084201363206276
Gele Helmbloem;Pseudofumaria lutea;2;2e de Carpentierstraat 205-209;voet trap;20140826000000;2014;83228;455415;187611;2;83228;455415;4.340112068331546;52.082347273490825
Glansschildvaren;Polystichum polyblepharum;1;2e Schuytstraat, naast 292-306;hoge tuinmuur;20140829000000;2014;78948;455583;191561;3;78948;455583;4.277644011399981;52.08328571992107
Mannetjesvaren;Dryopteris filix-mas;16;2e Schuytstraat, naast 292-306;hoge tuinmuur;20140811000000;2014;78949;455581;181738;4;78949;455581;4.2776590441578;52.08326788394295
Muurvaren;Asplenium ruta-muraria;125;2e Schuytstraat, naast 292-306;hoge tuinmuur;20140811000000;2014;78949;455582;181739;5;78949;455582;4.277658821211489;52.08327687060882
Smal Venushaar;Adiantum diaphanum;2;2e Schuytstraat, naast 292-306;hoge tuinmuur;20140811000000;2014;78949;455582;181737;6;78949;455582;4.277658821211489;52.08327687060882
Tongvaren;Asplenium scolopendrium;7;2e Schuytstraat, naast 292-306;hoge tuinmuur;20140811000000;2014;78949;455582;181740;7;78949;455582;4.277658821211489;52.08327687060882
Gele Helmbloem;Pseudofumaria lutea;1;2e Schuytstraat, to 254;voet hoge tuinmuur;20140811000000;2014;79033;455558;181763;8;79033;455558;4.27888946277721;52.08307272180597
Muurvaren;Asplenium ruta-muraria;60;2e Sweelinckstraat 156, zijkant kerk;lage tuinmuur;20140811000000;2014;78918;455663;181741;9;78918;455663;4.277188562180755;52.08400053160937
Gele Helmbloem;Pseudofumaria lutea;30;2e van Blankenburgstraat, naast 82;lage tuinmuur;20140828000000;2014;79360;455666;188615;10;79360;455666;4.283635403587663;52.08408805116604
Gele Helmbloem;Pseudofumaria lutea;6;Abcoudestraat 25-29;gevelvoet en terrestrisch;20140829000000;2014;78499;452729;191582;11;78499;452729;4.271734149374981;52.05757591293532
Gele Helmbloem;Pseudofumaria lutea;2;Adelheidstraat 43;gevelvoet;20140826000000;2014;82573;455600;187637;12;82573;455600;4.330518454855995;52.083924541572834
Gele Helmbloem;Pseudofumaria lutea;30;Akeleistraat 16 en 18;lage tuinmuur en bestrating;20140827000000;2014;77365;454344;188654;13;77365;454344;4.254835034677736;52.0719316069829
Muurvaren;Asplenium ruta-muraria;14;Akkerwindestraat naar 31-33;lage tuinmuur;20140806000000;2014;76331;454230;181355;14;76331;454230;4.239782470751987;52.07076123773919
Muurvaren;Asplenium ruta-muraria;6;Alexander Gogelweg 1;pilaar van lage tuinmuur;20140811000000;2014;79455;455973;181755;15;79455;455973;4.2849531865392105;52.086859932278784
Mannetjesvaren;Dryopteris filix-mas;6;Alexander Gogelweg 10-12;middelhoge tuinmuur;20140811000000;2014;79470;455916;181753;16;79470;455916;4.285184630494067;52.08634973813507
Tongvaren;Asplenium scolopendrium;2;Alexander Gogelweg 10-12;middelhoge tuinmuur;20140811000000;2014;79470;455913;181754;17;79470;455913;4.285185294855482;52.086322778095216
Muurleeuwenbek;Cymbalaria muralis;1;Alexander Gogelweg, achterzijde;lage tuinmuur;20140811000000;2014;79524;455931;181752;18;79524;455931;4.285969057502934;52.086491902612984
