Leverancier;9520 - BZK specifiek;9540 - EZ specifiek;Eindtotaal
ABP-Reclame;;1;1
Absoluta B.V.;;2;2
Allekabels B.V.;;1;1
Antea Nederland B.V.;;1;1
Bakkerij Haafs B.V.;;1;1
Banketbakkerij Boheemen;;1;1
Berkenbosch Groentechniek;;1;1
Bizerba Nederland B.V.;;1;1
Borrel Experience B.V.;;1;1
Brood en Banket Margriet B.V.;;1;1
Cannock Chase;1;;1
Cannock Factoring B.V.;1;;1
Carrosseriebouw Compaan;;1;1
Conrad Electronic Benelux B.V.;;1;1
De Boer Dental;;1;1
De Kaaskop;;2;2
De Roos Geschenken B.V.;;1;1
DEKRA Certification B.V.;;2;2
Double A Exploitatie B.V.;;1;1
Dr. Banket B.V.;;1;1
EBN B.V.;;3;3
Eegema B.V.;;2;2
Exela Netherlands;;7;7
Gerechtsdeurw.kant. de Best & Partners B.V.;1;;1
GGN van Mastrigt & Partners;1;1;1
Gispen Groningen;;1;1
Heuvelman Sound & Vision B.V.;;1;1
Hippefruitmand.nl;;1;1
Holland Inbouw;;1;1
Intertrans Logistics B.V.;;1;1
Ja-maar® B.V.;;1;1
Kaaspakket.com;;2;2
Keiretsu Europe B.V.;;1;1
Koninklijke Fabrieken Posthumus B.V.;;1;1
Locatie Museumpark;;3;3
Lutel;;2;2
Misi B.V.;;1;1
MSL Health B.V.;;1;1
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;8;8
Neo, Netherl. Geomat. & Earth Observat. B.V.;;6;6
NMi Certin B.V.;;1;1
Protinus IT B.V.;;;
Rohde & Schwarz Benelux B.V.;;4;4
Screenhouse B.V.;;2;2
Stadslab Groningen B.V.;;1;1
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;;4;4
Stg. Derdengelden Incassobureau Plaggemars;1;;1
Stichting GroentenFruit Bureau;;2;2
Stichting SEO Economisch Onderzoek;;4;4
Stichting Werken op Maat;;1;1
Stichting Wilhelmina Ziekenhuis Assen;;1;1
Telefication B.V.;;1;1
Ter Laak Orchids Plant B.V.;;1;1
The Brownie Box;;1;1
Tony's Chocolonely Nederland B.V.;;1;1
UniCarriers Netherlands B.V.;;;
Uw Eigen Secretariaat;;1;1
Van Bergeijk Beheer B.V.;;1;1
VAT Business B.V.;;5;5
Vee Technologies;;1;1
Vereniging tot Behoud van Natuurmonumenten;;1;1
Volker Wessels Telecom - Netwerk Solutions;;2;2
Webfleet Solutions Sales B.V.;;1;1
Zwart Techniek B.V.;;1;1
Eindtotaal;2;9;9
