Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
!Pet;;;;;;1;;4;2;;4
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;1;;;2;;;;;;2
7AM B.V.;;1;;;;;;;;;1
A. Kok;;;;;;;;;1;;1
A.J. van Deudekom B.V.;;;;;1;;1;;;;1
A.W. Diving;;;;;;;;;1;;1
Aaaaha! The Actor Factory B.V.;;;;;;1;;;;;1
AB sneltransport;;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;;1;;;;;;;;;1
Accountor Nederland B.V.;;;;;;;;;1;;1
Achmea Inkomensverzekeringsdiensten B.V.;;;;1;;;1;;;;1
Ad Hosman;;;;;;;;1;;;1
AED Solutions B.V.;;;1;;;;;;;;1
A-Frames;;;;;;;;1;;;1
Aiwos;;;;;;;;;2;;2
Ajax Ch. Varel CSO (Centrale Serv.organis.);;;2;;;;;;;;2
Alberts Eten & Drinken;;;;;;;;;1;;1
Albron B.V.;;1;;;;;;;;;1
Alice Overmeer Scheepsarcheologie;;;;;1;;;;;;1
Alltech/Applied Science B.V.;;;;;;;;;1;;1
Amilco Benelux B.V.;;;;;;;;;1;;1
Amsterdam Hospitality Company B.V.;;1;;;;;;;;;1
Amsterdam University Press AUP B.V.;;;;;1;;;;;;1
Anne Geene Fotografie;;;;;;;;1;;;1
Annemiek Vos;;;;;;;;1;;;1
anoniem;;;1;;;;;;;;1
Antalis B.V.;;;;;;;;;1;;1
ANWB B.V.;;;;;;;;;2;;2
Aon Hewitt Nederland C.V.;;;;;;;;;1;;1
Apox;;;;;;;;;1;;1
Apples n berrys;;;;;;;;;1;;1
architecten van Mourik B.V.;;;;;;;;;1;;1
Arnauld Geschenken B.V.;;;;;1;1;;;1;;1
Art Conservation Europe B.V.;;;;;;;;;1;;1
ASB Security B.V.;;;1;;;;;;;;1
Asito B.V.;;;;2;;;1;;;;2
Atelier NL;;;;;;;;1;;;1
Atelier RVO;;;;;;;;;1;;1
Atir Schoonmaakstrategen;;;;1;;;;;;;1
Atropos Visuele Vormgevers B.V.;;;;;;1;;;;;1
Aviodrome Exploitatie B.V.;;;;;;;;;1;;1
B.V. voorheen J.F. Bos en Zonen;;1;;;;;;;;;1
B+B Vakmedianet B.V.;;;;;;;;;1;;1
Baars-Cipro B.V.;;;;;;;;;2;;2
Bakker Boogers;;1;;;;;;;;;1
Bakkerij Verkerk B.V.;;1;;;;;;;;;1
Balance B.V.;;;;;;1;;;;;1
Banketbakkerij De Kruyter;;1;;;;;;;;;1
Banketbakkerij Salverda;;1;;;;;;;;;1
Barako;;;;;;;;1;;;1
Bastiaan de Nennie;;;;;;;;1;;;1
Bastion Bakkerschans;;;;;;;;;1;;1
Bax-shop.nl B.V.;;;;;;;;;1;;1
Bazelmans Audio Visual Rentals;;;;;;;;;3;;3
BCL Archaeological Support;;;;;;;;;1;;1
Beleidstheater;;;;;;;;;1;;1
Belga Fietsen Sontplein B.V.;;;;;1;;;;;;1
Berendsen Textiel Service B.V.;;;;1;;;;;;;1
BestSales promotions;;;;;;;;;1;;1
Biblionet B.V.;;;;;;;;;1;;1
Bio Trading Benelux B.V.;;;;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;;;;;1;;1
Bloembinderij All Seasons;;;;;;;;;1;;1
Bloemsierkunst De Klerk B.V.;;;;;;;;1;;;1
Blue Billywig B.V.;;;;;;2;;;;;2
BNP Paribas Leasing Solutions N.V.;;1;;;;;;;;;1
Boels Verhuur Groningen;;;;;;;;;1;;1
bol.com B.V.;;1;;;;;;;1;;1
Boom regionale uitgevers B.V.;;;;;;;;;1;;1
BPI Services B.V.;;;1;;;;;;;;1
Brabants Lederwarenhuis 's-Gravenhage B.V.;;;;;;;;;1;;1
Brandmeester's B.V.;;2;;;;;;;;;2
Breur IJzerhandel Ceintuurbaan;;;;;;;;;1;;1
Brouwer in Beeld;;;;;;1;;;;;1
Budgetlight B.V.;;;;;;;;1;1;;1
Bureau Bouwcoördinatie Nederland B.V.;;;1;;;;;;;;1
Buro van Riel B.V.;;;;1;;;;;;;1
Buwalda Multiservice V.O.F.;;;;2;;;;;;;2
Buyitdirect.Com N.V.;;;;;;;;;1;;1
Bys Hosting B.V.;;;;;1;;;;;;1
C.G. Holthausen B.V.;;;1;;;;;;;;1
Café Berger Beheer;;1;;;;;;;;;1
Cafe 'De Brasserie' Emmen;;1;;;;;;;;;1
Café NAi;;;;;1;;;;1;;1
Canon Nederland N.V.;;;;;;;;;3;;3
Cantine Service;;2;;;;;;;;;2
Card Vision B.V.;;;;;;1;;;;;1
Carefors;;;;;2;;;;;;2
Cartonnagefabr. Succes Papiergroothandel B.V.;;;;;1;;;;;;1
Catering De Leest;;1;;;;;;;;;1
Catering Dik Trom;;2;;;;;;;;;2
CCV Services B.V.;;;;;;;;;;1;1
Centipede;;;;;;1;;;;;1
Centraal Boekhuis B.V.;;;;;;;;;1;;1
Central Point B.V.;;;;;;1;;;;;1
Central Point Nederland B.V.;;;;;;;;;1;;1
Centrum voor online onderzoek B.V.;;;;;;;;;2;;2
CGI Nederland B.V.;;;;;;2;;;;;2
Charlotte Dumas Fotografie;;;;;;;;1;;;1
Chem-Dry Alfa;;;;2;;;;;;;2
Chinees Catering Utrecht;;1;;;;;;;;;1
Chinees Restaurant Wok Euroborg;;;1;;;;;;;;1
Chris Russell Actiemarketing;;;;;1;1;;;;;1
Christine van der Cingel;;;;;;;;1;;;1
Cimsolutions;;;;;;2;;;;;2
City Cleaning;;;;1;;;;;;;1
Corbisnis;;;;;;;;;1;;1
Creator B.V.;;;;;;;;1;;;1
Crisisplan B.V.;;;1;;;;;;;;1
CSU Cleaning Services;;;;6;;;3;;;;6
CSU Cleaning Services West;;;;3;;;;;;;3
CSU Food Services;;;;4;;;;;;;4
CWS Nederland B.V.;;;;;;;2;;;;2
Cycloon Groningen B.V.;;;;;1;;;;;;1
D.R. Trading Kitchenware Utrecht Holding B.V.;;1;;;;;;;;;1
D.S.L. Reclame;;;;;;;;1;;;1
DARA B.V.;;;;;;;;;1;;1
DB Audio Video Systemen B.V.;;;;;;;;;1;;1
De Algemene Boekhandel;;;;;;;;;1;;1
de Buurtboer;;1;;;;;;;;;1
De Jonge Haan;;1;;;;;;;;;1
De Kunstrijders;;;;;;;;1;;;1
De Party Regelaar;;;;;;;;;1;;1
De Poort van Kleef Utrecht B.V.;;1;;;;;;;;;1
De Roo Taxi B.V.;;;1;;;;;;;;1
De Sleutelkoning;;;;;;;;1;;;1
De Wilt-Cyrox Groep B.V.;;;;;;;;;1;;1
Deco Sign & Code B.V.;;;;;;1;;;;;1
Dedicon B.V.;;;;;1;;;;;;1
Defibrion;;;1;;;;;;;;1
Digital Revolution B.V.;;;;;;;;;1;;1
Dimitri Valentijn Photography;;;;;;;;1;;;1
Discountoffice.nl B.V.;;1;;;;;;;1;;1
DKV Euro Service Benelux V.O.F.;;;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;;;;;;;1;;1
Donkergroen B.V.;;;;;;;;1;;;1
Doorn Stempels en Naamplaten;;;;;;;;;1;;1
Douwe Egberts Café;;2;;;;;;;;;2
Doxis;;;;;;3;;;;;3
Dräger Safety Nederland B.V.;;;1;;;;;;;;1
Driessen B.V.;;;;;;;;;;1;1
Drukkerij Cees Badoux B.V.;;;;;;1;;;;;1
Drukkerij Excelsior B.V.;;;;;2;;;;;;2
Drukkerij Jan Evers B.V.;;;;;;1;;;;;1
Drukkerij Tripiti;;;;;2;;;;;;2
Duikbedrijf 'Neptunes';;;;;;;;;1;;1
Easy2send;;;;;1;;;;;;1
EcoSmart Nederland B.V.;;;;;;;1;;;;1
Eden Springs Nederland B.V.;;1;;;;;1;;;;1
EDG Educatieve Distributie B.V.;;;;;1;;;;;;1
Ediction;;;;;;1;;;;;1
EHBO Vereniging Castricum;;;1;;;;;;;;1
Eijsink Afrekensystemen;;;;;;;;;1;;1
Elly Pastoor Advies;;;;;;1;;;;;1
Erik Bouma Manager Tentoonstellingen;;;;;;;;1;;;1
Ese International B.V.;;;1;;;;;;;;1
Espresso Service West;;;;;;;;;1;;1
Eurest Services B.V.;;4;;;;;;;1;;4
Eurocult-lito B.V.;;;;;;;;;1;;1
Euroforum;;;;;;;;;1;;1
Europcar Autoverhuur Nederland, Den Haag;;;;;;;;1;;;1
Eventa B.V.;1;;;;;;;;;;1
Exactitudes;;;;;;;;1;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;;;;;;1
Expo Display Service;;;;;;;;;1;;1
Facilicom Facility Solutions B.V.;;;;2;;;;;;;2
Fair Bewaking B.V.;;;1;;;;;;;;1
Falck Nutec B.V.;;;1;;;;;;;;1
Fast 'n Finish B.V.;;;;;;;;;1;;1
Fine Asian Gourmet B.V.;;1;;;;;;;;;1
First Service One B.V.;;1;;;;;;;;;1
Fisher Emergo B.V.;;;;;;;;;1;;1
Fisher Scientific of the Netherlands B.V.;;;;;;;;;1;;1
Flevobird Koeriers;;;;;1;;;;;;1
FoxRenard;;;;;;;;;1;;1
Frama Nederland;;;;;1;;;;1;;1
Frieveen Grafische- & kantoormachines;;;;;;;;;1;;1
Fruitkwekerij De Braacken;;1;;;;;;;;;1
Galerie Fons Welters;;;;;;;;1;;;1
GEA Consultancy B.V.;;;;;;;;;1;;1
Gert Jan Slagter grafisch ontwerper;;;;;;1;;;;;1
Geschenkbezorgen.nl B.V.;;;;;1;;;;;;1
Gijsbrecht B.V.;;1;;;;;;;;;1
Gispen Kantoorinrichting;;;;;;;;;1;;1
Glashandel Wybenga B.V.;;;;;;;;;1;;1
Grafisch Bedrijf Oranje/Van Loon B.V.;;;;;;;;;1;;1
Groothandelsgebouwen N.V.;;;;;;;;;1;;1
Hafo B.V.;;;;;;;;;1;;1
Hagele kantoormeubilair;;;;;;;;1;;;1
Harvey Nash B.V.;;;;;;;;2;;;2
Health2Work B.V.;;;;;1;;;;1;;1
Heijmans Utiliteit;;;;;;;;;1;;1
Hein Post Wijnen Gastronomie;;;;;1;1;;;;;1
HerstelDirect B.V.;;;;;;;1;1;;;1
Hesbak 2 B.V.;;;;;;1;;;;;1
Het Kookplein;;1;;;;;;;;;1
Het NIC B.V.;;;;1;;;;;;;1
Het Restaurant van Piet Hein Eek B.V.;;;;;;;;;1;;1
Het Verenigingsgebouw;;;;;;;;;1;;1
High Security International B.V.;;;;;;;;;1;;1
Hofman Café B.V.;;1;;;;;;;;;1
Hogeschool Van Hall Larenstein;;;;;;;;;1;;1
Holland Service Koeriers C.V.;;;;;1;;;;;;1
Hollandse Hoogte B.V.;;;;;;1;;;;;1
Hoogduin Papierrestauratoren;5;;;;;;;;;;5
Hotel Central/Restaurant Sistermans B.V.;1;;;;;;;;;;1
Hotel Contact B.V.;;1;;;;2;;;;;2
