;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Maes B.V.;;;;1;2;2
2bicas B.V.;;;;;1;1
ABC Display Industry B.V.;;;;1;;1
Abonnementenland - Brynhild Incasso - Gerro Sanders - Oseberg - Vidia - Bladen;1;;;;;1
Academic Software Consulting;;;;1;;1
ACB Vertalingen;1;;;;1;1
Adexpo B.V.;;;;1;;1
Ageeth van der Veen Journalistiek Getekend Verslag;;;;;1;1
Aidsfonds;;;;1;;1
Algemene Pharmac Bond;1;;;;;1
Allround Hospitality Services B.V.;1;;;;;1
AMDK;1;;;;;1
Angst, Dwang en Fobie stichting;;;;;2;2
Anke Nobel Illustraties;;;;;1;1
ANP Holding B.V.;;;;;1;1
ANP Pers Support Benelux B.V.;;;;;1;1
Arenda Oomen Fotografie;;;;;1;1
Arko Sports Media B.V.;;;;;1;1
Atmire;1;;;;;1
Atmosphear;;;;1;;1
Augeo academy B.V.;;;;;1;1
AVB Language Group B.V.;;2;;;2;3
Avoxa Deutsche Apotheker GmbH;2;;;;;2
Axians;;;;;2;2
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;1
B.V. Uitgeverij SWP;1;;;;;1
Bambook V.O.F.;;;;1;;1
Barbarossa Beach B.V.;;;;1;;1
Bart Versteeg fotograaf;;;;1;1;1
BCT B.V.;;;;;1;1
Betalingen Binnenland;;;;1;;1
BIOMED CENTRAL LIMITED;;;;;1;1
Blokletters;;;;1;;1
BMJ Publishing Group;1;;;;;1
Bobbe International B.V.;2;;;;3;3
Bodyweight Fitness & Trading;;;;1;;1
Bo-ex;;;;1;;1
Bokhorst Communicatie;;;;;1;1
bol.com B.V.;1;;;;;1
Boom uitgevers Amsterdam B.V.;5;;;;;5
Boom uitgevers Den Haag;;;;;1;1
Born05 B.V.;;;;;1;1
Broekhuizen Communicatie;;;;;2;2
Bukman Management;;;;1;;1
Bureautaal B.V.;;;;;1;1
Buro BRAND Visuele Communicatie B.V.;;;;;2;2
Buro Geluidsmanipulatie-BGM;;;;1;;1
BVO Opleidingen B.V.;1;;;;;1
C.R.O.W. Kennisplatform;1;;;;;1
C2Results B.V.;2;;;;;2
Cambridge University Press Publishing Division;1;;;;;1
