Rijlabels;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
(BBP) Beerens-Business Press B.V.;;1;;;;;1
1848 B.V.;;1;;;;;1
2B-Xclusive;1;;;;;;1
7AM B.V.;;;;;;1;1
A.P. van Staveren;1;;;;;;1
About Flowers;;;;1;1;;1
AD NieuwsMedia B.V.;;1;;;;;1
Adfo Groep B.V.;;1;;;;;1
Adviesbureau Hollander en van der Mey B.V.;6;;;;;;6
Albany Media;;1;;;;;1
Amigoe.com;;1;;;;;1
Amsterdam University Press AUP B.V.;;1;;1;;1;1
Anchor Woman;;;;;;1;1
Andermanskeuken;;;;;1;;1
Anneke Nunn Tekst & Concept;;;;;;1;1
ANP Photo;1;;;;;6;6
Antiliaans Dagblad;;1;;;;;1
Arbor Media Services B.V.;;;;;;1;1
Arenda Oomen Fotografie;2;;;;;1;2
Arvato Benelux B.V.;2;;;;;;2
Audax Publishing B.V.;;1;;;;;1
B.M. Mols Journalistiek;;;;;;1;1
B.V. Weekbladpers;;1;;;;;1
B+B Vakmedianet B.V.;;1;;;;;1
Band en Lint;;;;1;;;1
Banketbakkerij Boheemen;;;;1;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;1
Bart Maat Fotografie;;;;;1;1;1
Bart Versteeg fotograaf;1;;;;;1;1
Bee in Media;;;;;1;;1
Bento Presentaties;1;;;;;;1
bikker sb;;;;;1;;1
Binnenlands Bestuur B.V.;;1;;;;;1
BKB;4;;;;;;4
BKFF bas kijzers fotografie en film;;;;;;1;1
Blauw Research B.V.;4;;;;;;4
Bobbe International B.V.;;3;;;;;3
Boekhandel Van Stockum Belinfante & Coebergh;;1;;;;;1
bol.com B.V.;;1;;1;;;1
Boom uitgevers Den Haag;;1;;;;;1
Boomerang Create B.V.;1;;;;;;1
BrandDeli C.V.;4;;;;;;4
Brasserie Sequenza;;;;1;;1;1
Brug in Bedrijf;;;;;1;;1
Bureau Beeley;;;;;1;;1
Bureau BlauwGeel B.V.;1;;;;;;1
Bureau voor Overheidscommunicatie B.V.;4;;;;;;4
Bureau Zuidema B.V.;;;;;1;;1
Cambridge University Press;;1;;;;;1
CDA-bestuurdersvereniging;;1;;;;;1
Centraal Boekhuis B.V.;;1;;;;;1
