Ministerie;Leveranciers;9010 - GWW;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9520 - BZK Specifiek;9530 - DEF specifiek;9540 - EZ Specifiek;9550 - FIN specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS Specifiek;Eindtotaal
AZ;The Security Company;;;;;;;;3;;;;;;;;;;3
BZK;1.2.3. Sloten Service B.V.;;;;;;;;;1;;;;;;;;;1
BZK;A.I.V. Asbest B.V.;;;;;;;;;5;;;;;;;;;5
BZK;A.T.O. Elektro B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Aannemersbedrijf Gebroeders Horstink B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Aannemersbedrijf Roseboom B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Aannemingsbedrijf Engelen;;;;;;;;;1;;;;;;;;;1
BZK;Aannemingsbedrijf Hoefakker B.V.;;;;;;;;;2;;;;;;;;;2
BZK;ABC Nova B.V.;;;;;;;;;2;;;;;;;;;2
BZK;ABT B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Accanto;;;;;;;;;1;;;;;;;;;1
BZK;Accountantskantoor van Limborgh & Partners;;;;;;;;;1;;;;;;;;;1
BZK;AchtenvanGent Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Actus Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Ad Hoc Data B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Adecco Detachering B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Adv.- en Inst.bur. 'Warmtebouw Utrecht' B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Adviesbureau 'Het betere cont(r)act';;;;;;;;;3;;;;;;;;;3
BZK;AEREA B.V.;;;;;;;;;1;;;;;;;;;1
BZK;AGC Gerechtsdeurwaarders & Incasso Groningen;;;;;;;;;1;;;;;;;;;1
BZK;Agrec Zelle B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Ajax Chubb Varel Venlo;;;;;;;;;1;;;;;;;;;1
BZK;Ajilon Engineering B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Akerboombouw;;;;;;;;;4;;;;;;;;;4
BZK;Aksys;;;;;;;;;1;;;;;;;;;1
BZK;Albron Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Allsafe Mini Opslag;;;;;;;;;1;;;;;;;;;1
BZK;Alsta B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Amlin Corporate Insurance;;;;;;;;;1;;;;;;;;;1
BZK;anoniem;;;;;;;;;7;;;;;;;;;7
BZK;Ansul;;;;;;;;;1;;;;;;;;;1
BZK;Antargaz Nederland B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Appels Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Aquaterra-Geomet Milieuadviezen B.V.;;;;;;;;;2;;;;;;;;;2
BZK;ARAG Rechtsbijstand;;;;;;;;;1;;;;;;;;;1
BZK;ARCADIS Nederland;;;;;;;;;2;;;;;;;;;2
BZK;Archikon Architecten en Constructeurs;;;;;;;;;1;;;;;;;;;1
BZK;Architectenbureau Fritz B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Architectuurstudio HH;;;;;;;;;2;;;;;;;;;2
BZK;Architektenburo Veldman Rietbroek Smit B.V.;;;;;;;;;2;;;;;;;;;2
BZK;ARMAEX B.V.;;;;;;;;;1;;;;;;;;;1
BZK;ASB Security B.V.;;;;;;;;;1;;;;;;;;;1
BZK;AWN Makelaardij in Woonarken en Woonschepen;;;;;;;;;1;;;;;;;;;1
BZK;B & C Milieuconsultancy B.V.;;;;;;;;;1;;;;;;;;;1
BZK;B & L;;;;;;;;;2;;;;;;;;;2
BZK;B&G Hekwerk B.V.;;;;;;;;;1;;;;;;;;;1
BZK;B.C.T. Aannemers B.V.;;;;;;;;;7;;;;;;;;;7
BZK;B.V. 'Esbi';;;;;;;;;1;;;;;;;;;1
BZK;B.V. Exploitatie Reservegronden Flevoland;;;;;;;;;2;;;;;;;;;2
BZK;Bakker & Neve Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Balance Liftadvies B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Ballast Nedam Infra Beheer B.V.;;;;;;;;;;1;;;;;;;;1
BZK;BB Bomen;;;;;;;;;2;;;;;;;;;2
BZK;BCM Consultancy B.V.;;;;;;;;;5;;;;;;;;;5
BZK;Beaumont Communicatie & Management B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Beelen Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Ben Roos Dakbedekking B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Benegas;;;;;;;;;1;;;;;;;;;1
BZK;Benr Adviseurs voor Duurzaamheid B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Benschop Installatietechniek B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Berenschot B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Bergsma Drain B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Berkhout Tros Bouwadviseurs B.V.;;;;;;;;;1;;;;;;;;;1
BZK;BME Asbest Consult B.V.;;;;;;;;;2;;;;;;;;;2
BZK;BMS Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Boag B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Bodac B.V.;;;;;;;;;1;;;;;;;;;1
BZK;BodAcom B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Boersma's Drainagebedrijf B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bombs Away B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Boogaart Almere B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Booms & Kuipers technisch adviesbureau B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Boost Business Innovation;;;;;;;;;3;;;;;;;;;3
BZK;Boot Organiserend Ingenieursburo B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Bork Asbestsaneringen B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bosland Adviesbureau V.O.F.;;;;;;;;;2;;;;;;;;;2
BZK;Bosman Watermanagement B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Botenverhuur De Rijnstroom;;;;;;;;;;1;;;;;;;;1
BZK;Bouw- en Restauratieadviesburo Holtzer;;;;;;;;;1;;;;;;;;;1
BZK;Bouw/Rest.bedr. Van de Burgt en Strooij B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Bouwadvies;;;;;;;;;2;;;;;;;;;2
BZK;Bouwbedrijf Hoorn 80 B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bouwbedrijf Kreeft B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bouwbedrijf Meliskerke B.V.;;;;;;;;;4;;;;;;;;;4
BZK;Bouwbedrijf Meliskerke Beheer B.V.;;;;;;;;;5;;;;;;;;;5
