Rijlabels;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
A. de Jong T.H. B.V.;;2;2
A. v. Tilburg Handelsond. en Techniek B.V.;;1;1
ABCstore;;1;1
Aboma;;1;1
anoniem 105;;1;1
anoniem 1120;;1;1
anoniem 1149;;1;1
anoniem 1264;;1;1
anoniem 1284;;1;1
anoniem 1286;;2;2
anoniem 1290;;1;1
anoniem 1291;;1;1
anoniem 1292;;1;1
anoniem 1330;;1;1
anoniem 1338;;3;3
anoniem 134;;1;1
anoniem 1363;;3;3
anoniem 1395;;1;1
anoniem 140;;1;1
anoniem 1419;;6;6
anoniem 1434;;1;1
anoniem 1438;;1;1
anoniem 1440;;2;2
anoniem 1446;;1;1
anoniem 1447;;1;1
anoniem 1448;;1;1
anoniem 1452;;2;2
anoniem 1471;;1;1
anoniem 1489;;1;1
anoniem 1496;;1;1
anoniem 1523;;3;3
anoniem 1524;;1;1
anoniem 1547;;1;1
anoniem 1559;;1;1
anoniem 1562;;5;5
anoniem 1563;;1;1
anoniem 1584;;2;2
anoniem 161;;1;1
anoniem 1615;;4;4
anoniem 1659;;1;1
anoniem 1661;;4;4
anoniem 17;;6;6
anoniem 1708;;5;5
anoniem 1727;;1;1
anoniem 1737;;1;1
anoniem 1743;;2;2
anoniem 176;;2;2
anoniem 1796;;2;2
anoniem 1820;;2;2
anoniem 1847;;1;1
anoniem 1986;;1;1
anoniem 1989;;1;1
anoniem 2021;;1;1
anoniem 2022;;1;1
anoniem 2040;;1;1
anoniem 2041;;1;1
anoniem 2091;;1;1
anoniem 2098;;1;1
anoniem 22;;1;1
anoniem 2214;;1;1
anoniem 2216;;2;2
anoniem 2232;;2;2
anoniem 2271;;1;1
anoniem 2320;;1;1
anoniem 2321;;1;1
anoniem 2322;;1;1
anoniem 2351;;1;1
anoniem 2361;;1;1
anoniem 2362;;1;1
anoniem 2393;;3;3
anoniem 2424;;4;4
anoniem 2447;;1;1
anoniem 2449;;2;2
anoniem 2454;;2;2
anoniem 2473;;4;4
anoniem 249;;1;1
anoniem 2496;;1;1
anoniem 2526;;1;1
anoniem 2527;;1;1
anoniem 2529;;1;1
anoniem 2536;;1;1
anoniem 2573;;1;1
anoniem 2585;;1;1
anoniem 2625;;1;1
anoniem 2658;;1;1
anoniem 2661;;1;1
anoniem 2664;;5;5
anoniem 2669;;4;4
anoniem 2682;;1;1
anoniem 2685;;3;3
anoniem 2713;;1;1
anoniem 2763;;1;1
anoniem 2788;;1;1
anoniem 2791;;1;1
anoniem 300;;1;1
anoniem 309;;2;2
anoniem 333;;4;4
anoniem 354;;2;2
anoniem 369;;1;1
anoniem 383;;1;1
anoniem 393;;1;1
anoniem 419;;1;1
anoniem 434;;1;1
anoniem 44;;1;1
anoniem 448;;1;1
anoniem 449;;2;2
anoniem 45;;2;2
anoniem 47;;5;5
anoniem 470;;1;1
anoniem 478;;1;1
anoniem 480;;4;4
anoniem 489;;1;1
anoniem 526;;2;2
anoniem 551;;1;1
anoniem 553;;1;1
anoniem 554;;1;1
anoniem 557;;4;4
anoniem 558;;1;1
anoniem 559;;1;1
anoniem 560;;2;2
anoniem 561;;9;9
anoniem 562;;1;1
anoniem 564;;1;1
anoniem 565;;4;4
anoniem 566;;1;1
anoniem 567;;2;2
anoniem 568;;2;2
anoniem 569;;1;1
anoniem 570;;1;1
anoniem 571;;1;1
anoniem 572;;1;1
anoniem 573;;3;3
anoniem 574;;7;7
anoniem 575;;1;1
anoniem 576;;2;2
anoniem 577;;2;2
anoniem 578;;1;1
anoniem 580;;2;2
anoniem 581;;1;1
anoniem 582;;1;1
anoniem 583;;1;1
anoniem 584;;1;1
anoniem 586;;1;1
anoniem 587;;4;4
anoniem 588;;1;1
anoniem 589;;1;1
anoniem 590;;1;1
anoniem 592;;6;6
anoniem 593;;5;5
anoniem 594;;1;1
anoniem 595;;2;2
anoniem 596;;1;1
anoniem 599;;1;1
anoniem 6;;2;2
anoniem 600;;1;1
anoniem 601;;1;1
anoniem 602;;2;2
anoniem 603;;1;1
anoniem 605;;1;1
anoniem 606;;2;2
anoniem 607;;1;1
anoniem 608;;1;1
anoniem 609;;3;3
anoniem 611;;1;1
anoniem 612;;6;6
anoniem 613;;1;1
anoniem 614;;1;1
anoniem 615;;1;1
anoniem 617;;1;1
anoniem 618;;1;1
anoniem 619;;1;1
anoniem 62;;1;1
anoniem 620;;1;1
anoniem 622;;1;1
anoniem 623;;1;1
anoniem 624;;1;1
anoniem 625;;1;1
anoniem 626;;2;2
anoniem 627;;1;1
anoniem 630;;1;1
anoniem 631;;1;1
anoniem 632;;2;2
anoniem 662;;1;1
anoniem 698;;1;1
anoniem 75;;3;3
anoniem 76;;1;1
anoniem 820;;1;1
anoniem 98;;1;1
ANWB B.V.;;4;4
Aparthotel 't Suyderduyn B.V.;1;;1
APS B.V.;;1;1
ARAMEX;;6;6
Ardea Auto Rotterdam-West;;1;1
Arend Auto B.V.;;1;1
ASV Automobielbedrijven B.V.;;4;4
Autobedrijf van den Udenhout B.V.;;1;1
Autocentrum Castricum B.V.;;3;3
Automotions MB Roosendaal;;1;1
Autoplex Zevenaar B.V.;;3;3
Autopoetscentrum Amersfoort;;1;1
Autoschade Rijnders Amersfoort B.V.;;2;2
Autoverhuur Bultman B.V.;;1;1
Axxicom Airport Caddy B.V.;;1;1
B&B Boerderij de Fryhof V.O.F.;2;;2
BAS Truck Center;;1;1
Bastion Hotelgroep B.V.;4;;4
BCD Travel B.V.;;1;1
BCD Travel Nederland B.V.;;8;8
BDUvakmedia B.V.;;1;1
Bedrijfswagen Service Friesland B.V.;;1;1
Be-Ge Savas Seating B.V.;;2;2
BekkerLaGram Waalwijk B.V.;;2;2
Berdex Carross.- en Handelsonderneming B.V.;;1;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;3;3
Besseling Travel B.V.;;1;1
Betam Truck & Carwash;;1;1
Betam Truck & Carwash Schiphol;;1;1
Bever Breda B.V.;;1;1
BFP International B.V.;;1;1
BGE B.V.;;1;1
Biemond & Van Wijk;;3;3
Blaauboer en Kossen B.V.;;1;1
Bloks Auto en Autoschade;;1;1
Bluekens Truck en Bus B.V.;;2;2
Boasso Global Netherlands B.V.;;2;2
Bochane Auto I Zeist;;1;1
Britline;;4;4
Broeder de Vries Dutch Medical Services B.V.;;3;3
Broekhuis Motoren B.V.;;1;1
Broshuis B.V.;;1;1
Brouwer Motors B.V.;;1;1
Budget Rent a Car;;4;4
Buko Verhuur B.V.;;2;2
Burger Ferry Agencies B.V.;;5;5
Burtec B.V.;;1;1
