Kenteken,Vervaldatum keuring,Vervaldatum keuring DT
0002XK,20230611,06/11/2023 12:00:00 AM
0002ZA,20240421,04/21/2024 12:00:00 AM
0002ZK,,
0005EB,20240108,01/08/2024 12:00:00 AM
0007XK,20240903,09/03/2024 12:00:00 AM
0011VK,,
0012VM,20030918,09/18/2003 12:00:00 AM
0012XK,20101110,11/10/2010 12:00:00 AM
0013ZB,20010306,03/06/2001 12:00:00 AM
0014UB,20230924,09/24/2023 12:00:00 AM
0014WR,,
0015XT,,
0016ZD,19970416,04/16/1997 12:00:00 AM
0018XM,20200719,07/19/2020 12:00:00 AM
0021XZ,20241204,12/04/2024 12:00:00 AM
0022XD,20230422,04/22/2023 12:00:00 AM
0022ZJ,,
0022ZP,,
0023JB,20231030,10/30/2023 12:00:00 AM
0023UR,20240708,07/08/2024 12:00:00 AM
0024XK,20221113,11/13/2022 12:00:00 AM
0025XF,19980219,02/19/1998 12:00:00 AM
0025XM,20240711,07/11/2024 12:00:00 AM
0025ZL,20230308,03/08/2023 12:00:00 AM
0025ZR,20211020,10/20/2021 12:00:00 AM
0026JB,20250204,02/04/2025 12:00:00 AM
0027XM,20240906,09/06/2024 12:00:00 AM
0028XK,20180102,01/02/2018 12:00:00 AM
0028ZR,20181011,10/11/2018 12:00:00 AM
0029XB,20171126,11/26/2017 12:00:00 AM
0029XM,,
0029XU,20000304,03/04/2000 12:00:00 AM
0030ZL,20210815,08/15/2021 12:00:00 AM
0030ZP,20160227,02/27/2016 12:00:00 AM
0031ZA,20230325,03/25/2023 12:00:00 AM
0033RB,20230203,02/03/2023 12:00:00 AM
0033UP,20220817,08/17/2022 12:00:00 AM
0034GB,20190630,06/30/2019 12:00:00 AM
0034XA,20240405,04/05/2024 12:00:00 AM
0035WR,19980411,04/11/1998 12:00:00 AM
0036XA,20240615,06/15/2024 12:00:00 AM
0036ZJ,20220718,07/18/2022 12:00:00 AM
0039XX,20221016,10/16/2022 12:00:00 AM
0040XK,20190919,09/19/2019 12:00:00 AM
0041EB,20031213,12/13/2003 12:00:00 AM
0042XZ,20150325,03/25/2015 12:00:00 AM
0044XK,,
0045UJ,20010303,03/03/2001 12:00:00 AM
0046RB,20241026,10/26/2024 12:00:00 AM
0046XE,20240617,06/17/2024 12:00:00 AM
0046XF,20240822,08/22/2024 12:00:00 AM
0047ZV,,
0050XB,,
0051XZ,20230203,02/03/2023 12:00:00 AM
0053XK,20250201,02/01/2025 12:00:00 AM
0054XH,,
0054XM,20240621,06/21/2024 12:00:00 AM
0055XA,20220925,09/25/2022 12:00:00 AM
0059MB,20230416,04/16/2023 12:00:00 AM
0060XE,20020607,06/07/2002 12:00:00 AM
0060XZ,20230703,07/03/2023 12:00:00 AM
0063ZE,20240611,06/11/2024 12:00:00 AM
0064WU,20090503,05/03/2009 12:00:00 AM
0065BB,20030912,09/12/2003 12:00:00 AM
0066SB,20250109,01/09/2025 12:00:00 AM
0066XE,19990703,07/03/1999 12:00:00 AM
0066ZA,20240407,04/07/2024 12:00:00 AM
0067ZE,20240402,04/02/2024 12:00:00 AM
0072EB,20230506,05/06/2023 12:00:00 AM
0072ZJ,20180419,04/19/2018 12:00:00 AM
0073XF,20240705,07/05/2024 12:00:00 AM
0074XM,20110202,02/02/2011 12:00:00 AM
0074ZK,20240925,09/25/2024 12:00:00 AM
