objectid;id;stadsdeel;buurt;straat;locatie;element;omschrijving_element;lengte;breedte;hoogte;valhoogte;bodemmateriaal;mat_aluminium;mat_beton_steen;mat_hout;mat_kunststof;mat_metaal;vrije_ruimte;geo_shape;geo_point_2d
3123;1103.0;Woensel noord 1;Achtse Barrier-Hoeven;Tourslaan;Tourslaan;Glijbaan;Rapido;470.0;47.0;220.0;170.0;Grindzand;False;False;False;False;True;820x380;"{""coordinates"": [5.444969630674261, 51.486435343512234], ""type"": ""Point""}";51.486435343512234, 5.444969630674261
3125;1354.0;Woensel noord 2;Eckart;Schildstraat;Schildstraat;Combinatietoestel;Privat;520.0;250.0;396.0;153.0;Grindzand;False;False;True;True;True;870x550;"{""coordinates"": [5.490962759933155, 51.47436651173014], ""type"": ""Point""}";51.47436651173014, 5.490962759933155
3127;1357.0;Woensel noord 2;Eckart;Schildstraat;Schildstraat;Duikelrek;3-Delig;455.0;4.0;112.0;112.0;Grindzand;False;False;False;False;True;555x305;"{""coordinates"": [5.491048615920088, 51.474296305762735], ""type"": ""Point""}";51.474296305762735, 5.491048615920088
3130;1363.0;Woensel noord 2;Eckart;Schildstraat;Schildstraat;Doel;Cruyff Court doel staalmat 50x200;500.0;105.0;200.0;;Kunstgras;False;False;False;False;True;;"{""coordinates"": [5.489939215516405, 51.47439129271436], ""type"": ""Point""}";51.47439129271436, 5.489939215516405
3136;1610.0;Park Philips van Lennep;Lievendaal;Professor Meyerslaan;STD.P. Philips van Lennep / Meyerslaan;Zandspeeltoestel;Madeliefje;;;30.0;30.0;Grindzand;False;False;False;True;True;346;"{""coordinates"": [5.432296614354214, 51.44669370043817], ""type"": ""Point""}";51.44669370043817, 5.432296614354214
3141;1859.0;Gestel;Hagenkamp;Maria van Bourgondielaan;Maria van Bourgondielaan;Klimtoestel;Klimtoren;;;150.0;150.0;Grindzand;True;False;False;False;False;475;"{""coordinates"": [5.458654218079272, 51.43210029555252], ""type"": ""Point""}";51.43210029555252, 5.458654218079272
3144;1862.0;Gestel;Hagenkamp;Maria van Bourgondielaan;Genderpark 2;Sportcombinatie;Kooidoel met Basketopbouw;302.0;100.0;275.0;;Asfalt;False;False;False;False;True;;"{""coordinates"": [5.461509243478705, 51.43356004816581], ""type"": ""Point""}";51.43356004816581, 5.461509243478705
3145;1864.0;Gestel;Genderdal;Smetanalaan;B.P. Genderdal;Combinatietoestel;Vissersboot;800.0;950.0;350.0;160.0;Zand;False;False;True;True;True;1214x1160;"{""coordinates"": [5.447895351635335, 51.4238589600848], ""type"": ""Point""}";51.4238589600848, 5.447895351635335
3146;1867.0;Gestel;Genderdal;Smetanalaan;B.P. Genderdal;Doel;Kooidoel staalmat 50x200;316.0;130.0;206.0;;Gras;False;False;False;False;True;;"{""coordinates"": [5.448072883135914, 51.42419048683513], ""type"": ""Point""}";51.42419048683513, 5.448072883135914
3147;1868.0;Gestel;Genderdal;Smetanalaan;B.P. Genderdal;Doel;Kooidoel staalmat 50x200;316.0;130.0;206.0;;Gras;False;False;False;False;True;;"{""coordinates"": [5.448287240737808, 51.42441623304481], ""type"": ""Point""}";51.42441623304481, 5.448287240737808
