FID,ncp_blo_id,area,name,se_anno_cad_data,gdb_geomattr_data,shape
mijnbouw_blokverdeling_ncp2013.1,0,,A4,,,"POLYGON ((55.665975006 3.3318590019999874, 55.665975006 3.327103002000001, 55.67721600599998 3.3318590019999874, 55.665975006 3.3318590019999874))"
mijnbouw_blokverdeling_ncp2013.2,0,,A5,,,"POLYGON ((55.66597800599999 3.5915600019999943, 55.665975006 3.3318590019999874, 55.67721600599998 3.3318590019999874, 55.76431200600001 3.368801001999998, 55.66597800599999 3.5915600019999943))"
mijnbouw_blokverdeling_ncp2013.3,0,,A7,,,"POLYGON ((55.665975006 3.3318590019999874, 55.49930200599999 3.3318650019999723, 55.49930200599999 3.256919002000018, 55.665975006 3.327103002000001, 55.665975006 3.3318590019999874))"
mijnbouw_blokverdeling_ncp2013.4,0,,A8,,,"POLYGON ((55.66597800599999 3.5915600019999943, 55.63327200600003 3.665202002000001, 55.49930600599998 3.6652070019999883, 55.49930200599999 3.3318650019999723, 55.665975006 3.3318590019999874, 55.66597800599999 3.5915600019999943))"
mijnbouw_blokverdeling_ncp2013.5,0,,A9,,,"POLYGON ((55.49931000599997 3.964535001999991, 55.49930600599998 3.6652070019999883, 55.63327200600003 3.665202002000001, 55.49931000599997 3.964535001999991))"
mijnbouw_blokverdeling_ncp2013.6,0,,A10,,,"POLYGON ((55.49930200599999 3.3318650019999723, 55.33263000599999 3.331871002000014, 55.33262800599999 3.1873430019999773, 55.49930200599999 3.256919002000018, 55.49930200599999 3.3318650019999723))"
mijnbouw_blokverdeling_ncp2013.7,0,,A11,,,"POLYGON ((55.49930600599998 3.6652070019999883, 55.33263400599998 3.665213001999973, 55.33263000599999 3.331871002000014, 55.49930200599999 3.3318650019999723, 55.49930600599998 3.6652070019999883))"
mijnbouw_blokverdeling_ncp2013.8,0,,A12,,,"POLYGON ((55.49931000599997 3.964535001999991, 55.48398300600002 3.9985500020000018, 55.332638006000025 3.998555001999989, 55.33263400599998 3.665213001999973, 55.49930600599998 3.6652070019999883, 55.49931000599997 3.964535001999991))"
mijnbouw_blokverdeling_ncp2013.9,0,,A13,,,"POLYGON ((55.33263000599999 3.331871002000014, 55.16595800599998 3.3318780019999963, 55.16595500599999 3.1183670020000136, 55.33262800599999 3.1873430019999773, 55.33263000599999 3.331871002000014))"
mijnbouw_blokverdeling_ncp2013.10,0,,A14,,,"POLYGON ((55.33263400599998 3.665213001999973, 55.16596200599997 3.665219002000015, 55.16595800599998 3.3318780019999963, 55.33263000599999 3.331871002000014, 55.33263400599998 3.665213001999973))"
mijnbouw_blokverdeling_ncp2013.11,0,,A15,,,"POLYGON ((55.332638006000025 3.998555001999989, 55.16596600600002 3.998561001999974, 55.16596200599997 3.665219002000015, 55.33263400599998 3.665213001999973, 55.332638006000025 3.998555001999989))"
mijnbouw_blokverdeling_ncp2013.12,0,,A16,,,"POLYGON ((55.16595800599998 3.3318780019999963, 54.99928500499999 3.331884001999981, 54.999282005 3.0499800009999944, 55.16595500599999 3.1183670020000136, 55.16595800599998 3.3318780019999963))"
mijnbouw_blokverdeling_ncp2013.13,0,,A17,,,"POLYGON ((55.16596200599997 3.665219002000015, 54.99928900499998 3.6652250019999997, 54.99928500499999 3.331884001999981, 55.16595800599998 3.3318780019999963, 55.16596200599997 3.665219002000015))"
mijnbouw_blokverdeling_ncp2013.14,0,,A18,,,"POLYGON ((55.16596600600002 3.998561001999974, 54.99929300500003 3.9985670020000157, 54.99928900499998 3.6652250019999997, 55.16596200599997 3.665219002000015, 55.16596600600002 3.998561001999974))"
mijnbouw_blokverdeling_ncp2013.15,0,,B10,,,"POLYGON ((55.332642006000015 4.331897002999995, 55.332638006000025 3.998555001999989, 55.48398300600002 3.9985500020000018, 55.332642006000015 4.331897002999995))"
mijnbouw_blokverdeling_ncp2013.16,0,,B13,,,"POLYGON ((55.332642006000015 4.331897002999995, 55.16597000600001 4.331903002999979, 55.16596600600002 3.998561001999974, 55.332638006000025 3.998555001999989, 55.332642006000015 4.331897002999995))"
