FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B12.379,EHAM,MBS1,305.62,,19.00015709,B12,,,"LINESTRING (620215.5433 5796865.454600001, 590539.4556999998 5815819.199100001)"
B12.380,MBS1,MBS2,272.26,,22.7938903,B12,,,"LINESTRING (590539.4556999998 5815819.199100001, 548309.7972999997 5816890.0385)"
B12.381,MBS2,MBS3,230.31,,30.41501007,B12,,,"LINESTRING (548309.7972999997 5816890.0385, 505128.52940000035 5780659.6335)"
B12.382,MBS3,MBS4,219.08,,18.33971006,B12,,,"LINESTRING (505128.52940000035 5780659.6335, 483673.41530000046 5754298.833900001)"
B12.383,MBS4,NL11,221.17,,8.5255678,B12,,,"LINESTRING (483673.41530000046 5754298.833900001, 473222.06319999974 5742449.1545)"
B12.384,NL11,MBS4,41.17,,8.5255678,B12,,,"LINESTRING (473222.06319999974 5742449.1545, 483673.41530000046 5754298.833900001)"
B12.385,MBS4,Maas-C,83.21,,42.15588764,B12,,,"LINESTRING (483673.41530000046 5754298.833900001, 561243.0833999999 5763607.7685)"
B12.386,Maas-C,MBS6,5.54,,18.84669948,B12,,,"LINESTRING (561243.0833999999 5763607.7685, 559053.6458 5798467.1021)"
B12.387,MBS6,MBS7,214.85,,18.28323489,B12,,,"LINESTRING (559053.6458 5798467.1021, 539971.5800999999 5770467.375499999)"
B12.388,MBS7,MBS4,254.11,,31.60571773,B12,,,"LINESTRING (539971.5800999999 5770467.375499999, 483673.41530000046 5754298.833900001)"
B12.389,MBS4,NL11,221.17,,8.5255678,B12,,,"LINESTRING (483673.41530000046 5754298.833900001, 473222.06319999974 5742449.1545)"
B12.390,NL11,MBS4,41.17,,8.5255678,B12,,,"LINESTRING (473222.06319999974 5742449.1545, 483673.41530000046 5754298.833900001)"
B12.391,MBS4,MBS7,74.11,,31.60571773,B12,,,"LINESTRING (483673.41530000046 5754298.833900001, 539971.5800999999 5770467.375499999)"
B12.392,MBS7,MBS6,34.85,,18.28323489,B12,,,"LINESTRING (539971.5800999999 5770467.375499999, 559053.6458 5798467.1021)"
B12.393,MBS6,Maas-C,185.54,,18.84669948,B12,,,"LINESTRING (559053.6458 5798467.1021, 561243.0833999999 5763607.7685)"
B12.394,Maas-C,MBS4,263.21,,42.15588764,B12,,,"LINESTRING (561243.0833999999 5763607.7685, 483673.41530000046 5754298.833900001)"
B12.395,MBS4,MBS3,39.08,,18.33971006,B12,,,"LINESTRING (483673.41530000046 5754298.833900001, 505128.52940000035 5780659.6335)"
B12.396,MBS3,MBS2,50.31,,30.41501007,B12,,,"LINESTRING (505128.52940000035 5780659.6335, 548309.7972999997 5816890.0385)"
B12.397,MBS2,MBS1,92.26,,22.7938903,B12,,,"LINESTRING (548309.7972999997 5816890.0385, 590539.4556999998 5815819.199100001)"
B12.398,MBS1,EHAM,125.62,,19.00015709,B12,,,"LINESTRING (590539.4556999998 5815819.199100001, 620215.5433 5796865.454600001)"
