;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
1nergiek B.V.;;;1;;;;;;;1
247 Security B.V.;;1;;;;;;;;1
2CoolMonkeys B.V.;;;;;;;;2;;2
4walls;;;;;;;1;;;1
7Day;;;;;;;;1;;1
A. van Helden Relatiegeschenken B.V.;;;;;;;;1;;1
A.J. van der Linde B.V.;;;;;;;1;;;1
About Flowers;;;;;;;2;;;2
Academy Payroll Professionals;1;;;;;;;;;1
Accres Holding B.V.;1;;;;;;;;;1
AcquiMedia;;1;;;;;;;;1
A-Frames;;;;;;;1;;;1
Ag8 Productieservice;;;;;;;;2;;2
Agents of Change;;;;;;;2;;;2
Agile productontwikkeling B.V.;;;;;;;1;;;1
Ahoy Rotterdam N.V.;1;;;;;;;;;1
Ahrend Nederland B.V.;;;;;;;1;;;1
AKD N.V.;;;;;;;;1;;1
ALBA Specials B.V.;;;;;;;;1;;1
Albron Nederland;1;;;;;;;;;1
Albron Nederland B.V.;7;;;;;;;;;7
Alex Fischer;;;;;;;1;;;1
Algemene Lawntennis Vereniging Zoetermeer;;;;;;;;1;;1
Allekabels B.V.;;;;;;;;1;;1
AlpacaWorld-Flevoland;;;;;;;;1;;1
ALTER - HAAGLANDEN sleutels - sloten;;2;;;;;;;;2
Ambius B.V.;;;;;;;1;;;1
Andersson Elffers Felix;;2;;;;;;;;2
Anjo's Snackbar;1;;;;;;;;;1
Anna Vastgoed Beheer B.V.;3;;;;;;;;;3
Anneline Van Der zon Work Environment Insights;;;;;;;2;;;2
Annesas Appel;;;;;;;1;;;1
anoniem_BZK_151;;;;;;;;1;;1
anoniem_BZK_153;;;;;;;;2;;2
anoniem_BZK_160;;;;;1;;;;;1
anoniem_BZK_163;;;;;1;;;;;1
anoniem_BZK_171;;;;1;;;;;;1
anoniem_BZK_176;1;;;;;;;;;1
anoniem_BZK_387;;;;;;;;1;;1
anoniem_BZK_405;;;;;;;;;1;1
anoniem_BZK_418;;;;;;;;1;;1
anoniem_BZK_423;;;;;1;;;;;1
anoniem_BZK_52;;;;;;;1;;;1
anoniem_BZK_54;;;;;;;1;;;1
anoniem_BZK_55;;;;;;;1;;;1
anoniem_BZK_56;;;;;;;1;;;1
anoniem_BZK_57;;;;;;;1;;;1
anoniem_BZK_58;;;;;;;2;;;2
anoniem_BZK_99;;;;;;;;2;;2
Antalis B.V.;;;;1;;;;;;1
APG Service Partners B.V.;1;;;;;;;;;1
Arab. Translation Service;1;;;;;;;;;1
Arnage Horeca B.V.;1;;;;;;;;;1
Art 4 You Decorations;;;;;;;4;;;4
Art Print Design;;;;;1;;;;;1
Art Salvage B.V.;;;;;;;1;;;1
ASB Security B.V.;;1;;;;;;;;1
Ascom (Nederland) B.V.;;1;;;;;;;;1
Asito B.V.;;;6;;;;;;;6
ASSA ABLOY Nederland B.V.;;1;;;;;;;;1
Asset Health Dynamics B.V.;;;;;2;;;;;2
Atelier 2t;;;;;1;;;;;1
Atelier Van Zijderveld;;;;;;;1;;;1
Atir Schoonmaakstrategen;;;1;;;;;;;1
Atrium Vastgoedmanagement B.V.;1;;;;;;;;;1
Atticus B.V.;;;;;;;;2;;2
August;1;;;;;;;;;1
AVB Language Group B.V.;;;;;1;;;;;1
Back Quality Europe (B.Q.E.) B.V.;;;;;;;1;;;1
Bakx & Meijer B.V.;2;;;;;;;;;2
Banketbakkerij Boheemen;1;;;;;;;;1;1
Banketbakkerij De Kruyter;1;;;;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;;;;;1;;1
Bartholomeus Gasthuis;1;;;;;;;;;1
Base One Productions;;;;;;;1;;;1
Bavak Beveiligingsgroep B.V.;;3;;;;;;;;3
Bax-shop.nl B.V.;;;;;;;;;;
Bemeij Schoonmaakbedrijf B.V.;;;1;;;;;;;1
Benefit Inkoopadviesgroep B.V.;;;;;;;;;;
Bennies Fifties B.V.;;;;;;;1;;;1
Berenschot Groep B.V.;;;;;2;;;;;2
Beuk Touringcars;1;;;1;;;;;;1
bijHanz, B.V.;1;;;;;;;;;1
BMC Implementatie;;;;;3;;;;;3
Bobbe International B.V.;;;;;1;;;;;1
bol.com B.V.;;;;;1;;1;1;;1
Boom uitgevers Den Haag;;;;;;;;1;;1
Boon Edam Nederland B.V.;;;;;;;3;;;3
BOOZTR B.V.;;;;;;;1;;;1
Bouw- en Aannemingsbedrijf L. Dijkxhoorn B.V.;;;;;;;2;;;2
Bouwkennis B.V.;;;;;1;;;;;1
BPI Services B.V.;;1;;;;;;;;1
Bremen Bouwadviseurs B.V.;;;;;;;;;1;1
Brink Industrial Holding B.V.;;;;;;3;;;;3
Broodjestijd B.V.;1;;;;;;;;;1
Brummelkamp Onderzoek voor de Publieke Sector;;;;;;;2;;;2
Budgetgift.nl B.V.;;;;;1;;;;;1
Building Organisation of Students Society;;;;;;;;1;;1
Buitenwerkplaats;1;;;;;;;;;1
Buro Wittenburg;;;;;;;;1;;1
Burrata Goudenregenplein B.V.;;;;;;;;1;;1
BUTTONS.NL;;;;;;;;1;;1
Buyitdirect.com B.V.;;;;;;;;2;;2
Buyitdirect.com N.V.;;;;;;;2;1;;2
C.Q. Reclame B.V.;;;;;1;;;;;1
Café Biljart Slijterij Het Witte Huus;1;;;;;;;;;1
Café Van Beek;;;;;1;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;;;;;;;1
Café-Restaurant De Mol B.V.;;;;;;;;1;;1
Café-Restaurant Pan;1;;;;;;;;;1
Canon Nederland N.V.;;;;;;;;1;;1
Card Vision B.V.;;;;;;;;1;;1
Carina Hesper;;;;;;;1;;;1
Centralpoint Amstelveen B.V.;;;;;;;;1;;1
Centralpoint Nijmegen B.V.;;;;;;;;2;;2
Centrum voor Civiliseren en Innoveren;;;;;2;;;;;2
Chairs;;;;;;;;1;;1
Christiaan Kuitwaard;;;;;;;2;;;2
Cinco Cleaning B.V.;;;;;;;1;;;1
Clean Way B.V.;;;;;;;;2;;2
CLOOS B.V.;;;;;1;;;;;1
Closing the Loop B.V.;;;;;;4;;;;4
Co/Works Support B.V.;;;;;;;2;;;2
Company Sandwich Den Haag;1;;;;;;;;;1
Company Sandwich Shop/Online shop;1;;;;;;;;;1
COMPAREX Nederland B.V.;;;;;;;5;1;;5
Compass Group Nederland B.V.;7;;;;;;;;;7
Concept912 B.V.;;;;;1;;;;;1
Connected Information Systems B.V.;;;;;1;;;;;1
Constructief Marketing en Managementexpertise;1;;;;;;;;;1
Constructief Tegendenken - Strategisch Advies;1;;;;;;;;;1
Coolblue B.V.;;;;;;;;1;;1
Coöperatie Stomerij.nl U.A.;;;;;;;;2;;2
Cormet Enjoy the Good Life B.V.;1;;;;;;;;;1
Cornelissen Service en Onderhoud B.V.;;;;;;;1;;;1
Creator Meeting Support B.V.;;;;;;;;2;;2
Croon advocaten N.V.;;;;;;;;;;
CSG, Bureau voor Facilitaire Dienstverlening;;1;;;;;;;;1
CSU B.V.;;;1;;;;;;;1
CSU Food Services;;;7;;;;;;;7
Cuisine de Lien;1;;;;;;;;;1
CWS Nederland;;;1;;;;;;;1
CWS Nederland B.V.;;;4;;;;;;;4
D & B Group;1;;;;;;;;;1
Daleman Lijsten;;;;;;;1;;;1
De Bakkers B.V.;1;;;;;;;;;1
De Corridor;1;;;;;;;;;1
De Groene Artisanen B.V.;3;;;;;;;;;3
De Haagsche Reclamewinkel;;;;;1;;;;;1
De Horeca Academie Zakelijk B.V.;2;;;;;;;;;2
De horeca mannen;1;;;;;;;;;1
De Investeringsmaatschappij B.V.;;;;;1;;;;;1
De Pier Horeca B.V.;;;;;;;;1;;1
De Raat Security Products B.V.;;1;;;;;2;1;;2
De Resolutie Rijswijk B.V.;;;;;;;1;1;;1
De Stickerkoning B.V.;;;;;1;;;;;1
De Tijd' Bedrijfskleding;;;;;;;;2;;2
DéBlé-Venlo;;;;;;;;1;;1
Defibrion;;3;;;;;;;;3
Dekker Zoetermeer;1;;;;;;;;;1
Delftsch Bouwkundig Stud. Gezelschap Stylos;;;;;;;;1;;1
Delta International Uniformuitrustingen B.V.;;;;;1;;;1;;1
Dienst Opleidingen Rotterdam;1;;;;;;;;;1
Digital Revolution B.V.;;;;;;;;1;;1
Discountoffice.nl B.V.;;;;;;;1;1;;1
Dokkumer Vlaggen Centrale B.V.;;1;;;;;;;;1
Donna's Kitchen B.V. (Domino's);1;;;;;;;;;1
Douwe Egberts Horeca;3;;;;;;;;;3
DPI;2;;;;;;;;;2
Drukkerij Grafics;;;;;1;;;;;1
Drukwerkdeal Productie B.V.;;;;;;;1;1;;1
Dudok Den Haag B.V.;1;;;;;;;;;1
Dulang Indonesische Lekkernijen;1;;;;;;;;;1
Dyson B.V.;;;;;;;;1;;1
EcoSmart Nederland B.V.;;;;;;2;;;;2
Eduard Bos Electronic Publishing II B.V.;;;;;;;2;;;2
Effektief Groep B.V.;;;2;;;;;;;2
Eigen Bediening;1;;;;;;;;;1
Elba Media B.V.;;;;;;;;2;;2
Elis Nederland B.V.;;;3;;;;;;;3
Elycio Vertalers;;;;;;;;1;;1
Emtek Ergonomics B.V.;;;;;;;1;;;1
Entropia Critical Concepts B.V.;;2;;;;;;;;2
EOM Design B.V.;;;;;;;1;;;1
Ergo2Go B.V.;;;;;;;;1;;1
Ergo2Work B.V.;;;;;;;;1;;1
Eten & Zo Zoetermeer B.V.;1;;;;;;;;;1
Euro-Index B.V.;;;;;;;;1;;1
Europe Top Security B.V.;;1;;;;;;;;1
European Language Centre B.V.;;;;;;;;1;;1
Event Medical Service B.V.;;1;;;;;;;;1
Excellent AGF B.V.;;;;;;;;1;;1
Excellent Touringcars;;;;;;;;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;;;;;;1
F.A. Hietbrink;;;;;;;1;;;1
Faassen;;;;;;;1;;;1
FaberExposize B.V.;;;;;;;;1;;1
Facilion B.V.;;;;;1;;;;;1
Firma Hof der Muzen;1;;;;;;;;;1
Flash Rental Services B.V.;;1;;;;;;;;1
FloraHolland;;;;;;;;1;;1
Fotografie Siebe Swart;;;;;;;1;;;1
Fotohuisje B.V.;;;;;1;;;;;1
Fox-IT;;;;;;;;1;;1
Frama Nederland;;;;;;;;1;;1
Francis Boeske Projects;;;;;;;2;;;2
Frank van der Salm;;;;;;;1;;;1
Freek van den Bergh Fotografie;;;;;1;;;;;1
Frissetypes;;;;;1;;;;;1
FRUIT OP JE WERK;1;;;;;;;;;1
G.J. Floors B.V.;1;;;;;;;;;1
G10 B.V.;;;;;;;1;;;1
G4S Services;;2;;;;;;;;2
Gebr. Barendsen B.V.;;;;;1;;;;;1
