Kenteken,Carrosserie volgnummer,Carrosserie klasse volgnummer,Voertuigklasse,Voertuigklasse omschrijving
0074ZZ,1,1,1,Klasse I
0075ZZ,1,1,1,Klasse I
0076ZZ,1,1,1,Klasse I
0077ZZ,1,1,1,Klasse I
00BDH7,1,1,1,Klasse I
00BDR6,1,1,1,Klasse I
00BFK1,1,1,3,Klasse III
00BFZ3,1,1,3,Klasse III
00BHB2,1,1,3,Klasse III
00BHF3,1,1,B,Klasse B
00BHG9,1,1,3,Klasse III
00BHP6,1,1,1,Klasse I
00BHP7,1,1,1,Klasse I
00BHR4,1,1,1,Klasse I
00BHT6,1,1,1,Klasse I
00BHT8,1,1,2,Klasse II
00BHV9,1,1,2,Klasse II
00BJD1,1,1,3,Klasse III
00BJG4,1,1,3,Klasse III
00BJH9,1,1,3,Klasse III
00BJK1,1,1,3,Klasse III
00BJK6,1,1,3,Klasse III
00BJL2,1,1,3,Klasse III
00BJP3,1,1,3,Klasse III
00BJR1,1,1,2,Klasse II
00BJR8,1,1,3,Klasse III
00BJS2,1,1,3,Klasse III
00BJS4,1,1,1,Klasse I
00BKF6,1,1,1,Klasse I
00BKF7,1,1,1,Klasse I
00BKG2,1,1,1,Klasse I
00BKK6,1,1,3,Klasse III
00BKP8,1,1,2,Klasse II
00BKS5,1,1,3,Klasse III
00BKX1,1,1,2,Klasse II
00BKZ1,1,1,1,Klasse I
00BLD9,1,1,1,Klasse I
00BLN1,1,1,1,Klasse I
00BLN9,1,1,1,Klasse I
00BLP5,1,1,3,Klasse III
00BLP6,1,1,1,Klasse I
00BLZ9,1,1,1,Klasse I
00BNJ1,1,1,3,Klasse III
00BNK6,1,1,B,Klasse B
00BNX6,1,1,1,Klasse I
00BPB3,1,1,1,Klasse I
00BPD3,1,1,1,Klasse I
00BPV3,1,1,1,Klasse I
00BPV7,1,1,1,Klasse I
00BPZ8,1,1,1,Klasse I
00BRB2,1,1,1,Klasse I
00BRB4,1,1,1,Klasse I
00BRJ8,1,1,1,Klasse I
00BRT2,1,1,3,Klasse III
00BRV6,1,1,1,Klasse I
00BRZ2,1,1,3,Klasse III
00BSR5,1,1,3,Klasse III
00BTG8,1,1,3,Klasse III
0158ZZ,1,1,1,Klasse I
0159ZZ,1,1,1,Klasse I
0160ZZ,1,1,1,Klasse I
0161ZZ,1,1,1,Klasse I
0162ZZ,1,1,1,Klasse I
0163ZZ,1,1,1,Klasse I
0164ZZ,1,1,1,Klasse I
0165ZZ,1,1,1,Klasse I
01BDG9,1,1,1,Klasse I
01BDH7,1,1,1,Klasse I
01BFV5,1,1,3,Klasse III
01BGN6,1,1,1,Klasse I
01BGR7,1,1,3,Klasse III
01BHB2,1,1,3,Klasse III
01BHD5,1,1,3,Klasse III
01BHD8,1,1,B,Klasse B
01BHP6,1,1,1,Klasse I
01BHT8,1,1,2,Klasse II
01BHX4,1,1,A,Klasse A
01BJD1,1,1,3,Klasse III
01BJR1,1,1,2,Klasse II
01BJV3,1,1,A,Klasse A
01BKD2,1,1,1,Klasse I
01BKF7,1,1,1,Klasse I
01BKG2,1,1,1,Klasse I
01BKR2,1,1,3,Klasse III
01BLD9,1,1,1,Klasse I
01BLN1,1,1,1,Klasse I
01BLZ9,1,1,1,Klasse I
01BNB8,1,1,3,Klasse III
01BNK8,1,1,1,Klasse I
01BNL1,1,1,3,Klasse III
01BNV5,1,1,1,Klasse I
01BNX6,1,1,1,Klasse I
01BPB2,1,1,3,Klasse III
01BPB3,1,1,1,Klasse I
01BPD3,1,1,1,Klasse I
01BPS2,1,1,3,Klasse III
01BPV3,1,1,1,Klasse I
01BPV7,1,1,1,Klasse I
01BRB2,1,1,1,Klasse I
01BRB4,1,1,1,Klasse I
01BRS8,1,1,1,Klasse I
01BRT2,1,1,3,Klasse III
01BRV6,1,1,1,Klasse I
01BRX8,1,1,3,Klasse III
01BSV7,1,1,3,Klasse III
01BTB2,1,1,3,Klasse III
01BTR3,1,1,3,Klasse III
01BTT5,1,1,3,Klasse III
0212ZZ,1,1,1,Klasse I
0221ZZ,1,1,1,Klasse I
0222ZZ,1,1,1,Klasse I
0223ZZ,1,1,1,Klasse I
0224ZZ,1,1,1,Klasse I
0225ZZ,1,1,1,Klasse I
0226ZZ,1,1,1,Klasse I
0235ZZ,1,1,1,Klasse I
0236ZZ,1,1,1,Klasse I
0237ZZ,1,1,1,Klasse I
0238ZZ,1,1,1,Klasse I
0245ZZ,1,1,1,Klasse I
0247ZZ,1,1,1,Klasse I
0248ZZ,1,1,1,Klasse I
0249ZZ,1,1,1,Klasse I
0250ZZ,1,1,1,Klasse I
0251ZZ,1,1,1,Klasse I
0252ZZ,1,1,1,Klasse I
0253ZZ,1,1,1,Klasse I
0254ZZ,1,1,1,Klasse I
0255ZZ,1,1,1,Klasse I
02BDG9,1,1,1,Klasse I
02BDH7,1,1,1,Klasse I
02BFZ5,1,1,2,Klasse II
02BHD8,1,1,3,Klasse III
02BHP4,1,1,1,Klasse I
02BHP6,1,1,1,Klasse I
02BHV9,1,1,2,Klasse II
02BHX8,1,1,1,Klasse I
02BHZ8,1,1,1,Klasse I
02BJJ2,1,1,3,Klasse III
02BJR1,1,1,2,Klasse II
02BJR8,1,1,3,Klasse III
02BJS4,1,1,1,Klasse I
02BJV3,1,1,A,Klasse A
02BKF6,1,1,1,Klasse I
02BKF7,1,1,1,Klasse I
02BKG2,1,1,1,Klasse I
02BKR2,1,1,3,Klasse III
02BKS8,1,1,3,Klasse III
02BKZ1,1,1,1,Klasse I
02BLN1,1,1,1,Klasse I
02BLN9,1,1,1,Klasse I
02BLP6,1,1,1,Klasse I
02BLT9,1,1,3,Klasse III
02BLZ9,1,1,1,Klasse I
02BNB8,1,1,3,Klasse III
02BNS4,1,1,3,Klasse III
02BNT1,1,1,1,Klasse I
02BNT5,1,1,1,Klasse I
02BNX6,1,1,1,Klasse I
02BPB2,1,1,3,Klasse III
02BPD3,1,1,1,Klasse I
02BPV1,1,1,1,Klasse I
02BPV6,1,1,1,Klasse I
02BPV7,1,1,1,Klasse I
02BPX3,1,1,1,Klasse I
02BPZ8,1,1,1,Klasse I
02BPZ9,1,1,1,Klasse I
02BRB2,1,1,1,Klasse I
02BRB3,1,1,1,Klasse I
02BRB4,1,1,1,Klasse I
02BRS8,1,1,1,Klasse I
02BRT2,1,1,3,Klasse III
02BRV5,1,1,1,Klasse I
02BRV6,1,1,1,Klasse I
02BRX5,1,1,3,Klasse III
02BSP6,1,1,1,Klasse I
02BST1,1,1,1,Klasse I
02BTB7,1,1,3,Klasse III
02BTL7,1,1,3,Klasse III
02BTT5,1,1,3,Klasse III
03BDH9,1,1,1,Klasse I
03BGN6,1,1,1,Klasse I
03BGS5,1,1,3,Klasse III
03BHB2,1,1,3,Klasse III
03BHB3,1,1,3,Klasse III
03BHB4,1,1,3,Klasse III
03BHD5,1,1,3,Klasse III
03BHD8,1,1,3,Klasse III
03BHG6,1,1,3,Klasse III
03BHP2,1,1,B,Klasse B
03BHP4,1,1,1,Klasse I
03BHP6,1,1,1,Klasse I
03BHP7,1,1,1,Klasse I
03BHR5,1,1,1,Klasse I
03BHV9,1,1,2,Klasse II
03BHX3,1,1,2,Klasse II
03BHX4,1,1,A,Klasse A
