Ministerie;Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
AZ;Actendo B.V.;;;;;1;;;;1
AZ;Axiell ALM Netherlands B.V.;;;;1;;;;;1
AZ;Axway B.V.;;;;;1;;;;1
AZ;BCT B.V.;;;;;1;;;;1
AZ;Bumicom Telecommunicatie B.V.;;;1;;;;;;1
AZ;Centralpoint Amstelveen B.V.;;1;;;;;;;1
AZ;Centric Netherlands B.V.;;;;;1;;;;1
AZ;CM.COM Netherlands B.V.;;;;;;;1;;1
AZ;Dataplus Netherlands B.V.;;;;;1;;;;1
AZ;DEDACOM B.V.;;;;;;;1;;1
AZ;Digital Revolution B.V.;;1;;;;;;;1
AZ;Discountoffice.nl B.V.;;1;;;;;;;1
AZ;DTG B.V.;;;;;;;1;;1
AZ;Entco Nederland B.V.;;;;;1;;;;1
AZ;Entopic B.V.;;;;;1;;;;1
AZ;Frama Nederland;;;;;1;;;;1
AZ;Hafo B.V.;;1;;;;;;;1
AZ;Holland Catering Specialisten Loc. Woudestein;;1;1;;;;;;1
AZ;ING Bank N.V.;;;;1;1;;;;1
AZ;KPN Contact lokatie Eindhoven;;;;;1;;1;;1
AZ;KPN Mobiel;;;;;;;1;;1
AZ;KPN Ventures B.V.;;;;;;;1;;1
AZ;Multi-Post Nederland B.V.;;;1;;;;;;1
AZ;Netlink B.V.;;;1;;;;;;1
AZ;Notificare B.V.;;;;1;;;;;1
AZ;Noyz Boyz Advanced Audio Services B.V.;;;1;;;;;;1
AZ;OrangeMason B.V.;;;;;1;;;;1
AZ;Pardon Consult;;;;;1;;;;1
AZ;PointLogic Solutions B.V.;;;;;1;;;;1
AZ;Preware IT B.V.;;;;;1;;;;1
AZ;SecureLink Nederland B.V.;;;;;;;;1;1
AZ;Softcrow B.V.;;;;;1;;;;1
AZ;Solvinity B.V.;;;;;;;;1;1
AZ;Textualities;;;;;1;;;;1
AZ;Tint, Buro voor Grafische Vormgeving;;;;;1;;;;1
BZ;CM.COM Netherlands B.V.;;;;;;;1;;1
BZ;Coolblue B.V.;;1;;;;;;;1
BZ;Fortes Solutions B.V.;;;;;;;;1;1
BZ;ISS Integrated Facility Services B.V.;;;;;;;;1;1
BZ;Ivo Broekhuizen Communicatie;;;;;1;;;;1
BZ;Pardon Consult;;;;;;;;1;1
BZ;Schut-Copex B.V.;;;;;;;;1;1
BZ;Transip B.V.;;;;;;;;1;1
BZ;Vodafone Libertel B.V.;;;;;;;1;;1
BZ;Worldmeetings.com B.V.;;;;;;;;1;1
BZ;Xerox (Nederland) B.V.;;;;;;;;1;1
BZK;1Password;;;;1;;;;;1
BZK;5hart-IT Opleidingen B.V.;;;1;;;;;;1
