OBJECTID;SBN;DBL;Type;Naam_locatie;Adres;Postcode;Stadsdeel;Wijk;Buurt;X;Y;LONG;LAT
1;997;;Early voting;Svv Scheveningen;Laan van Poot 38C;2566 EC;Segbroek;Vogelwijk;Vogelwijk;78267.47800000012;455846.6070000008;4.267658052511778;52.08556077014717
2;987;;Early voting;Budosportcomplex Lu Gia Jen;Baambruggestraat 8A;2546 SK;Escamp;Leyenburg;Leyenburg;78336.1559999995;452637.8900000006;4.269380584586814;52.05673462970255
3;957;;Early voting;Bewonersver. Noordelijk Scheveningen;Gentsestraat 22A;2587 HT;Scheveningen;Belgisch Park;Belgisch Park;79767.14799999818;458726.9849999994;4.288898939231533;52.11165159477382
4;947;;Early voting;Svv Scheveningen;Laan van Poot 38C;2566 EC;Segbroek;Vogelwijk;Vogelwijk;78267.47800000012;455846.6070000008;4.267658052511778;52.08556077014717
5;937;;Early voting;Budosportcomplex Lu Gia Jen;Baambruggestraat 8A;2546 SK;Escamp;Leyenburg;Leyenburg;78336.1559999995;452637.8900000006;4.269380584586814;52.05673462970255
6;907;;Early voting;Bewonersver. Noordelijk Scheveningen;Gentsestraat 22A;2587 HT;Scheveningen;Belgisch Park;Belgisch Park;79767.14799999818;458726.9849999994;4.288898939231533;52.11165159477382
7;625;;Stembureau;Buurtcentrum de Stiel;Stieltjesstraat 848A;2521 TD;Laak;Laakkwartier en Spoorwijk;Laakhaven-West;81513.83100000024;452865.5720000006;4.315656827521711;52.05921129268071
8;615;;Stembureau;Laaktheater;Ferrandweg 4T;2523 XT;Laak;Laakkwartier en Spoorwijk;Laakkwartier-West;81292.35200000182;452579.44999999925;4.312489593980418;52.056610556900466
9;611;;Stembureau;Centrum De Wissel;Van Meursstraat 1A;2524 XN;Laak;Laakkwartier en Spoorwijk;Laakkwartier-West;81572.74799999967;452161.7950000018;4.316667067229041;52.05289440121031
10;586;;Stembureau;Hou van je huis;Denneweg 62A;2514 CJ;Centrum;Centrum;Voorhout;81340.10599999875;455733.2740000002;4.312505179664217;52.08495959500547
11;478;;Stembureau;Wijk -en buurtcentrum De Mallemok;Westduinweg 38D;2583 EH;Scheveningen;Scheveningen;Vissershaven;78227.62900000066;456669.7470000014;4.26689143867688;52.09295250118589
12;402;;Stembureau;Bewonersver. Noordelijk Scheveningen;Gentsestraat 22A;2587 HT;Scheveningen;Belgisch Park;Belgisch Park;79767.14799999818;458726.9849999994;4.288898939231533;52.11165159477382
13;379;;Stembureau;HEALTH & SPORTS CLUB WESTDUIN;Laan van Poot 355A;2566 DA;Segbroek;Vogelwijk;Vogelwijk;76611.64600000158;454910.81500000134;4.243718656270593;52.0769192351306
14;365;;Stembureau;SV Dunas;Zonnebloemstraat 159C;2565 RT;Segbroek;Bomen- en Bloemenbuurt;Bloemenbuurt-West;77387.51900000125;454601.58199999854;4.255104855452603;52.074249555631916
15;348;;Stembureau;Svv Scheveningen;Laan van Poot 38C;2566 EC;Segbroek;Vogelwijk;Vogelwijk;78267.47800000012;455846.6070000008;4.267658052511778;52.08556077014717
16;332;;Stembureau;Theater "Zaal 3";De Constant Rebecqueplein 20A;2518 RA;Segbroek;Regentessekwartier;Rond de Energiecentrale;79874.5390000008;454827.83100000024;4.29132564001707;52.07662572902147
17;182;156;Stembureau;Budosportcomplex Lu Gia Jen;Baambruggestraat 8A;2546 SK;Escamp;Leyenburg;Leyenburg;78336.1559999995;452637.8900000006;4.269380584586814;52.05673462970255
18;156;182;Stembureau;Budosportcomplex Lu Gia Jen;Baambruggestraat 8A;2546 SK;Escamp;Leyenburg;Leyenburg;78336.1559999995;452637.8900000006;4.269380584586814;52.05673462970255
19;105;;Stembureau;Wijk- en dienstencentrum De Wiekslag;Molenbrink 68A;2553 GR;Loosduinen;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;75986.08999999985;451906.73699999973;4.235290290228868;52.04983392749232
20;999;;Early voting;Hvv RAS;Albardastraat 15;2555 XP;Loosduinen;Waldeck;Rosenburg;77009.60500000045;453340.6420000009;4.249881503092863;52.06286488212124
21;998;;Early voting;Bibliotheek Transvaal;Hobbemaplein 30;2526 JB;Centrum;Transvaalkwartier;Transvaalkwartier-Midden;80225.64400000125;453763.0460000001;4.296679691898348;52.06710431323389
22;996;;Early voting;Stadsboerderij Landzigt;Aristoteleslaan 143;2493 ZN;Leidschenveen-Ypenburg;Leidschenveen;De Lanen;87179.43100000173;453152.9609999992;4.398201041368917;52.062516504741815
23;995;;Early voting;Wijk- en dienstencentrum De Sprong;Paviljoensgracht 33;2512 BL;Centrum;Centrum;Zuidwal;81292.57999999821;454531.9479999989;4.312071419340839;52.07415724831496
24;994;;Early voting;Pulchri Studio;Lange Voorhout 15;2514 EA;Centrum;Centrum;Voorhout;81289.23299999908;455400.51300000027;4.311834972883262;52.08196238508826
25;993;;Early voting;Wijkvereniging Zuiderpark;Escamplaan 55;2547 GA;Escamp;Rustenburg en Oostbroek;Rustenburg;78895.45199999958;453555.6889999993;4.27732958876492;52.06505970950233
26;992;;Early voting;Zwembad het Hofbad;Ypenburgse Boslaan 30;2496 ZA;Leidschenveen-Ypenburg;Hoornwijk;De Reef;86106.7650000006;452092.81700000167;4.382774858846011;52.05285669807224
27;991;;Early voting;Voetbalvereniging SVH;Noordweg 74;2548 AC;Escamp;Wateringse Veld;Erasmus Veld;79292.18200000003;450303.5020000003;4.283834860337407;52.03588755359753
28;990;;Early voting;S.V. Wateringse Veld Kranenburg;Guido de Moorstraat 35;2548 ZS;Escamp;Wateringse Veld;Zonne Veld;80053.99399999902;448097.98800000176;4.295418736894028;52.0161705635087
29;989;;Early voting;De Uithof;Jaap Edenweg 10;2544 NL;Escamp;Bouwlust;De Uithof;76374.22800000012;450674.77600000054;4.241231109113139;52.03881795018241
30;988;;Early voting;School2care Laakhaven;Willem Dreespark 307;2531 SX;Escamp;Moerwijk;Moerwijk-Noord;80985.43200000003;452607.5850000009;4.308009128159044;52.05682248924419
31;986;;Early voting;Bibliotheek Haagse Hout;Theresiastraat 195;2593 AJ;Haagse Hout;Bezuidenhout;Bezuidenhout-Oost;83238.29100000113;455986.368999999;4.340141971445524;52.087483393905565
32;985;;Early voting;Museum Sophiahof;Sophialaan 10;2514 JR;Centrum;Willemspark;Willemspark;80924.78299999982;455952.3189999983;4.306399071087834;52.086872683291936
33;984;;Early voting;Stadsdeelkantoor Escamp;Leyweg 813;2545 HA;Escamp;Morgenstond;Morgenstond-Zuid;79085.09699999914;451308.5850000009;4.280594148830024;52.044891651936034
34;983;;Early voting;Caballero Fabriek;Saturnusstraat 60;2516AH;Laak;Binckhorst;Binckhorst;83510.67599999905;453444.88800000027;4.344648085239773;52.06467876147458
35;982;;Early voting;Leonardo Royal Hotel Den Haag Promenade;van Stolkweg 1;2585 JL;Scheveningen;Van Stolkpark en Scheveningse Bosjes;Van Stolkpark en Scheveningse Bosjes;79626.60799999908;457089.0870000012;4.287209895986505;52.0969132356385
36;981;;Early voting;Wijk- en dienstencentrum De Heldenhoek;Elandstraat 88;2513 GV;Centrum;Zeeheldenkwartier;Zeeheldenkwartier;80257.4690000005;455232.2980000004;4.29682198384651;52.08031237450804
37;980;;Early voting;Buurthuis Sam Sam;Van Mierisstraat 226;2526 NW;Centrum;Schildersbuurt;Schildersbuurt-Noord;80878.28299999982;453687.3500000015;4.306212710803934;52.06651176266622
38;979;;Early voting;Stichting de Madelief;Boomaweg 100;2553 ED;Loosduinen;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;75247.89699999988;450436.51399999857;4.224873596426078;52.03651590507975
39;977;;Early voting;SV Loosduinen;Madesteinweg 17;2553 EC;Loosduinen;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;75175.27600000054;451665.15399999917;4.223528501998066;52.047546735512526
40;976;;Early voting;Hart van Moerwijk;Guntersteinweg 377;2531 KA;Escamp;Moerwijk;Moerwijk-Zuid;80156.68299999833;451201.57499999925;4.296235326646771;52.04407570099754
41;975;;Early voting;Scouting Ferguson;Muurbloemweg 41;2555 NB;Loosduinen;Bohemen en Meer en Bos;Bohemen en Meer en Bos;75917.68499999866;453748.86400000006;4.233866720072796;52.06637861498949
42;974;;Early voting;Kunstmuseum Den Haag;Stadhouderslaan 41;2517 HV;Scheveningen;Zorgvliet;Zorgvliet;79109.15700000152;456238.8420000002;4.2798488561246195;52.08920166586707
43;973;;Early voting;Wijkgebouw Thabor;Van Boetzelaerlaan 286;2581 BC;Scheveningen;Geuzen- en Statenkwartier;Geuzenkwartier;78463.35300000012;456930.9070000015;4.270272019581772;52.09533209341768
44;972;;Early voting;YMCA Escamp;Heelsumstraat 159;2573 NK;Escamp;Rustenburg en Oostbroek;Oostbroek-Noord;79168.81500000134;453837.22100000083;4.281252946580425;52.067627239147434
45;971;;Early voting;Wijkcentrum Het Trefpunt;Tesselsestraat 71;2583 JH;Scheveningen;Duindorp;Duindorp;77738.76799999923;456472.94299999997;4.259803576212479;52.091115882473545
46;970;;Early voting;Wijkcentrum 't Benoordenhuis;Bisschopstraat 5;2596 XH;Haagse Hout;Benoordenhout;Van Hoytemastraat e.o.;82033.66000000015;456485.00499999896;4.322461616097892;52.0918070626029
47;969;;Early voting;SBO De Springplank;Pachtersdreef 3;2542 XH;Escamp;Bouwlust;Dreven en Gaarden;77946.7190000005;450164.36199999973;4.264260959386414;52.034451795468996
48;968;;Early voting;Wijkgebouw Eltheto;Azaleaplein 2;2565 CE;Segbroek;Bomen- en Bloemenbuurt;Bloemenbuurt-Oost;77867.32999999821;454551.55099999905;4.2621136558788715;52.07386697619304
49;967;;Early voting;Ministerie van Binnenlandse Zaken;Turfmarkt 147;2511 DP;Centrum;Centrum;Uilebomen;81966.57899999991;455087.8520000018;4.321782080873623;52.07924232518047
50;966;;Early voting;Dienstencentrum Copernicus;Daguerrestraat 16;2561 TT;Segbroek;Regentessekwartier;Koningsplein e.o.;79338.01799999923;455008.83100000024;4.283460496697166;52.078179278184486
51;965;;Early voting;Wijkcentrum Bouwlust;Eekhoornrade 215;2544 VS;Escamp;Bouwlust;Venen, Oorden en Raden;77559.9140000008;451258.01000000164;4.258377151373011;52.044226172583905
52;964;;Early voting;Haagsche Rugby Club;Theo Mann-Bouwmeesterlaan 800;2597 HM;Haagse Hout;Benoordenhout;Duinzigt;82419.82400000095;458193.7490000017;4.327731811757442;52.107213907692405
53;963;;Early voting;Roemer Visscher College;Roemer Visscherstraat 106;2533 VG;Escamp;Moerwijk;Moerwijk-West;79850.94399999827;452020.48600000143;4.291599363571144;52.051393685379814
54;962;;Early voting;Madurodam;George Maduroplein 1;2584 RZ;Scheveningen;Van Stolkpark en Scheveningse Bosjes;Van Stolkpark en Scheveningse Bosjes;80441.02199999988;457319.8020000011;4.299042862839011;52.09909691132219
55;961;;Early voting;HVV Laakkwartier;Jan van Beersstraat 69;2523 JS;Laak;Laakkwartier en Spoorwijk;Laakkwartier-West;81845.5150000006;452434.5920000002;4.320584811634629;52.05538204999359
56;960;;Early voting;Wijkgebouw Rehoboth;Nieuwe Laantjes 127;2584 RV;Scheveningen;Scheveningen;Oud Scheveningen;78766.2490000017;457947.881000001;4.274464038152085;52.104513067647666
