Leverancier;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
(Naast) de Markt B.V.;;;1;;;;;;;1
Albron Nederland B.V.;1;;1;;;;;;;1
Allgifts.nl B.V.;1;;;;;;;;;1
Alpheios B.V.;;;7;;;;;;;7
Amaze Escape Events;;;1;;;;;;;1
Ambius B.V.;;;;;;;1;;;1
Anticimex B.V.;;;4;;;;;;;4
Asito B.V.;;;4;;;;;;;4
Atlantis Almere B.V.;;;1;;;;;;;1
Attack B.V.;;;1;;;;;;;1
Bali Food B.V.;;;1;;;;;;;1
Banketbakkerij Boheemen;;;1;;;;;;;1
Banketbakkerij Oonk;;;1;;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;;;;;;;1
Bingo jacht;;;1;;;;;;;1
BKFF bas kijzers fotografie en film;1;;;;;;;;;1
Boston Consulting Group B.V.;;4;;;;;;;;4
Bowlingcentrum Apeldoorn B.V.;;;1;;;;;;;1
Broekhuizen Communicatie;;;;;1;;;;;1
BSA Schaderegeling B.V.;;;1;;;;;;;1
Buwalda Multiservice Nederland B.V.;;;1;;;;;;;1
Buwalda Nederland B.V.;;;1;;;;;;;1
Buyitdirect.com B.V.;;2;;;;;;2;;2
B-wave Creative Content;;;;;1;;;;;1
Café Restaurant Rootz B.V.;;;1;;;;;;;1
CAOP;;;1;;;;;;;1
Carel Lurvink Facility B.V.;;;5;;;;;;;5
Cendris Dataconsulting B.V.;;;;;;;;;;
Centralpoint Nijmegen B.V.;;1;;;;;;1;;1
Chinees-Indisch Restaurant Malakka;;;1;;;;;;;1
Circuit Bedrijfskleding B.V.;;;;;;;;1;;1
Company Webcast B.V.;;;;;1;;;;;1
Compass Group Nederland B.V.;1;;;;;;;;;1
Coolblue B.V.;;;;;;;;1;;1
Corendon Village Exploitatie B.V.;;;1;;;;;;;1
CreditProfessionals B.V.;;;;;;;;;1;1
CSU B.V.;;;7;;;;;;;7
CWS Nederland;;;3;;;;;;;3
De Holland Winkel;;;;;;;;1;;1
De Kemper;;;1;;;;;;;1
De Partyhut B.V.;;;1;;;;;;;1
De Tijd' Bedrijfskleding;;;;;;;;1;;1
DeFaCo B.V.;;;6;;;;;;;6
Dolmans Calamiteiten Diensten;;;5;;;;;;;5
Dolmans Specialistische Reiniging B.V.;;;4;;;;;;;4
Douwe Egberts Horeca;1;;;;;;;;;1
DUOFORT B.V.;;;7;;;;;;;7
Eastern Plaza Bentelo B.V.;;;1;;;;;;;1
EG Noord B.V.;;;4;;;;;;;4
EG West B.V.;;;1;;;;;;;1
Elis Nederland B.V.;;;6;;;;;;;6
Emilia home hapjes;;;1;;;;;;;1
Faas Audiovisuele Dienstverlening;;;;;;;;1;;1
Facilion B.V.;;;;;1;;;;;1
Gispen Kantoorinrichting;;;;;;;3;;;3
Global Talk Netherlands;;;1;;;;;;;1
Gom Schoonhouden;;;4;;;;;;;4
Groenwens;;;;;;;1;;;1
Grooth. Ligterm.& Nijhuis Gerechtsd.& Inc. BV;;;;;;;;;1;1
Haagclean Products B.V.;;;1;;;;;;;1
