LMLABEL,STRAAT,WIJK,NIEUWECOMPOSITIE,AANSLUITING,VOEDING,GROEP,BLAD,AN,LON,LAT
KW-10,KWIKSTRAAT,OOSTERVAART,226111,DOORTIKKER,KW-09,,D,A,5.51597974587601,52.534942596945406
ZS-08,ZILVERSTRAAT,OOSTERVAART,226111,PRIMAIR,,,D,A,5.51562503434504,52.53333652697134
ZS-02,ZILVERSTRAAT,OOSTERVAART,226111,DOORTIKKER,ZS-01,,D,A,5.515253176139977,52.53136897012387
ZS-01,ZILVERSTRAAT,OOSTERVAART,226111,PRIMAIR,,,D,N,5.515212196521087,52.53115212469513
MS-01,MORTELSTRAAT,OOSTERVAART,226111,PRIMAIR,,,D,N,5.52044291649647,52.53539342576747
B-152,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.519897091798092,52.535602179532184
B-147,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520328244950551,52.53597167452684
B-156,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520015577575683,52.53621480703646
B-151,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520410468751258,52.53640000469486
B-160,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520141053838044,52.536817989881484
B-155,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520541304230974,52.53707240990086
B-164,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520233923404442,52.53737964305996
B-159,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520646793611242,52.53764298186244
BS-01,BETONSTRAAT,OOSTERVAART,226111,PRIMAIR,,,D,N,5.520889816511248,52.53771261432464
BS-07,BETONSTRAAT,OOSTERVAART,226111,DOORTIKKER,BS-01,,D,N,5.52371590764715,52.537517434635916
BS-06,BETONSTRAAT,OOSTERVAART,226111,DOORTIKKER,BS-01,,D,A,5.523242984713165,52.53754892143829
BS-04,BETONSTRAAT,OOSTERVAART,226111,DOORTIKKER,BS-01,,D,A,5.5223828718934955,52.53761119848924
BS-03,BETONSTRAAT,OOSTERVAART,226111,DOORTIKKER,BS-01,,D,N,5.521927208193014,52.53764324453477
B-168,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520345068110221,52.53792539509357
B-163,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520743592258564,52.53817066729082
B-172,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520446090914406,52.538471571749035
B-167,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520846367407009,52.53871448694522
B-176,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520552816820514,52.53901168442966
B-171,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.520956505423203,52.53926489477983
B-89,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.5152987920449466,52.52884524743299
B-91,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.516166984936169,52.528874835634355
B-92,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,3,D,L2,5.517017828959885,52.52899760752946
B-93,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.517477516974129,52.52891523807463
B-95,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.517910094374321,52.52892918636656
B-96,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,3,D,L2,5.51805151432303,52.52909196954438
B-97,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.51832741594409,52.52905072759708
B-98,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,3,D,L2,5.5184052267313,52.529240075183885
B-99,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.518672297544815,52.52922205769304
B-100,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,3,D,L2,5.518656706216668,52.529454214829414
B-101,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.518906576706042,52.52944477008325
B-102,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,3,D,L2,5.518781908707103,52.52971176789654
B-103,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,4,D,L2,5.5190620546930536,52.52969109242
B-104,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,3,D,L1,5.518840041251155,52.529977349062555
B-106,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,1,D,L2,5.518948626875023,52.530551635157984
GS-01,GOUDSTRAAT,OOSTERVAART,226111,STRVP,3023,1,D,N,5.518809146072166,52.53128290433328
GS-07,GOUDSTRAAT,OOSTERVAART,226111,STRVP,3023,1,D,N,5.516584360696894,52.53077895730311
GS-11,GOUDSTRAAT,OOSTERVAART,226111,PRIMAIR,,,D,N,5.514793315983052,52.53090828449551
GS-10,GOUDSTRAAT,OOSTERVAART,226111,DOORTIKKER,GS-11,,D,A,5.515206882265421,52.530880076881715
B-121,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,2,D,L2,5.519569141619232,52.5319342155524
B-120,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.519228202288951,52.53209342775645
B-123,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,2,D,L2,5.519656419638378,52.53245066110919
B-128,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.519361730013637,52.53277454954387
B-127,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,2,D,L2,5.519772901503946,52.53305755765056
B-132,BINNENHAVENWEG,DREVEN,266410,PRIMAIR,,,D,N,5.519482360523129,52.53337514162638
B-131,BINNENHAVENWEG,DREVEN,266410,STRVP,3023,2,D,L2,5.519880058906719,52.5336159332188
AS-01,ASFALTSTRAAT,OOSTERVAART,226111,STRVP,3023,2,D,L2,5.520070369662777,52.533430918394714
