AreaManagerId,AreaId,StartDateSpecifications,Capacity,EndDateSpecifications,ChargingPointCapacity,DisabledAccess,MaximumVehicleHeight,LimitedAccess
355,355_PRZEI,20200612135600,42,,0,0,0,N
150,150_WILH,20200810145911,293,,4,1,200,N
1980,1980_RHPL,20211126145519,180,,0,,0,N
200,TUNNEL_TER,20160812122959,0,,0,0,0,N
34,34_P7,20200714142745,408,,2,0,200,N
202,202_PRTRA,20191121113112,645,,0,,0,N
202,202_PRAZU,20191121113531,164,,0,,0,N
2449,106_MERC,20191219141118,288,,0,0,195,N
193,193_LUBECK,20200714103503,385,,4,0,200,N
202,GAR_CENTR,20200819084343,1050,,14,,200,N
202,GAR_ROZET,20200819084638,450,,0,,200,N
200,WALTERBOS,20160812123034,0,,0,0,0,N
200,KANAALNRD,20160812122543,0,,0,0,0,N
200,STA_ZUID_1,20160812122852,0,,0,0,0,N
356,356_GARSH,20201229123440,538,,0,,210,N
307,307_PTSFB,20201229114120,0,,0,0,0,N
1924,1924_CPOUD,20191219120939,50,,0,,0,N
200,WELGELEGEN,20160812123102,0,,0,0,0,N
200,ROSARI_TER,20160812122743,0,,0,0,0,N
202,202_PRPRE,20191121113155,10,,0,,0,N
202,GAR_MUSIS,20200819084509,690,,4,,200,N
200,STA_ZUID_2,20160812122925,0,,0,0,0,N
200,SPRENG_TER,20160812122819,0,,0,0,0,N
995,995_P6,20200715083439,240,,0,1,0,J
200,RANDZONE,20160812122712,0,,0,0,0,N
2449,106_KOLK,20191219141032,500,,3,0,225,N
2001,1930_BERNH,20171122075941,20,,0,0,0,N
2449,597_JHOF,20141101000000,147,20991231235959,0,1,190,
2001,482_PAPWES,20171122082820,52,,0,0,0,N
2001,707_NIEUWL,20171122100615,24,,0,0,0,N
392,392_STA,20141101000000,460,20991231235959,0,0,200,
1930,1930_KOLK,20161003155819,0,,0,0,210,N
2449,106_NEPT,20191219141237,190,,0,0,195,N
2001,546_LEIDEN,20171122085417,244,,0,0,0,N
2001,1931_LEKKE,20171122082303,8,,0,0,0,N
202,202_CPANO,20191121113338,235,,0,,0,N
2001,1525_SASSH,20171121162850,21,,0,0,0,N
150,150_STPBG,20200608145942,33,,0,0,190,N
2001,599_ROTDAM,20171122095706,30,,0,0,0,N
2001,584_OUDBEI,20171122095545,30,,0,0,0,N
590,590_CPPAP,20191219120418,52,,0,,0,N
2001,627_WADDIN,20171122100107,63,,0,0,0,N
34,34_P3,20200716102635,445,,2,0,190,N
828,828_BOSS,20220408115118,270,,0,1,205,N
150,AS,20160107095805,59,,0,0,0,N
160,2,20211214115520,275,,0,1,210,N
150,150_NOORD,20160107094232,0,,4,0,0,N
1680,1680_PRGIE,20191219121931,66,,0,,0,N
2449,599_WEST,20141101000000,350,20991231235959,1,1,210,
928,928_PRCHE,20200626150259,25,,0,,0,N
34,34_P9,20200717083324,230,,2,0,200,N
