DOSSIERNR;REGISTR_OMS;TYPE_OMS;LOKATIEAAND;STATUS_OMS;DDINDIENING;DD_AFGEHANDELD;DD_BESCHIKKING_VERLEEND;DD_GEWEIGERD;DD_TIJDELIJKE_VERGUNNING;DD_BUITEN_BEHANDELING;DD_INGETROKKEN;DD_RECHTSWEGE;DD_NIET_VERGUNNINGPLICHTIG;DD_OVERIG_ONBEPAALD;BUURT;WIJK;STADSDEEL;COUNTER;X;Y;LONG;LAT
202205073;het verwijderen van asbesthoudende materialen uit het pand Forellendaal 93;Sloopmelding;Forellendaal 93 ;Afgehandeld;2022-03-21;2022-03-21;;;;;;;;2022-03-21;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;Loosduinen;1;76198.522;451513.079;4.238477438593618;52.04632666590135
202205072;het vergroten van de woning Stevinstraat 190A door het maken van een dakuitbouw op de 2e verdieping aan de achterzijde (legalisatie);Aanvraag Wabo;Stevinstraat 190A;Einde beschikkingsfase: beschikking afgegeven;2022-03-21;2022-09-01;2022-09-01;;;;;;;;Belgisch Park;Belgisch Park;Scheveningen;2;79993.741;458652.736;4.292222518005219;52.11101553747549
202205044;het vergroten van de woning Valkenboslaan 107C door het maken van een uitbouw aan de achterzijde op de 2e verdieping;Aanvraag Wabo;Valkenboslaan 107C;Einde beschikkingsfase: beschikking afgegeven;2022-03-21;2022-04-28;2022-04-28;;;;;;;;Valkenboskwartier;Valkenboskwartier;Segbroek;3;78757.738;454634.255;4.275080676028561;52.074733840437105
202203663;het veranderen van de woning Breitnerlaan 13 door het maken van een dakterras met dakluik;Aanvraag Wabo;Breitnerlaan 13;Einde beschikkingsfase: beschikking afgegeven;2022-02-27;2022-05-10;2022-05-10;;;;;;;;Van Hoytemastraat e.o.;Benoordenhout;Haagse Hout;4;82257.734;456573.096;4.325711929145419;52.09262864889334
202203653;het veranderen van de woning Handellaan 30 door het maken van een constructieve doorbraak tussen de voorkamer en woonkamer aan de voorzijde op de 1e verdieping;Aanvraag Wabo;Handellaan 30;Afgehandeld;2022-02-26;2022-03-29;2022-03-29;;;;;;;;Componistenbuurt;Waldeck;Loosduinen;5;76426.505;453555.121;4.2413304981678985;52.06471014793896
202203636;het vergroten van de kelder van de woning Roodborstlaan 8;Aanvraag Wabo;Roodborstlaan 8;Einde beschikkingsfase: beschikking afgegeven;2022-02-25;2022-07-13;2022-07-13;;;;;;;;Vogelwijk;Vogelwijk;Segbroek;6;77868.369;455692.52;4.261870818698544;52.084120915730026
202203628;het gedeeltelijk slopen van het pand Turfmarkt 103 ten behoeve van de uitvoering van een bouwplan;Sloopmelding;Turfmarkt 103;Afgehandeld;2022-02-25;2022-03-23;;;;;;;;2022-03-23;Uilebomen;Centrum;Centrum;7;81893.852;455052.996;4.3207287248031605;52.078919903395914
202202192;het verwijderen van asbesthoudende materialen uit het pand Kapelweg 15;Sloopmelding;Kapelweg 15 ;Afgehandeld;2022-02-07;2022-02-07;;;;;;;;2022-02-07;Rijslag;Scheveningen;Scheveningen;8;79682.148;458209.029;4.287772636027182;52.10698575238811
202202186;Gebruiksmelding Kneuterdijk 18A (bestemd voor de VRH);Aanvraag Wabo;;Afgehandeld;2022-02-06;2022-02-06;;;;;;;;2022-02-06;Voorhout;Centrum;Centrum;9;81072.65;455295.029;4.308698585928857;52.080985963711
202202179;het veranderen van de woning Fahrenheitstraat 688 door het maken van een constructieve doorbraak en het vervangen van de kozijnen;Aanvraag Wabo;Fahrenheitstraat 688;Afgehandeld;2022-02-05;2022-03-29;2022-03-29;;;;;;;;Bloemenbuurt-Oost;Bomen- en Bloemenbuurt;Segbroek;10;78224.201;455296.219;4.2671505807322205;52.080608963342925
