FID,datummutatie,naammuteerder,bron,status,genormeerd,omschrijving,rwsdienst,waterlichaam,opmerkingen,gdb_geomattr_data,shape
kunstwerk_niet_in_beheer_bij_rws_legger.1,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Bemalingsinstallatie,MN,Amsterdam-Rijnkanaal,,,POINT (158563.43389999866 436331.61389999837)
kunstwerk_niet_in_beheer_bij_rws_legger.2,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156802.55909999833 438066.44310000166)
kunstwerk_niet_in_beheer_bij_rws_legger.3,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156803.02050000057 438067.28170000017)
kunstwerk_niet_in_beheer_bij_rws_legger.4,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156803.57510000095 438067.7531000003)
kunstwerk_niet_in_beheer_bij_rws_legger.5,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156801.89009999856 438068.2190999985)
kunstwerk_niet_in_beheer_bij_rws_legger.6,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156804.5865000002 438069.0731000006)
kunstwerk_niet_in_beheer_bij_rws_legger.7,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156802.69269999862 438069.09369999915)
kunstwerk_niet_in_beheer_bij_rws_legger.8,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156218.31610000134 438517.2181000002)
kunstwerk_niet_in_beheer_bij_rws_legger.9,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156219.6050999984 438518.64009999856)
kunstwerk_niet_in_beheer_bij_rws_legger.10,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156217.70369999856 438518.92870000005)
kunstwerk_niet_in_beheer_bij_rws_legger.11,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156218.7862999998 438519.1376999989)
kunstwerk_niet_in_beheer_bij_rws_legger.12,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156220.6350999996 438519.97949999943)
kunstwerk_niet_in_beheer_bij_rws_legger.13,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (156218.8546999991 438520.2157000005)
kunstwerk_niet_in_beheer_bij_rws_legger.14,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Gemaal,MN,Amsterdam-Rijnkanaal,Gemaal Maurikse Wetering,,POINT (155184.5011 439274.2725000009)
kunstwerk_niet_in_beheer_bij_rws_legger.15,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Bemalingsinstallatie,MN,Amsterdam-Rijnkanaal,,,POINT (155185.1561000012 439275.1330999993)
kunstwerk_niet_in_beheer_bij_rws_legger.16,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (154805.09650000185 439599.97150000185)
kunstwerk_niet_in_beheer_bij_rws_legger.17,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (154805.07609999925 439599.9829000011)
kunstwerk_niet_in_beheer_bij_rws_legger.18,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (130958.93050000072 460922.1479000002)
kunstwerk_niet_in_beheer_bij_rws_legger.19,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (130544.21029999852 461323.59789999947)
kunstwerk_niet_in_beheer_bij_rws_legger.20,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (128340.6174999997 463759.8856999986)
kunstwerk_niet_in_beheer_bij_rws_legger.21,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129028.48090000078 470709.82649999857)
kunstwerk_niet_in_beheer_bij_rws_legger.22,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129077.30270000175 470991.5954999998)
kunstwerk_niet_in_beheer_bij_rws_legger.23,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129399.58909999952 472863.2441000007)
kunstwerk_niet_in_beheer_bij_rws_legger.24,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Bemalingsinstallatie,MN,Amsterdam-Rijnkanaal,,,POINT (129415.73209999874 472930.6130999997)
kunstwerk_niet_in_beheer_bij_rws_legger.25,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129510.71310000122 473495.9224999994)
kunstwerk_niet_in_beheer_bij_rws_legger.26,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129543.23169999942 473684.44750000164)
kunstwerk_niet_in_beheer_bij_rws_legger.27,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129552.66070000082 473739.0353000015)
kunstwerk_niet_in_beheer_bij_rws_legger.28,2014-10-13T00:00:00,Fugro,DID: DTB,Vastgesteld,0,Stuw,MN,Amsterdam-Rijnkanaal,,,POINT (129724.47529999912 474732.31010000035)
