Datum,Week,Maand,Dag,Musis_Kwartier,Gelerijdersplein,Kronenburg
20180101,1,januari,maandag,0,0,0
20180102,1,januari,dinsdag,524,453,436
20180103,1,januari,woensdag,171,147,142
20180104,1,januari,donderdag,573,583,441
20180105,1,januari,vrijdag,588,450,416
20180106,1,januari,zaterdag,684,595,492
20180107,1,januari,zondag,289,305,0
20180108,2,januari,maandag,181,211,363
20180109,2,januari,dinsdag,204,230,436
20180110,2,januari,woensdag,202,168,302
20180111,2,januari,donderdag,314,360,488
20180112,2,januari,vrijdag,368,326,360
20180113,2,januari,zaterdag,733,565,436
20180114,2,januari,zondag,492,320,0
20180115,3,januari,maandag,148,132,271
20180116,3,januari,dinsdag,182,170,246
20180117,3,januari,woensdag,172,164,284
20180118,3,januari,donderdag,100,116,149
20180119,3,januari,vrijdag,391,361,401
20180120,3,januari,zaterdag,510,418,404
20180121,3,januari,zondag,315,300,0
20180122,4,januari,maandag,190,230,395
20180123,4,januari,dinsdag,303,314,479
20180124,4,januari,woensdag,332,290,466
20180125,4,januari,donderdag,445,513,470
20180126,4,januari,vrijdag,579,305,559
20180127,4,januari,zaterdag,746,690,607
20180128,4,januari,zondag,341,340,183
20180129,5,januari,maandag,198,160,304
20180130,5,januari,dinsdag,302,326,472
20180131,5,januari,woensdag,145,109,215
20180201,5,februari,donderdag,209,220,336
20180202,5,februari,vrijdag,253,230,385
20180203,5,februari,zaterdag,326,300,320
20180204,5,februari,zondag,307,284,0
20180205,6,februari,maandag,372,349,380
20180206,6,februari,dinsdag,603,419,371
20180207,6,februari,woensdag,256,213,604
20180208,6,februari,donderdag,235,243,390
20180209,6,februari,vrijdag,385,367,138
20180210,6,februari,zaterdag,437,395,437
20180211,6,februari,zondag,374,216,0
20180212,7,februari,maandag,387,352,382
20180213,7,februari,dinsdag,566,456,431
20180214,7,februari,woensdag,238,319,431
20180215,7,februari,donderdag,191,257,280
20180216,7,februari,vrijdag,225,312,399
20180217,7,februari,zaterdag,238,288,338
20180218,7,februari,zondag,211,274,0
20180219,8,februari,maandag,459,413,278
20180220,8,februari,dinsdag,595,702,344
20180221,8,februari,woensdag,562,214,458
20180222,8,februari,donderdag,178,139,368
20180223,8,februari,vrijdag,179,176,403
20180224,8,februari,zaterdag,185,179,257
20180225,8,februari,zondag,289,519,112
20180226,9,februari,maandag,362,408,251
20180227,9,februari,dinsdag,536,482,284
20180228,9,februari,woensdag,232,235,219
20180301,9,maart,donderdag,112,511,171
20180302,9,maart,vrijdag,180,152,246
20180303,9,maart,zaterdag,395,282,261
20180304,9,maart,zondag,389,384,189
20180305,10,maart,maandag,221,358,378
20180306,10,maart,dinsdag,295,334,445
20180307,10,maart,woensdag,336,347,455
20180308,10,maart,donderdag,209,90,361
20180309,10,maart,vrijdag,344,398,474
20180310,10,maart,zaterdag,699,590,510
20180311,10,maart,zondag,316,420,0
20180312,11,maart,maandag,191,254,399
20180313,11,maart,dinsdag,203,201,323
20180314,11,maart,woensdag,363,377,488
20180315,11,maart,donderdag,324,289,412
20180316,11,maart,vrijdag,367,576,360
20180317,11,maart,zaterdag,205,202,179
20180318,11,maart,zondag,138,122,0
20180319,12,maart,maandag,116,166,281
20180320,12,maart,dinsdag,228,263,386
20180321,12,maart,woensdag,293,268,452
20180322,12,maart,donderdag,224,385,425
20180323,12,maart,vrijdag,418,435,428
20180324,12,maart,zaterdag,717,742,519
20180325,12,maart,zondag,484,436,0
20180326,13,maart,maandag,234,254,428
20180327,13,maart,dinsdag,252,249,409
20180328,13,maart,woensdag,167,163,303
20180329,13,maart,donderdag,436,350,524
20180330,13,maart,vrijdag,750,725,572
20180331,13,maart,zaterdag,887,796,581
20180401,13,april,zondag,389,0,0
20180402,14,april,maandag,308,0,0
20180403,14,april,dinsdag,301,310,524
20180404,14,april,woensdag,625,429,353
20180405,14,april,donderdag,1101,700,336
20180406,14,april,vrijdag,601,864,523
20180407,14,april,zaterdag,317,638,618
20180408,14,april,zondag,380,329,0
20180409,15,april,maandag,379,350,490
20180410,15,april,dinsdag,450,457,599
20180411,15,april,woensdag,593,678,529
20180412,15,april,donderdag,898,570,444
