Ministerie;handelsnaam na kvk;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
AZ;Ada Car Cleaning B.V.;;;1;1
AZ;Aileen B.V.;;;1;1
AZ;Ardis Organisatieontwikkeling B.V.;;1;;1
AZ;Athlon Car Lease Nederland B.V.;;;1;1
AZ;depoorte.com;;1;;1
AZ;Diner Thuis;;1;;1
AZ;Film Atelier Den Haag;;1;;1
AZ;FreeCollective;;1;;1
AZ;Happy Meat B.V.;;1;;1
AZ;HTM Specials B.V.;;;1;1
AZ;ING Bank N.V.;;1;;1
AZ;Instock Den Haag;;1;;1
AZ;Le Strasbourg;;1;;1
AZ;Meeting at Home;;1;;1
AZ;Meetingselect B.V.;;1;;1
AZ;Moeskops B.V.;;1;;1
AZ;Munckhof Regie;;;1;1
AZ;Novotel Den Haag;;1;;1
AZ;P. Bogaards;;1;;1
AZ;Regardz Business Center;;1;;1
AZ;Ropini B.V.;;1;;1
AZ;Sancy Tres B.V.;;1;;1
AZ;Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;1;;1
AZ;Stg. ProDemos - Huis voor dem. en rechtsstaat;;1;;1
AZ;Stichting Beheer Synagoge;;1;;1
AZ;Stichting de Idazaal;;1;;1
AZ;Stichting Humanity House;;1;;1
AZ;Stichting Instock;;1;;1
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;1;;1
AZ;Taxi Centrale Blerick B.V.;;;1;1
AZ;Taxibedrijf Van der Wijst;;;1;1
AZ;VCK Travel B.V.;;1;;1
AZ;West-Tax;;;1;1
AZ;Wittebrug;;;1;1
BZ;ASC INTERNATIONAL F.Z.E;;;1;1
BZ;Be-Ge Savas Seating B.V.;;;1;1
BZ;BMW Den Haag B.V.;;;1;1
BZ;Brinkhomes Custom Campers;;;1;1
BZ;D Uston En Allard Automaterialen;;;1;1
BZ;Getronics / Kpn Den Haag4;;;1;1
BZ;Haaglanden Lease;;;1;1
BZ;Harekar Company For Security & Guar;;;1;1
BZ;Hollandse Telecommunicatie Maatschappij;;;1;1
