verkiezing;cbs_gemeentecode;gemeente;cbs_wijkcode;wijknaam;cbs_buurtcode;buurtnaam;bag_referentienummer_stembureau;stembureau_naam;Water Natuurlijk;VVD;CDA;Partij van de Arbeid (P.v.d.A.);Partij voor de Dieren;Waterschap@inwonersbelangen;ChristenUnie;AWP niet politiek, wel deskundig;Staatkundig Gereformeerde Partij (SGP);50PLUS;stembureau_x;stembureau_y;latitude;longitude;wijk_x;wijk_y;wijk_latitude;wijk_longitude;buurt_x;buurt_y;buurt_latitude;buurt_longitude;woonplaats;nr_stembureau
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;6;8;6;5;3;4;2;4;1;1;130768;461900;52.14476;5.03320;132100;461987;52.14476;5.03320;130880;461879;52.14560;5.52647;Maarssen;1
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;1;1;3;3;0;1;2;0;0;1;131158;461849;52.14432;5.03890;132100;461987;52.14432;5.03890;131117;461984;52.14560;5.52647;Maarssen;2
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;1;2;1;0;2;0;1;0;0;0;131379;462060;52.14622;5.04211;132100;461987;52.14622;5.04211;131371;462270;52.14560;5.52647;Maarssen;3
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;4;9;2;1;0;0;3;0;0;1;131695;461473;52.14096;5.04677;132100;461987;52.14096;5.04677;131469;461697;52.14560;5.52647;Maarssen;4
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;0;6;0;1;0;1;0;0;0;0;132159;460927;52.13607;5.05358;132100;461987;52.13607;5.05358;132071;461001;52.14560;5.52647;Maarssen;5
WS2019-HDSR;G1904;Stichtse Vecht;WK190411;Oud Zuilen;BU19041101;Oud Zuilen;0333100000015733;Restaurant Belle;146;194;65;45;66;10;27;33;13;14;133341;459915;52.12702;5.07091;133378;460449;52.12702;5.07091;133378;460449;52.13182;5.71418;Oud Zuilen;6
WS2019-HDSR;G1904;Stichtse Vecht;WK190407;Tienhoven;BU19040703;Tienhoven-Oud Maarsseveen;0333100000012122;Dorpshuis de Veenkluit;1;3;0;0;0;1;0;0;0;0;134153;464206;52.16562;5.08251;134412;463412;52.16562;5.08251;135219;464551;52.15849;5.86349;Tienhoven;7
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040110;Centrum ten zuiden van de Vecht;0333100000017852;Basisschool Het Kompas;7;3;1;1;2;1;2;0;0;0;131125;461311;52.13948;5.03845;132100;461987;52.13948;5.03845;131219;461334;52.14560;5.52647;Maarssen;8
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040110;Centrum ten zuiden van de Vecht;0333100000016096;WereldKidz Palet (ingang Bolensteinseweg);7;6;0;3;0;3;1;2;0;1;131041;461277;52.13917;5.03723;132100;461987;52.13917;5.03723;131219;461334;52.14560;5.52647;Maarssen;9
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041209;Bloemstede;0333100000016357;"KBS ""De Wilde Wingerd""";179;72;47;82;104;44;43;35;5;90;130646;459853;52.12635;5.03156;130202;460563;52.12635;5.03156;130699;459932;52.13271;5.25024;Maarssen;10
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041204;Boomstede;0333100000017447;Scouting clubgebouw De Shelter;193;118;90;60;68;33;40;47;9;75;130839;459328;52.12164;5.03442;130202;460563;52.12164;5.03442;130463;459508;52.13271;5.25024;Maarssen;11
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041203;Fazantenkamp;0333100000017957;WereldKidz Tweesprong Fazantenkamp;196;189;80;132;99;69;57;65;15;71;129727;460378;52.13103;5.01810;130202;460563;52.13103;5.01810;129895;460178;52.13271;5.25024;Maarssen;12
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041208;Duivenkamp;0333100000021063;WereldKidz Tweesprong Duivenkamp;161;85;66;127;74;58;33;40;5;101;130210;460651;52.13351;5.02513;130202;460563;52.13351;5.02513;130337;460475;52.13271;5.25024;Maarssen;13
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041205;Reigerskamp;0333100000020946;RK Verrijzenisgemeenschap;214;157;104;112;107;55;46;42;8;84;129723;460566;52.13272;5.01803;130202;460563;52.13272;5.01803;129546;460664;52.13271;5.25024;Maarssen;14
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041215;Spechtenkamp;0333100000013945;De Werkspecht;169;91;42;81;70;63;30;39;11;71;129629;461157;52.13803;5.01661;130202;460563;52.13803;5.01661;129654;461287;52.13271;5.25024;Maarssen;15
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041207;Valkenkamp;0333100000017975;De Valkenier;202;169;86;92;62;63;39;41;7;90;129515;461078;52.13731;5.01495;130202;460563;52.13731;5.01495;129285;461181;52.13271;5.25024;Maarssen;16
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041206;Zwanenkamp;0333100000013240;KBS Fransiscus gymzaal nst schuur;197;166;58;89;95;51;38;52;7;91;129173;461548;52.14152;5.00992;130202;460563;52.14152;5.00992;129277;461718;52.13271;5.25024;Maarssen;17
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041210;Zebraspoor;0333100000018802;Willem van Hoornhof;137;75;54;75;75;46;29;37;5;77;129600;461535;52.14142;5.01616;130202;460563;52.14142;5.01616;129812;461502;52.13271;5.25024;Maarssen;18
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041212;Kamelenspoor;0333100000017406;De Kameleon;127;58;50;80;45;64;28;22;12;61;130013;461259;52.13896;5.02221;130202;460563;52.13896;5.02221;130194;461139;52.13271;5.25024;Maarssen;19
WS2019-HDSR;G1904;Stichtse Vecht;WK190412;Maarssenbroek;BU19041214;Bisonspoor;1904100000038179;Zwembad Safari;238;169;91;134;109;79;51;66;4;110;130352;460878;52.13555;5.02719;130202;460563;52.13555;5.02719;130506;460848;52.13271;5.25024;Maarssen;20
WS2019-HDSR;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;3;7;5;2;0;1;0;3;0;0;132147;460922;52.13603;5.05341;132100;461987;52.13603;5.05341;132071;461001;52.14560;5.52647;Maarssen;21
WS2019-HDSR;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040209;Landgoed Nijenrode;0311100000005088;Gemeentelijke sporthal;0;0;1;0;0;0;0;0;0;0;128472;464053;52.16400;4.99949;128474;464502;52.16400;4.99949;128783;463795;52.16803;4.99478;Breukelen;22
WS2019-HDSR;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040213;Breukelen Zuid;0311100000006432;Gemeentehuis Boom en Bosch;12;13;1;6;3;3;3;1;0;2;128905;464814;52.17086;5.00576;128474;464502;52.17086;5.00576;128701;464677;52.16803;4.99478;Breukelen;23
WS2019-HDSR;G1904;Stichtse Vecht;WK190402;Breukelen;BU19040215;Breukelen Midden;0311100000006303;Woonzorgcentrum de Aa/Driestroom;1;2;3;0;1;0;0;0;0;0;128238;465461;52.17665;4.99595;128474;464502;52.17665;4.99595;128455;465128;52.16803;4.99478;Breukelen;24
