OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,AZIMUT,BRON,REF_PAALINSTALLATIE_PUIC,REF_OVERWEG_PUIC,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,X,Y,LATITUDE,LONGITUDE,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT
1,0635c668-3152-442d-9107-e55d537b6a16,,60,Bestaand,,,Arcadis,8f11d02e-ca89-42f5-aa26-c55a29e84192,d2a53a8c-3e4a-46ba-bc3e-66c53f9fc270,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,17.250258,"17,250258",-3.6268,"-3,626800",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderse Vallei,29,170358.052,459331.035,52.1219825,5.61145782,Lunteren - Barneveld Centrum,LTN-BNC,Vrije baan
2,90c3f993-2309-4ee3-ae7a-0073877201bc,,60,Bestaand,,,Arcadis,1ac6fb34-8823-4e5a-9d35-5deb96c58f53,d2a53a8c-3e4a-46ba-bc3e-66c53f9fc270,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,17.256551,"17,256551",3.512615,"3,512615",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderse Vallei,29,170356.705,459321.565,52.12189743,5.61143772,Lunteren - Barneveld Centrum,LTN-BNC,Vrije baan
3,e8223036-da49-44cb-9ec4-e9e216c9e773,,60,Bestaand,,,Fugro,,d342390d-6e97-441e-8338-b163e7f80c4f,Rsd-Vs,Roosendaal - Vlissingen ,127,a,127,127_a,Roosendaal - Vlissingen,56.821893,"56,821893",-5.472495,"-5,472495",ProRail,Zuid,Z,BAAN,Zeeland,310,Goes,18,43423.914,391442.98,51.50093887,3.78020217,'s Heer Arendskerke - Lewedorp,HA-LWD,Vrije baan
4,8809b9f0-0ab0-41fd-b98e-fe0abc83165d,,60,Bestaand,,,Fugro,,d342390d-6e97-441e-8338-b163e7f80c4f,Rsd-Vs,Roosendaal - Vlissingen ,127,a,127,127_a,Roosendaal - Vlissingen,56.828781,"56,828781",5.194847,"5,194847",ProRail,Zuid,Z,BAAN,Zeeland,310,Goes,18,43417.747,391454.115,51.50103771,3.78010985,'s Heer Arendskerke - Lewedorp,HA-LWD,Vrije baan
5,330d6830-87c0-4d36-97f0-29139a99f6ca,,60,Bestaand,,,Fugro,,5b4d64d4-5e26-46b6-b420-18c85f8cc5d6,Est-Gdm,Elst - Geldermalsen ,043,,43,043__,Kesteren - Geldermalsen,26.668218,"26,668218",-3.439843,"-3,439843",ProRail,Noord-Oost,NO,BAAN,Gelre,400,Maas en Waal,28,162976.039,436126.847,51.91357622,5.5031255,Tiel - Kesteren,TL-KTR,Vrije baan
6,e1e8b65c-5630-4df1-890c-b0fac17b1fec,,60,Bestaand,,,Fugro,,5b4d64d4-5e26-46b6-b420-18c85f8cc5d6,Est-Gdm,Elst - Geldermalsen ,043,,43,043__,Kesteren - Geldermalsen,26.676183,"26,676183",4.044487,"4,044487",ProRail,Noord-Oost,NO,BAAN,Gelre,400,Maas en Waal,28,162966.044,436131.147,51.91361501,5.50298033,Tiel - Kesteren,TL-KTR,Vrije baan
7,aeb8a1e3-d8cd-458e-9dba-5ac173b65f14,,60,Bestaand,,,Arcadis,edfbcfdb-6fd2-4494-8235-6136d9ea912e,5e54c41d-3a41-4dda-985d-2ad3dec80e73,Dv-Aml,Deventer - Almelo ,024,,24,024__,Deventer - Wierden,5.358863,"5,358863",-5.438033,"-5,438033",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,213031.001,474011.46,52.25108365,6.23702707,Deventer - Rijssen,DV-RSN,Vrije baan
8,85c70932-2f08-4eb2-9617-5725228b26c2,,60,Bestaand,,,Arcadis,,3b6cfa3d-13e9-4188-aeae-4b3becfb896c,Ah-Zl,Arnhem - Zwolle ,610,,610,610__,Dieren,14.513413,"14,513413",10.167611,"10,167611",ProRail,Noord-Oost,NO,BAAN,Gelre,400,Achterhoek,30,204218.411,451096.194,52.04599398,6.10466481,Dieren,DR,PPLG
9,57672613-7d0c-435e-a89c-e848a752e9fe,,60,Bestaand,,,Arcadis,,3b6cfa3d-13e9-4188-aeae-4b3becfb896c,Ah-Zl,Arnhem - Zwolle ,610,,610,610__,Dieren,14.542496,"14,542496",-14.697723,"-14,697723",ProRail,Noord-Oost,NO,BAAN,Gelre,400,Achterhoek,30,204215.16,451134.488,52.04633844,6.10462294,Dieren,DR,PPLG
10,cdda3fdc-03a3-4af0-98a5-66b4c16bd2fe,,60,Bestaand,,,Arcadis,,3b6cfa3d-13e9-4188-aeae-4b3becfb896c,Ah-Zl,Arnhem - Zwolle ,610,,610,610__,Dieren,14.5267,"14,526700",-15.792762,"-15,792762",ProRail,Noord-Oost,NO,BAAN,Gelre,400,Achterhoek,30,204205.034,451122.16,52.04622854,6.10447356,Dieren,DR,PPLG
