OBJECTID,KLASSE,Shape__Area,Shape__Length
1,2,110.05769254,67.3372503966931
2,2,184.602401075,107.383327640124
3,2,221.068989685,127.369102568479
4,2,73.726435115,47.3778660549478
5,2,73.99692582,47.3998261012781
6,2,73.800772075,47.3800935948588
7,2,73.47415349,47.3474587230612
8,2,585.292969275,327.28534518895
9,2,73.27628149,47.3276628147597
10,2,108.65375722,67.2434998534028
11,2,869.90433291,487.060538219838
12,2,1056.301769565,587.058166091576
13,2,184.09294157,107.376901825051
14,2,36.7049117,27.3409215554452
15,2,36.672900175,27.3345192441282
16,2,36.65177722,27.330218217975
17,2,36.58689513,27.3173181975311
18,2,36.618906655,27.3237205097295
19,2,218.774943075,127.292616898341
20,2,73.119336865,47.3119767656686
21,2,184.85442468,107.394301799214
22,2,73.768044855,47.3766476551034
23,2,293.991402245,167.349846271252
24,2,402.172067485,227.315457978385
25,2,147.306064145,87.3575700725107
26,2,146.809178965,87.358152673979
27,2,660.50767313,367.338957450687
28,2,110.890395255,67.3928477297603
29,2,147.516331315,87.3757860237253
30,2,73.96793302,47.3968549249376
31,2,110.85826453,67.3904697111494
32,2,73.77571907,47.3775525949343
33,2,73.70682983,47.3706550547876
34,2,73.84347195,47.3843549223232
35,2,403.72517062,227.376659924461
36,2,36.990456365,27.3981559231585
37,2,257.41096132,147.351882582274
38,2,473.73591298,267.295601748185
39,2,363.7443531,207.289519857947
40,7,46.12988817,29.2325309562865
41,7,102.03363848,50.2054028604688
42,7,96.310192645,49.5157182873091
43,7,43.890009045,28.7779098261447
44,0,34.57740005,26.844249315331
45,8,69.08593313,33.8197268218103
46,8,393.744804725,133.050180281004
47,6,405.845181585,208.116999735678
48,6,164.235865245,88.211870118434
49,6,290.11299694,148.289119509202
50,6,210.35817983,108.495964461552
51,6,410.32930346,207.87964710309
52,6,254.24159585,128.420989164454
53,7,184.033216545,89.2014802352182
54,7,1861.2004911,829.021692053407
55,8,129.519908285,52.9520194143569
56,8,65.012900785,33.0026403907522
57,8,64.988276875,32.9976187316716
58,8,64.87704289,32.9754477510303
59,6,42.49968543,28.499910036564
60,6,127.50039057,68.5000583381879
61,6,212.500398935,108.499945074517
62,6,127.501404085,68.5008906747524
63,7,42.72096622,28.5426834755802
64,4,41.84094357,28.3068257654285
65,7,44.734828945,28.9470793912528
66,7,44.76428676,28.9527736962755
67,7,44.524586355,28.9049114213496
68,7,96.059780735,49.5956742138198
69,7,741.391414635,290.591401357971
70,7,52.956571525,30.5912849779007
71,7,249.38044661,110.314740270472
72,5,159.580451215,88.0630505607549
73,8,860.86950176,292.298298928065
74,8,61.491116295,32.2982822701608
75,8,799.391302005,272.298321971578
76,8,430.42578228,152.297827869846
77,8,491.91991102,172.297865628867
78,8,64.811348765,33.1327656632215
79,8,245.96841581,92.2985293262864
80,8,184.477099145,72.29849152112
81,8,245.97062638,92.2984685103383
82,8,923.53146274,312.587417417044
83,8,122.98582196,52.2985753989985
84,7,1067.048016795,468.387255165742
85,7,710.303129075,329.259495165353
86,7,538.50401542,230.74786468449
87,7,164.89898415,70.7955791366495
88,7,44.54952292,28.9099046357581
89,5,79.164385085,47.9191415268691
90,7,50.153883635,30.1132747400924
91,8,64.620290165,32.9325687841399
92,4,77.37731994,47.7975050278975
93,4,38.014054925,27.60275864321
94,4,114.19869313,67.6131992807555
95,4,152.661427475,87.6330614501376
96,4,76.247202925,47.6245368626042
97,4,191.11318906,107.644546411463
98,4,421.793659325,227.666740471806
99,4,38.274443015,27.6549135151617
100,4,345.323867405,187.673770260831
101,4,383.06642847,207.653710929192
102,4,38.375499865,27.675102589162
103,4,76.08413507,47.6083922788527
104,4,270.286801505,147.652128202871
105,4,116.8531923,67.7846452821518
106,4,77.420938795,47.7420535502016
107,4,228.000708455,127.600100464703
108,4,38.00014815,27.5999435185176
109,4,769.12064027,407.699530860711
