longitude,latitude,BIJ_ADRES,afval,glas,papier,textiel,plastic,bovengr,ondergr,opmerking
5.078060944605226,52.047728769517406,Achillesburg 2,,,x,,,,,
5.078072271186678,52.047750977470521,Achillesburg 2,,x,,,,,,
5.099210185303919,52.021356350534099,Afvalbrengstation (Utrechthaven 3),,x,x,x,x,,,
5.099210185303919,52.021356350534099,Afvalbrengstation (Utrechthaven 3),,,,x,,,,
5.081330410050246,52.055253426886644,Antoon Coolenhove 2,,x,,,,,,
5.081330267316407,52.055284997316456,Antoon Coolenhove 2,,,x,,,,,
5.084079086910103,52.039205638252248,Anrooylaan 1,,,,x,,,,
5.079212764536147,52.045205471448824,Apolloburg 142,x,,,,,,x,
5.081130445269595,52.045017221311156,Apolloburg 63,x,,,,,,x,
5.0748576019447,52.028168841747203,Appelvink 45,x,,,,,x,,
5.075859265488476,52.027976756043891,Appelvink 47,x,,,,,x,,
5.075422271099048,52.028067576053992,Appelvink 53,x,,,,,x,,
5.093248082956839,52.021763811250509,Baarnseveste 22,x,,,,,x,,
5.079980960393641,52.002718628211973,Bakenmonde 7001 of Benedenmonde 65,x,,,,,x,,
5.09251447514685,52.021905165830724,Banterveste 35,x,,,,,x,,
5.090667406276674,52.040602749675834,Bartokstraat 30,,,x,,,,,
5.090700679234584,52.040611092335396,Bartokstraat 32,,x,,,,,,
5.083902628856897,52.042819147915139,Bazuinlaan 65,x,,,,,x,,
5.083914244617728,52.042819147915147,Bazuinlaan 65,x,,,,,x,,
5.086337214986635,52.041355751475351,Bazuinlaan 9,,,x,,,,,
5.086340321970493,52.041333539974339,Bazuinlaan 9,,x,,,,,,
5.094963967771882,52.006876257752644,Beatrixstraat 23,x,,,,,x,,
5.080854576640671,52.003181343012415,Benedenmonde 7002 of Benedenmonde 17,x,,,,,x,,
5.09468798371757,52.02651591095438,Bergwal 7,x,,,,,,,
5.0947126098608,52.026493321938183,Bergwal 7,x,,,,,,x,
5.076953849222847,52.026249925183656,Bosgors 12,,,x,,,,,
5.07698200725464,52.02626484527125,Bosgors 12,,x,,,,,,
5.073424987161132,52.024920850800946,Braamsluiper 81,,,x,,,,,
5.073458601163482,52.024914364720566,Braamsluiper 81,,x,,,,,,
5.092405514011786,52.027455279778529,Brinkwal 7,x,,,,,,x,
5.096562377125864,52.041411126044267,Buxtehudelaan (bij nieuwe app.),x,,,,,,x,
5.072714001657261,52.029609995922264,Calèchedrift 1,x,,,,,,x,
5.084485902468232,52.043717230410508,Carillonlaan 1,,x,,,,,,
5.084479917652139,52.043696924299994,Carillonlaan 1,,,x,,,,,
5.075167586254327,52.037062423170404,Citadeldrift 55,,x,,,,,,
5.075130830577795,52.037066572709612,Citadeldrift 55,,,x,,,,,
5.078504197945492,52.054099045690435,Colijnpark 1,,x,,,,,,
5.078536358528884,52.054097242431773,Colijnpark 1,,,x,,,,,
5.077344850550618,52.042171687434923,Daalderburg 13,x,,,,,x,,
5.077869192370505,52.042037636424205,Daalderburg 14,x,,,,,x,,
5.095969413002349,52.019039208409495,Deventerschans 35,,,x,,,,,
5.096005899644401,52.019041145467426,Deventerschans 37,,x,,,,,,
5.096784923201131,52.018407230257523,Diemerschans 17,x,,,,,x,,
5.088869879129784,52.04043428783762,Diepenbrocklaan 67,x,,,,,x,,
5.099826388382569,52.01012785521894,Dokter B.J.Buurmanstraat 1,,x,,,,,,
5.099790427789978,52.010131070612516,Dokter B.J.Buurmanstraat 1,,,x,,,,,
5.096247558068477,52.007279359654476,Dorpstraat 1  (Hoek Koninginnenlaan),,,,x,,,,
5.101799487002341,52.046836838028362,Dr. Nolensstraat 5,,,x,,,,,
5.10183256692266,52.046826578166147,Dr. Nolensstraat 5,,x,,,,,,
5.075006683527839,52.040107401520743,Dukatenburg 1,x,,,,,,x,
5.075035822801518,52.040098513056449,Dukatenburg 1,x,,,,,,x,
5.075061888198211,52.040091503952254,Dukatenburg 1,x,,,,,,x,
5.076125297826527,52.039680715714077,Dukatenburg 30A,x,,,,,x,,
5.07666629034762,52.039900622483493,Dukatenburg 46,x,,,,,x,,
5.080658381067188,52.004166487211897,Ebbemonde 1,x,,,,,x,,
5.080688166883208,52.004171283559835,Ebbemonde 1,x,,,,,x,,
5.080915720643116,52.003766058578279,Ebbemonde 27,x,,,,,x,,
5.080923472573105,52.003750506689784,Ebbemonde 35,x,,,,,x,,
5.081208645091098,52.003416213058635,Ebbemonde 59,x,,,,,x,,
5.081220238938157,52.003397839852141,Ebbemonde 59,x,,,,,x,,
5.096253230643765,52.00939971391098,Emmaweg 3,x,,,,,x,,
5.082166781395495,52.041547822951109,Fagotlaan 18,x,,,,,x,,
5.082189690405696,52.041544098254008,Fagotlaan 18,x,,,,,x,,
5.075334326501664,52.052289310520493,Ferdinand Bolhage 5,,x,,,,,,
5.075345643021646,52.05231293432513,Ferdinand Bolhage 5,,,x,,,,,
5.078491858939744,52.052038097545143,Galecopperlaan 39,,x,,,,,,
5.078479759181465,52.052016831377735,Galecopperlaan 39,,,x,,,,,
5.079782417590147,52.003979164834298,Getijdemonde 19,x,,,,,x,,
5.079479668689652,52.003731674865996,Getijdemonde 26,x,,,,,x,,
5.079845518873046,52.003380149217485,Getijdemonde 41,x,,,,,x,,
5.079875408545356,52.003375014083076,Getijdemonde 41,x,,,,,x,,
5.080354169272317,52.003197250957818,Getijdemonde 56,x,,,,,x,,
5.080390022210391,52.003202391468427,Getijdemonde 56,,x,,,,,,
5.080430242377581,52.003202496268401,Getijdemonde 56,,,x,,,,,
5.090162010447828,52.020062688555882,Gilzerschans  5,x,,,,,x,,
5.090190478071088,52.020057481660892,Gilzerschans 5,x,,,,,x,,
5.077862465938384,52.026823962470132,Gorsplein 4,x,,,,,x,,
5.077879208783973,52.026819593250096,Gorsplein 4,x,,,,,x,,
5.077857949915811,52.027474037905598,Gorsplein 44,x,,,,,x,,
5.077887485927661,52.027467617027867,Gorsplein 44,x,,,,,x,,
5.091620630269271,52.011609341472983,Graaf Hermanlaan 2 (Noorderstraat),,x,,,,,,
5.09158623151092,52.011607367606175,Graaf Hermanlaan 2 (Noorderstraat),,,x,,,,,
5.091559473466337,52.011606356671571,Graaf Hermanlaan 2 (Noorderstraat),,,,x,,,,
5.090796332757184,52.015082521483357,Graaf Rupertlaan 1,,,x,,,,,
5.090815258868556,52.015100204499454,Graaf Rupertlaan 1,,x,,,,,,
5.089497799467542,52.014756360795147,Graaf Rupertlaan 4,x,,,,,x,,
