FID,shape_leng,vliegdatum,strooknaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wad_west_2011.1,15441.6360899,2011-01-28T00:00:00,r281_128,,,"LINESTRING (119406.55000000075 573274.9589999989, 126935.12299999967 586756.9739999995)"
vlieglijnen_wad_west_2011.2,15733.7418606,2011-02-20T00:00:00,r281_220,,,"LINESTRING (119659.8200000003 573673.6380000003, 127182.86300000176 587492.2659999989)"
vlieglijnen_wad_west_2011.3,12963.679576,2011-01-28T00:00:00,r282_128,,,"LINESTRING (127189.92300000042 575231.2789999992, 128757.07699999958 588099.8850000016)"
vlieglijnen_wad_west_2011.4,14379.8175473,2011-02-20T00:00:00,r282_220,,,"LINESTRING (126915.76000000164 573804.4340000004, 128741.66099999845 588067.8570000008)"
vlieglijnen_wad_west_2011.5,4324.31732389,2011-01-28T00:00:00,l0201,,,"LINESTRING (125295.5150000006 586220.0469999984, 129608.11499999836 585901.9310000017)"
vlieglijnen_wad_west_2011.6,4436.18868053,2011-01-28T00:00:00,l0202,,,"LINESTRING (125034.87200000137 585243.1290000007, 129465.71700000018 585460.8020000011)"
vlieglijnen_wad_west_2011.7,5062.82292486,2011-01-28T00:00:00,l0203,,,"LINESTRING (124516.2659999989 584776.5190000013, 129574.07999999821 584551.3709999993)"
vlieglijnen_wad_west_2011.8,7481.05212824,2011-01-28T00:00:00,l0204,,,"LINESTRING (123584.94799999893 584013.8770000003, 131065.8599999994 583967.9750000015)"
vlieglijnen_wad_west_2011.9,8105.32266569,2011-01-28T00:00:00,l0205,,,"LINESTRING (122727.32699999958 583461.6369999982, 130823.48699999973 583076.3460000008)"
vlieglijnen_wad_west_2011.10,10625.7183016,2011-01-28T00:00:00,l0206,,,"LINESTRING (121631.50499999896 582542.0480000004, 132257.2100000009 582558.3480000012)"
vlieglijnen_wad_west_2011.11,11738.7539921,2011-01-28T00:00:00,l0207,,,"LINESTRING (120433.43699999899 581983.3579999991, 132168.6550000012 581695.2740000002)"
vlieglijnen_wad_west_2011.12,13411.0926599,2011-01-28T00:00:00,l0208,,,"LINESTRING (119758.2190000005 581156.4690000005, 133169.05999999866 581238.7580000013)"
vlieglijnen_wad_west_2011.13,13832.6671396,2011-01-28T00:00:00,l0209,,,"LINESTRING (119564.50600000098 580585.6030000001, 133393.00699999928 580246.1319999993)"
vlieglijnen_wad_west_2011.14,15339.2657264,2011-01-28T00:00:00,l0210,,,"LINESTRING (119392.60300000012 579848.1479999982, 134731.70600000024 579777.5579999983)"
vlieglijnen_wad_west_2011.15,15928.8305642,2011-01-28T00:00:00,l0211,,,"LINESTRING (118704.52100000158 579248.0560000017, 134628.5540000014 578857.1429999992)"
vlieglijnen_wad_west_2011.16,16509.7495521,2011-01-28T00:00:00,l0212,,,"LINESTRING (118769.71799999848 578194.1420000009, 135276.6700000018 578498.0329999998)"
vlieglijnen_wad_west_2011.17,17222.6949126,2011-01-28T00:00:00,l0213,,,"LINESTRING (118633.89799999818 577670.4789999984, 135856.26900000125 577776.1559999995)"
vlieglijnen_wad_west_2011.18,17332.3735768,2011-02-20T00:00:00,l0214,,,"LINESTRING (119328.77600000054 577039.5320000015, 136660.82299999893 576933.1829999983)"
vlieglijnen_wad_west_2011.19,17631.493176,2011-02-20T00:00:00,l0215,,,"LINESTRING (119154.2890000008 576468.4620000012, 136780.47199999914 576035.7630000003)"
vlieglijnen_wad_west_2011.20,17435.8480511,2011-02-20T00:00:00,l0216,,,"LINESTRING (119895.55299999937 575392.3449999988, 137328.44700000063 575713.2820000015)"
vlieglijnen_wad_west_2011.21,17824.9268788,2011-02-20T00:00:00,l0217,,,"LINESTRING (119593.78700000048 574932.8770000003, 137418.2890000008 574809.8339999989)"
