FID,arc_length,id,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2011.1,5936.56982422,1,i0002ruw,1624.3,-1674.8,2011-10-02T00:00:00,,,"LINESTRING (155133.7340000011 425828.2190000005, 149221.6409999989 425289.688000001)"
vliegln_krib_waal_2011.2,15808.5,2,i0004ruw,1116.1,-1204,2011-10-02T00:00:00,,,"LINESTRING (149796.9840000011 425786.25, 133988.5 425814.2190000005)"
vliegln_krib_waal_2011.3,6858.02001953,3,i0006ruw,784.8,-479.6,2011-10-02T00:00:00,,,"LINESTRING (134672.4219999984 426658.1559999995, 127858.81300000101 425878.9059999995)"
vliegln_krib_waal_2011.4,5879.64990234,4,i0008ruw,386.7,-416.6,2011-10-02T00:00:00,,,"LINESTRING (132243.2969999984 425146.9690000005, 126383.60200000182 425630.936999999)"
vliegln_krib_waal_2011.5,1118.4699707,5,i0009ruw,350.6,-191,2011-10-02T00:00:00,,,"LINESTRING (132177.3440000005 426116.313000001, 131119.311999999 425753.625)"
vliegln_krib_waal_2011.6,5344.75976563,6,i0010ruw,890.9,-720.9,2011-10-02T00:00:00,,,"LINESTRING (136723.3440000005 425693, 131378.625 425713.5940000005)"
vliegln_krib_waal_2011.7,1067.14001465,7,i0011ruw,286.7,-210.7,2011-10-02T00:00:00,,,"LINESTRING (137624.2969999984 425365.2809999995, 136660.1090000011 425822.5940000005)"
vliegln_krib_waal_2011.8,4230.27978516,8,i0012ruw,320.3,-550.9,2011-10-02T00:00:00,,,"LINESTRING (140499.813000001 424989.0309999995, 136271.3440000005 424865.125)"
vliegln_krib_waal_2011.9,9877.05957031,9,i0014ruw,707.8,-1067.5,2011-10-02T00:00:00,,,"LINESTRING (149663.5940000005 425722.813000001, 139880.4690000005 424363.8440000005)"
vliegln_krib_waal_2011.10,4877.89990234,10,i0015ruw,696.4,-613.4,2011-10-02T00:00:00,,,"LINESTRING (152496.0159999989 423570.625, 148481.3440000005 426341.25)"
vliegln_krib_waal_2011.11,3823.07006836,11,i0016ruw,548.9,-804.8,2011-10-02T00:00:00,,,"LINESTRING (154972.0159999989 425284.313000001, 151688.4059999995 423326.311999999)"
vliegln_krib_waal_2011.12,9104.09960938,12,i0018ruw,490.1,-489.8,2011-10-02T00:00:00,,,"LINESTRING (158801.5940000005 432213.9690000005, 154073.5159999989 424433.875)"
vliegln_krib_waal_2011.13,16367.29980469,13,i0020ruw,1066.4,-963.7,2011-10-02T00:00:00,,,"LINESTRING (174153.9059999995 434705.5309999995, 157909.0469999984 432707.063000001)"
vliegln_krib_waal_2011.14,8830.5703125,14,i0022ruw,580.7,-355.8,2011-10-02T00:00:00,,,"LINESTRING (174293.375 434625.0940000005, 165474.1559999995 435072.6559999995)"
vliegln_krib_waal_2011.15,15536.09960938,15,i0024ruw,1801.5,-1711.4,2011-10-02T00:00:00,,,"LINESTRING (165114.1559999995 436110.875, 152907.2659999989 426500.3440000005)"
vliegln_krib_waal_2011.16,3629.89990234,16,i0025ruw,366.7,-295.6,2011-10-02T00:00:00,,,"LINESTRING (156718.5940000005 428827.0940000005, 153958.2659999989 426469.813000001)"
vliegln_krib_waal_2011.17,3303.2800293,17,i0026ruw,239.3,-287.5,2011-10-03T00:00:00,,,"LINESTRING (159048.3909999989 433499.875, 162327.1559999995 433901.5309999995)"
vliegln_krib_waal_2011.18,12154.40039063,18,i0028ruw,1065.1,-1786.9,2011-10-03T00:00:00,,,"LINESTRING (189467.6559999995 429316.188000001, 177934.2659999989 433151.5309999995)"
vliegln_krib_waal_2011.19,3888.45996094,19,i0029ruw,287.8,-256.9,2011-10-03T00:00:00,,,"LINESTRING (182220.6409999989 431515.75, 178498.686999999 432641.438000001)"
vliegln_krib_waal_2011.20,3780.5,20,i0030ruw,325.9,-336.5,2011-10-03T00:00:00,,,"LINESTRING (182052.5159999989 431498.1559999995, 178507.061999999 432810.375)"
vliegln_krib_waal_2011.21,5031.83984375,21,i0032ruw,458.3,-464.4,2011-10-03T00:00:00,,,"LINESTRING (178775.188000001 433003.1559999995, 173885.186999999 434189.4690000005)"
vliegln_krib_waal_2011.22,14102.40039063,22,i0033ruw,929,-484,2011-10-03T00:00:00,,,"LINESTRING (187130.5940000005 430752.4690000005, 173710.3909999989 435085.4690000005)"
vliegln_krib_waal_2011.23,3870.9699707,23,i0035ruw,718.9,-992.9,2011-10-03T00:00:00,,,"LINESTRING (189802.3440000005 430406.438000001, 185999.1559999995 429685.2190000005)"
vliegln_krib_waal_2011.24,2709.09008789,24,i0036ruw,449.1,-436.5,2011-10-03T00:00:00,,,"LINESTRING (189564.625 431259.9690000005, 187789.1559999995 429213.7809999995)"
vliegln_krib_waal_2011.25,3524,25,i0039ruw,493.1,-330.1,2011-10-03T00:00:00,,,"LINESTRING (180527.8909999989 432961.2190000005, 177168.125 434024.5)"
