FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B16.312,EHAM,Norra,281,,14.38524447,B16,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B16.313,Norra,NL2,349,,8.55266841,B16,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B16.314,NL2,NL7,289,,16.5927703,B16,,,"LINESTRING (590539.4556999998 5815819.199100001, 561292.0471000001 5825316.879000001)"
B16.315,NL7,NL8,356,,36.29163813,B16,,,"LINESTRING (561292.0471000001 5825316.879000001, 555676.5664999997 5892340.2511)"
B16.316,NL8,NL9,33,,35.47473007,B16,,,"LINESTRING (555676.5664999997 5892340.2511, 590965.4144000001 5947811.000499999)"
B16.317,NL9,NL14,322,,16.39109545,B16,,,"LINESTRING (590965.4144000001 5947811.000499999, 571753.0584000004 5971340.877900001)"
B16.318,NL14,NL19,32,,24.98215932,B16,,,"LINESTRING (571753.0584000004 5971340.877900001, 595237.6188000003 6011241.3015)"
B16.319,NL19,NL20,327,,19.37639043,B16,,,"LINESTRING (595237.6188000003 6011241.3015, 575155.2774999999 6041010.4956)"
B16.320,NL20,NL21,9,,36.5853478,B16,,,"LINESTRING (575155.2774999999 6041010.4956, 584837.3071999997 6108118.177999999)"
B16.321,NL21,NL24,310,,17.49922325,B16,,,"LINESTRING (584837.3071999997 6108118.177999999, 559523.7783000004 6128390.8467999995)"
B16.322,NL24,NL27,309,,17.49275666,B16,,,"LINESTRING (559523.7783000004 6128390.8467999995, 534214.6061000004 6148649.782400001)"
B16.323,NL27,NL26,194,,69.24806347,B16,,,"LINESTRING (534214.6061000004 6148649.782400001, 503014.08779999986 6024164.875700001)"
B16.324,NL26,NL25,172,,44.75015821,B16,,,"LINESTRING (503014.08779999986 6024164.875700001, 515430.8965999996 5942165.5337000005)"
B16.325,NL25,NL13,171,,22.30700417,B16,,,"LINESTRING (515430.8965999996 5942165.5337000005, 521920.0449000001 5901337.0989)"
B16.326,NL13,NL12,172,,36.42005342,B16,,,"LINESTRING (521920.0449000001 5901337.0989, 532126.7723000003 5834617.0964)"
B16.327,NL12,NL11,213,,59.02175324,B16,,,"LINESTRING (532126.7723000003 5834617.0964, 473222.06319999974 5742449.1545)"
B16.328,NL11,NL6,133,,13.79710524,B16,,,"LINESTRING (473222.06319999974 5742449.1545, 491875.3781000003 5724960.114)"
B16.329,NL6,NL7,35,,65.84319576,B16,,,"LINESTRING (491875.3781000003 5724960.114, 561292.0471000001 5825316.879000001)"
B16.330,NL7,NL2,109,,16.5927703,B16,,,"LINESTRING (561292.0471000001 5825316.879000001, 590539.4556999998 5815819.199100001)"
B16.331,NL2,Norra,169,,8.55266841,B16,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B16.332,Norra,EHAM,101,,14.38524447,B16,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
