Gemeente;CBS Gemeentecode;Nummer stembureau;Districtcode;Naam stembureau;Gebruikersdoel;Website locatie;Wijknaam;CBS Wijknummer;Buurtnaam;CBS Buurtnummer;BAG Referentie nummer;Straatnaam;Huisnummer;Huisnummertoevoeging;Postcode;(Woon)plaats;Extra adresaanduiding;X;Y;latitude;longitude;Openingstijden;Mindervalide toegankelijk;Invalideparkeerplaatsen;Akoestiek;Mindervalide toilet aanwezig;Kieskring nummer;Hoofdstembureau;
Stichtse Vecht;G1904;1;1;Gemeentekantoor;Kantoorfunctie;;Maarssen;WK190401;Omgeving Goudestein;BU19040107;0333100000019517;Endelhovenlaan;1; -;3601GR;Maarssen;;130768;461900;52.14476;5.03320;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;2;2;De Vondel;Woonfunctie;;Maarssen;WK190401;Lanenkwartier;BU19040109;0333100000009480;Vondelstraat;51; -;3601EX;Maarssen;;131158;461849;52.14432;5.03890;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;3;3;Basisschool De Klaroen;Onderwijsfunctie;;Maarssen;WK190401;Zeeheldenbuurt;BU19040115;0333100000013689;Michiel Adriaanszoon de Ruyterstraat;2; -;3601TJ;Maarssen;;131379;462060;52.14622;5.04211;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;4;4;KBS De Pionier;Onderwijsfunctie;;Maarssen;WK190401;Schilderskwartier;BU19040112;0333100000019854;Thorbeckelaan;2; -;3601BM;Maarssen;;131695;461473;52.14096;5.04677;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;5;5;Basisschool 't Palet (Buitenweg);Onderwijsfunctie;;Maarssen;WK190401;Zandweg-Oostwaard;BU19040105;0333100000017478;Buitenweg;310-312; -;3602ZK;Maarssen;;132159;460927;52.13607;5.05358;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;6;6;Restaurant Belle;Industriefunctie;;Oud Zuilen;WK190411;Oud Zuilen;BU19041101;0333100000015733;Dorpsstraat;12; -;3611AE;Oud Zuilen;;133341;459915;52.12702;5.07091;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;7;7;Dorpshuis De Veenkluit;Sportfunctie;;Tienhoven;WK190407;Tienhoven-Oud Maarsseveen;BU19040703;0333100000012122;Ds. Ulferslaan;25; -;3612BH;Tienhoven;;134153;464206;52.16562;5.08251;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;8;8;Basisschool Het Kompas;Onderwijsfunctie;;Maarssen;WK190401;Centrum ten zuiden van de Vecht;BU19040110;0333100000017852;Bolensteinsestraat;9; -;3603AZ;Maarssen;;131125;461311;52.13948;5.03845;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;9;9;WereldKidz Palet;Onderwijsfunctie;;Maarssen;WK190401;Centrum ten zuiden van de Vecht;BU19040110;0333100000016096;Gaslaan;22; -;3603CN;Maarssen;;131041;461277;52.13917;5.03723;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;10;10;KBS De Wilde Wingerd;Onderwijsfunctie;;Maarssenbroek;WK190412;Bloemstede;BU19041209;0333100000016357;Bloemstede;2; -;3608 TK;Maarssen;;130646;459853;52.12635;5.03156;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;11;11;De Shelter Scouting, naast ambulancepost;Sportfunctie;;Maarssenbroek;WK190412;Boomstede;BU19041204;0333100000017447;Floraweg;16; -;3608BW;Maarssen;;130839;459328;52.12164;5.03442;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;12;12;WereldKidz Tweesprong Fazantenkamp;Onderwijsfunctie;;Maarssenbroek;WK190412;Fazantenkamp;BU19041203;0333100000017957;Fazantenkamp;160;;3607CH;Maarssen;;129727;460378;52.13103;5.01810;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;13;13;WereldKidz Tweesprong Duivenkamp;Onderwijsfunctie;;Maarssenbroek;WK190412;Duivenkamp;BU19041208;0333100000021063;Duivenkamp;547; -;3607BL;Maarssen;;130210;460651;52.13351;5.02513;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;14;14;RK Verrijzenisgemeenschap;Bijeenkomstfunctie;;Maarssenbroek;WK190412;Reigerskamp;BU19041205;0333100000020946;Reigerskamp;611; -;3607JK;Maarssen;;129723;460566;52.13272;5.01803;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;15;15;De Werkspecht;Gezondheidszorgfunctie;;Maarssenbroek;WK190412;Spechtenkamp;BU19041215;0333100000013945;Spechtenkamp;231; -;3607KN;Maarssen;;129629;461157;52.13803;5.01661;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;16;16;De Valkenier;Woonfunctie;;Maarssenbroek;WK190412;Valkenkamp;BU19041207;0333100000017975;Valkenkamp;555; -;3607MJ;Maarssen;;129515;461078;52.13731;5.01495;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;17;17;KBS Fransiscus, gymzaal naast 't Schuurtje;Onderwijsfunctie;;Maarssenbroek;WK190412;Zwanenkamp;BU19041206;0333100000013240;Zwanenkamp;1304; -;3607NZ;Maarssen;;129173;461548;52.14152;5.00992;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;18;18;Willem van Hoornhof;Woonfunctie;;Maarssenbroek;WK190412;Zebraspoor;BU19041210;0333100000018802;Zebraspoor;253;;3605GP;Maarssen;;129600;461535;52.14142;5.01616;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;19;19;Basisschool De Kameleon;Onderwijsfunctie;;Maarssenbroek;WK190412;Kamelenspoor;BU19041212;0333100000017406;Kamelenspoor;82;;3605ED;Maarssen;;130013;461259;52.13896;5.02221;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;20;20;Zwembad Safari;Bijeenkomstfunctie;;Maarssenbroek;WK190412;Bisonspoor;BU19041214;1904100000038179;Bisonspoor;237;1;3605JM;Maarssen;;130352;460878;52.13555;5.02719;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;21;21;Basisschool Het Kompas;Onderwijsfunctie;;Maarssen;WK190401;Zandweg-Oostwaard;BU19040105;0333100000017478;Buitenweg;308; -;3602ZK;Maarssen;;132147;460922;52.13603;5.05341;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;22;22;Gemeentelijke Sporthal;Sportfunctie;;Breukelen;WK190402;Landgoed Nijenrode;BU19040209;0311100000005088;Broekdijk Oost;28; -;3621LN;Breukelen;;128472;464053;52.16400;4.99949;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;23;23;Gemeentehuis Boom en Bosch;Kantoorfunctie;;Breukelen;WK190402;Breukelen Zuid;BU19040213;0311100000006432;Markt;13; -;3621AB;Breukelen;;128905;464814;52.17086;5.00576;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;24;24;Woonzorgcentrum De Aa / Driestroom;Gezondheidszorgfunctie;;Breukelen;WK190402;Breukelen Midden;BU19040215;0311100000006303;De Aa;50; -;3621VV;Breukelen;;128238;465461;52.17665;4.99595;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;25;25;OBS de Regenboog;Onderwijsfunctie;;Breukelen;WK190402;Breukelen Midden;BU19040215;0311100000006233;Heycoplaan;13; -;3621WS;Breukelen;;128553;465327;52.17546;5.00057;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;26;26;Wijkcentrum Over-Noord;Bijeenkomstfunctie;;Breukelen;WK190402;Breukelen Noord;BU19040207;0311100000000392;Vrijheidslaan;4; -;3621HH;Breukelen;;128395;465938;52.18094;4.99821;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;27;27;Dorpshuis Ons Genoegen;Onderwijsfunctie;;Nieuwer Ter Aa;WK190404;Nieuwer Ter Aa;BU19040402;0311100000009107;Doude van Troostwijkstraat ;20; -;3626AV;Nieuwer Ter Aa;;127187;466958;52.19005;4.98047;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;28;28;Brandweerkazerne;Bijeenkomstfunctie;;Kockengen;WK190405;Kockengen Dorp;BU19040505;0311100000001259;Sportweg;1;a;3828AZ;Kockengen;;125506;462305;52.14814;4.95629;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;29;29;Zorgcentrum Overdorp;Gezondheidszorgfunctie;;Kockengen;WK190405;Kockengen dorp;BU19040505;0311100000009480;Overdorp;6; -;3628BX;Kockengen;;125107;462324;52.14829;4.95046;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;31;31;Wooncomplex 't Nieuwe Kampje;Gezondheidszorgfunctie;;Loenen aan de Vecht;WK190403;Driehoven;BU19040308;0329100000000524;Driehovenlaan ;2; -;3632BK;Loenen aan de Vecht;;129885;469043;52.20892;5.01977;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;32;32;Dorpshuis Nigtevecht;Onderwijsfunctie;;Nigtevecht;WK190408;Nigtevecht Dorp;BU19040804;0329100000004162;Jhr. Huydecoperstraat;1; -;1393NV;Nigtevecht;;130381;476256;52.27377;5.02650;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;33;33;Dorpshuis Vreeland;Kantoorfunctie;;Vreeland;WK190406;Vreeland Dorp;BU19040603;0329100000006066;Fetha;16; -;3633CT;Vreeland;;130699;471413;52.23025;5.03151;07:30-21:00;Ja;;;;;;
Stichtse Vecht;G1904;34;34;Montessorischool Loenersloot;Onderwijsfunctie;;Loenersloot;WK190410;Loenersloot Dorp;BU19041003;0329100000003287;Hollandstraat;25; -;3634AS;Loenersloot;;128634;471361;52.22969;5.00129;07:30-21:00;Nee;;;;;;
Stichtse Vecht;G1904;35;35;Cultureel Centrum 't Web;Bijeenkomstfunctie;;Loenen aan de Vecht;WK190403;Loenen Dorpskern;BU19040310;0329100000000655;Spinnerie;15; -;3632ET;Loenen aan de Vecht;;130159;469202;52.21036;5.02376;07:30-21:00;Nee;;;;;;
