FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,doorstroomoppervlakte,profielurl,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
duiker_lijn_legger.1,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Duursche waarden en Fortmond,ON,IJssel,"YS2.KZ.R.962,390.--",7391707C-9FB6-457E-8993-D7076CB237DF,0,,,,0,,"LINESTRING (203954.2749999985 486979.0709999986, 203959.438000001 486978.96499999985)"
duiker_lijn_legger.2,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Zalkerbos en de Welle,ON,IJssel,"YS3.KZ.L.989,005.--",68D6CBFF-9DAE-432D-B2E0-B02EAB76103A,0,,,,0,,"LINESTRING (194556.00499999896 502845.9219999984, 194549.22800000012 502843.86300000176)"
duiker_lijn_legger.3,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker De Kop (uitstroom),ON,Boven-Rijn - Waal,"BR3.KZ.L.925,265.--",70F850CE-B350-4792-B018-E56471FE6090,0,,,,0,,"LINESTRING (153483.19940000027 423960.4926000014, 153477.18580000103 423963.9679999985)"
duiker_lijn_legger.4,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Afferdensche en Deestsche waarden,ON,Boven-Rijn - Waal,"BR2.KZ.L.902,475.--",0E51EA65-8DF3-4985-AF73-C23C5799531D,0,,,,0,,"LINESTRING (170662.86180000007 434111.991799999, 170654.13899999857 434115.3482999988)"
duiker_lijn_legger.5,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Vogelzang,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL4.KZ.R.964,390.--",885E9F4A-5939-4F58-A898-920B13CD4923,0,,,,0,,"LINESTRING (123811.80799999833 441659.1550000012, 123824.41330000013 441647.81909999996, 123825.5709999986 441646.77800000086)"
duiker_lijn_legger.6,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Nieuw duiker Scherenwelle en Koppelerwaard,ON,IJssel,"YS3.KZ.R.990,560.--",5C74C866-1B38-48AE-ADE8-61963866F508,0,,,,0,,"LINESTRING (193843.72399999946 504484.631000001, 193843.13720000163 504484.6543000005, 193842.37779999897 504484.6845000014, 193841.38500000164 504484.72399999946)"
duiker_lijn_legger.7,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Klepduiker Bossenwaard,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL4.KZ.R.952,290.--",B34896CC-C2D5-48FF-BF6B-1765EB18ACF1,0,,,,0,,"LINESTRING (133107.25699999928 445411.52899999917, 133118.9935999997 445406.9549999982, 133130.1169999987 445402.62000000104)"
duiker_lijn_legger.8,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Zaltbommel,ON,Boven-Rijn - Waal,"BR4.KZ.L.933,805.--",BCE8DB1D-BCB6-4060-A8BC-FCAB85137B2F,0,,,,0,,"LINESTRING (146013.8299999982 425329.03400000185, 146013.90100000054 425328.69200000167, 146013.93400000036 425328.5278999992, 146014.22100000083 425327.13800000027, 146014.2349999994 425327.07389999926, 146014.7580000013 425324.53500000015, 146014.8968999982 425323.8627999984)"
duiker_lijn_legger.9,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (noord),ON,IJssel,"YS3.KZ.L.982,533.--",01C34B34-DA84-49CF-929E-5EEFCDF4ED6B,0,,,,0,,"LINESTRING (197978.14499999955 502597.7710000016, 197977.23420000076 502598.5621000007, 197976.40529999882 502599.2820000015, 197973.8601000011 502601.4926000014, 197971.91750000045 502603.17980000004, 197971.35080000013 502603.6719999984, 197970.5460000001 502604.37099999934)"
duiker_lijn_legger.10,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker KRW Bentickswelle (noordelijke),ON,IJssel,"YS3.KZ.L.982,166.--",5B9F8B7E-33D0-4CA7-9A05-BC72653FBDDB,0,,,,0,,"LINESTRING (198368.8995999992 502372.939100001, 198368.4140000008 502373.1774000004, 198365.1565000005 502374.77600000054, 198358.7602000013 502377.9149999991, 198355.57660000026 502379.47740000114, 198354.85599999875 502379.83100000024)"
duiker_lijn_legger.11,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (zuid),ON,IJssel,"YS3.KZ.L.982,513.--",1A962B09-3E7F-481D-BCDB-B0B89868CCB1,0,,,,0,,"LINESTRING (198145.0865000002 502488.6831, 198143.12469999865 502489.85009999946, 198138.22210000083 502492.76630000025, 198136.4637000002 502493.81230000034, 198136.4389999993 502493.8269999996)"
duiker_lijn_legger.12,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uiterwaard KRW Bentickswelle (zuid),ON,IJssel,"YS3.KZ.L.982,821.--",77F93DB9-6E08-4C10-B1F2-FFB524F07837,0,,,,0,,"LINESTRING (197730.22199999914 502822.6570000015, 197737.7740000002 502821.2100000009)"
