FID,vrt_code,vrtnaam,haven_vaar,meetpunt,doorv_hoog,ref_vlak,hoogte_t_n,opmerking,bhr_naam,bhr_afdeli,bhr_type,bhr_be_adr,bhr_b_plts,bhr_postad,bhr_pos_pc,bhr_p_plts,bhr_tel_nr,bhr_fax_nr,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
hoogspanningsleiding.1,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,44.609,23.7,SP,23.7,"Hoogte: SP+23,75m=NAP+44,55m.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,1565,,,POINT (51.169100001000004 5.913800001000027)
hoogspanningsleiding.2,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,36.964,,NAP,38.8,"SP+32,80m=NAP+38,80m / lijn tussen mastnrs. 67 en 68.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,1617,,,POINT (51.94839999800001 5.639199997999981)
hoogspanningsleiding.3,045,Vaarweg van het Oudhof naar het Tjeukemeer,,10.248,,KP,32.1,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,1634,,,POINT (52.927599999999984 5.789199999999994)
hoogspanningsleiding.4,093,Zwanendiep en Vollenhoverkanaal,,5.361,,MP,38,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,2087,,,POINT (52.66939999900001 5.934199999999976)
hoogspanningsleiding.5,086a,Overijsselsche Vecht,,25.129,,MP,19,"MP+19,0m=NAP+18,6m.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,2135,,,POINT (52.52259999900002 6.182200000000023)
hoogspanningsleiding.6,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,110.3,22,KP,22,,,,,,,,,,,,,2209,,,POINT (51.004500001999986 5.712800000000016)
hoogspanningsleiding.7,121a,Oude Zuid-Willemsvaart,,2.681,,KP,25.7,,,,,,,,,,,,,2512,,,POINT (51.46119999899997 5.668200001000002)
hoogspanningsleiding.8,204,"Laeck, Spriet, Warmonderleede en Oegstgeesterkanaal",,4.47,,KP,35.8,,,,,,,,,,,,,2759,,,POINT (52.18780000100003 4.486200000999986)
hoogspanningsleiding.9,080,Kanaal Almelo-De Haandrik (Overijsselsch Kanaal) en Coevorden-Vechtkanaal,,2.39,,KP,20.3,,,,,,,,,,,,,3065,,,POINT (52.38670000100001 6.614599999000006)
hoogspanningsleiding.10,243,Kanaal Alkmaar (Omval) - Kolhorn,,15.542,,KP,14,,,,,,,,,,,,,3078,,,POINT (52.723000001 4.854400000999988)
hoogspanningsleiding.11,039,Vaarweg van het Prinses Margrietkanaal naar de Kuinder of Tjonger,,13.362,,KP,20.1,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,3132,,,POINT (52.966899997999974 5.894099998999991)
