UNIEKNUMMER;REGISTRATIENR;DOSSIERNR;TYPEKODE;TYPE_OMSCHRIJVING;AARDAANVRKODE;AARDAANVRAAG_OMSCHRIJVING;OMSCHRIJVING;STADSDEELKANTOOR;STATUS;DATUM_INDIENING;DATUM_INGETROKKEN;DATUM_BESCHIKKING;DATUM_EINDE;ADRESNR;ID;STRAATNAAM;STRAATCODE;HUISNUMMER;HUISLETTER;TOEVOEGING;POSTCODE;GELDIG_VANAF;GELDIG_TM;X;Y;LONG;LAT
520987187;4132410;00891GGB13;GGB;Grondgebruik;GGO;Overig op/in straat;Uilenbomen 2, het plaatsen van een vetvangput;Handhavingsorganisatie;Verleend;2013-08-05;;2013-08-15;2050-12-15;1012028;963522;Uilebomen;18280;2;;;2511 VM;2012-09-19;;81897.458;454659.465;4.320865638210328;52.07538379686306
328526922;673369;01080GGB08;GGB;Grondgebruik;GSN;Standplaats;Verkoop ijs en hotdogs;DECO;Verleend;2008-06-10;;2008-10-30;;146093;964470;Gevers Deynootstraat;05760;25;;;2586 HR;2010-10-26;;79629.649;458894.401;4.2868547590662605;52.11313780395255
405749082;284113;01025GGB07;GGB;Grondgebruik;GGI;Inrit;inrit Slangenwortel 18;Stadsdeel Leidschenveen-Ypenburg;Verleend;2007-04-17;;2007-06-26;;305460;938239;Slangenwortel;21587;18;;;2498 CK;2010-10-26;;86485.979;450207.537;4.388680557722753;52.03596094199328
659482257;4093027;00805GGB12;GGB;Grondgebruik;GSN;Standplaats;Theresiastraat 32 K, standplaats normaal;Handhavingsorganisatie;Verleend;2012-06-22;;2012-08-16;;1003320;970290;Theresiastraat;17840;32;K;;2593 AP;2013-07-03;;82726.798;455648.007;4.3327516984559065;52.08437649569963
848982369;676306;01280GGB08;GGB;Grondgebruik;GGI;Inrit;uitritvergunning Metropole;Stadsdeel Scheveningen;Verleend;2008-07-15;;2008-11-10;;74913;976556;Carnegielaan;02860;3;;;2517 KH;2014-02-10;;79994.882;456081.154;4.292805184578802;52.08790568538731
412709849;676306;01280GGB08;GGB;Grondgebruik;GGI;Inrit;uitritvergunning Metropole;Stadsdeel Scheveningen;Verleend;2008-07-15;;2008-11-10;;74912;976557;Carnegielaan;02860;5;;;2517 KH;2014-02-10;;79994.882;456081.154;4.292805184578802;52.08790568538731
728698382;4127433;00679GGB13;GGB;Grondgebruik;GTN;terrasvergunning;aanvraag Terras locatie Kazernestraat 148;Handhavingsorganisatie;Verleend;2013-06-14;;2013-08-05;2029-08-05;1013473;969782;Kazernestraat;08920;148;;;2514 CW;2013-07-03;;81392.015;455656.763;4.313278857333833;52.084279334303204
340686651;291324;00121GGB08;GGB;Grondgebruik;GGI;Inrit;inrit;Stadsdeel Laak;Verleend;2008-01-25;;2008-02-20;;312581;855709;Waldorpstraat;19310;128;;;2521 CD;2010-10-26;;81783.835;453730.504;4.319407796736556;52.067020398111005
75428127;4162682;00690GGB14;GGB;Grondgebruik;GTN;terrasvergunning;aanvraag Terras locatie Almeloplein 70;Handhavingsorganisatie;Verleend;2014-07-03;;2014-09-11;2050-12-31;95310;946301;Almeloplein;00390;70;;;2533 AD;2010-10-26;;78756.309;452467.372;4.275543750245427;52.055260493028854
28947489;4016918;00546GGB10;GGB;Grondgebruik;GGI;Inrit;Poeldijkseweg 53, inritvergunning;Handhavingsorganisatie;Verleend;2010-04-20;;2010-07-22;;213768;931133;Poeldijkseweg;14295;53;;;2544 NS;2010-10-26;;76821;449212.245;4.248075899729782;52.025737936728525
523453566;278136;02067GGB06;GGB;Grondgebruik;GGI;Inrit;;Stadsdeel Segbroek;Verleend;2006-09-01;;2006-10-03;;18503;920749;Mezenlaan;11870;16;;;2566 ZG;2010-10-26;;78088.165;455622.08;4.26509288824961;52.08351847991776
114172017;672755;01012GGB08;GGB;Grondgebruik;GGI;Inrit;inrit van 5,25 m x 3,00 m;Stadsdeel Segbroek;Verleend;2008-06-02;;2008-06-26;;18504;920750;Mezenlaan;11870;17;;;2566 ZB;2010-10-26;;77983.743;455588.884;4.263577191814422;52.083205640331514
666921357;4164891;00788GGB14;GGB;Grondgebruik;GTN;terrasvergunning;aanvraag Terras locatie Stationsplein 3C;Handhavingsorganisatie;Verleend;2014-07-24;;2014-09-12;2050-09-12;223017;835086;Stationsplein;17130;3;C;;2515 BT;2010-10-26;;81892.794;454067.637;4.320924399229618;52.070064539138606
458511198;281775;00307GGB07;GGB;Grondgebruik;GGI;Inrit;;Stadsdeel Leidschenveen-Ypenburg;Verleend;2007-02-08;;2007-10-09;;313774;971468;Moezel;21376;14;;;2491 CT;2013-08-23;;86491.347;453345.675;4.388129568156877;52.06416406580049
635137837;289640;01927GGB07;GGB;Grondgebruik;GGI;Inrit;inrit;Stadsdeel Segbroek;Verleend;2007-11-07;;2007-12-05;;312736;842262;Sijzenlaan;17550;35;D;;2566 WC;2010-10-26;;77416.626;455147.366;4.255405211918617;52.079158684120834
887966164;289641;01928GGB07;GGB;Grondgebruik;GGI;Inrit;inrit;Stadsdeel Segbroek;Verleend;2007-11-07;;2007-12-05;;312737;842263;Sijzenlaan;17550;35;E;;2566 WC;2010-10-26;;77405.953;455140.443;4.255251116136744;52.07909497376073
76141645;4002435;01724GGB09;GGB;Grondgebruik;GGI;Inrit;inrit;Handhavingsorganisatie;Verleend;2009-08-12;;2009-09-15;;179111;841363;Sijzenlaan;17550;56;;;2566 WK;2010-10-26;;77493.637;455167.594;4.256523856203383;52.07935125335937
