woonplaats;wijk;buurt;periode;aantal_ritten_in_periode;aantal_passagiers_in_periode;aantal_kilometers_per_periode;gemiddeld_aantal_km_per_rit
;;;201501;140;144;1308,30;9,35
;;;201502;88;91;728,20;8,28
;;;201503;91;98;734,10;8,07
;;;201504;105;113;950,60;9,05
;;;201505;112;113;999,60;8,93
;;;201506;117;121;1098,70;9,39
;;;201507;95;105;1011,80;10,65
;;;201508;110;119;832,20;7,57
;;;201509;84;85;662,40;7,89
;;;201510;112;115;813,90;7,27
;;;201511;96;98;641,60;6,68
;;;201512;100;107;896,20;8,96
;;;201601;95;101;866,50;9,12
;;;201602;68;68;433,10;6,37
;;;201603;104;104;672,30;6,46
;;;201604;116;116;803,10;6,92
;;;201605;104;104;936,30;9,00
;;;201606;90;92;900,10;10,00
;;;201607;106;108;953,60;9,00
;;;201608;112;114;1028,40;9,18
;;;201609;112;112;771,30;6,89
;;;201610;129;129;1094,70;8,49
;;;201611;156;156;1511,60;9,69
;;;201612;136;136;1163,20;8,55
;;;201701;201;201;1632,50;8,12
;;;201702;172;172;1222,20;7,11
;;;201703;148;150;1269,90;8,58
;;;201704;123;124;1024,10;8,33
;;;201705;141;141;1210,80;8,59
;;;201706;127;131;1237,50;9,74
;;;201707;91;94;840,30;9,23
;;;201708;90;90;864,20;9,60
;;;201709;105;106;779,90;7,43
;;;201710;220;221;1568,80;7,13
;;;201711;135;135;988,30;7,32
;;;201712;157;157;1304,30;8,31
;;;201801;116;123;995,15;8,58
;;;201802;119;130;1145,62;9,63
;;;201803;117;121;1009,85;8,63
;;;201804;168;173;1978,85;11,78
;;;201805;87;89;824,25;9,47
;;;201806;105;105;747,07;7,11
Assendelft;Assendelft-Noord;Langeheit;201501;25;25;91,20;3,65
Assendelft;Assendelft-Noord;Langeheit;201502;31;31;162,70;5,25
Assendelft;Assendelft-Noord;Langeheit;201503;28;28;175,80;6,28
Assendelft;Assendelft-Noord;Langeheit;201504;32;32;200,50;6,27
Assendelft;Assendelft-Noord;Langeheit;201505;37;37;235,20;6,36
Assendelft;Assendelft-Noord;Langeheit;201506;27;27;96,30;3,57
Assendelft;Assendelft-Noord;Langeheit;201507;18;18;107,30;5,96
Assendelft;Assendelft-Noord;Langeheit;201508;31;31;161,00;5,19
Assendelft;Assendelft-Noord;Langeheit;201509;38;38;172,80;4,55
Assendelft;Assendelft-Noord;Langeheit;201510;37;39;297,00;8,03
Assendelft;Assendelft-Noord;Langeheit;201511;39;39;121,50;3,12
Assendelft;Assendelft-Noord;Langeheit;201512;29;29;91,00;3,14
Assendelft;Assendelft-Noord;Langeheit;201601;21;21;96,00;4,57
Assendelft;Assendelft-Noord;Langeheit;201602;30;30;121,30;4,04
Assendelft;Assendelft-Noord;Langeheit;201603;51;51;227,70;4,46
Assendelft;Assendelft-Noord;Langeheit;201604;39;39;165,80;4,25
Assendelft;Assendelft-Noord;Langeheit;201605;31;31;204,70;6,60
Assendelft;Assendelft-Noord;Langeheit;201606;26;26;109,90;4,23
Assendelft;Assendelft-Noord;Langeheit;201607;14;14;77,70;5,55
Assendelft;Assendelft-Noord;Langeheit;201608;30;30;270,00;9,00
Assendelft;Assendelft-Noord;Langeheit;201609;27;27;205,40;7,61
Assendelft;Assendelft-Noord;Langeheit;201610;15;15;123,60;8,24
Assendelft;Assendelft-Noord;Langeheit;201611;14;14;119,30;8,52
Assendelft;Assendelft-Noord;Langeheit;201612;26;26;206,90;7,96
Assendelft;Assendelft-Noord;Langeheit;201701;47;47;320,20;6,81
Assendelft;Assendelft-Noord;Langeheit;201702;34;34;176,80;5,20
Assendelft;Assendelft-Noord;Langeheit;201703;36;36;218,90;6,08
Assendelft;Assendelft-Noord;Langeheit;201704;30;30;286,10;9,54
