Handelsnaam;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Absoluta Food and Facilities B.V.;1;;1
Aktiviteitencentrum Poortershoes;1;;1
Athlon Car Lease Nederland B.V.;;4;4
BOL Kreditank;;1;1
Bos & Bos GAE B.V.;;1;1
Bos & Bos Huis de Beurs B.V.;1;;1
BSA Schaderegeling B.V.;;1;1
Budget Rent a Car;;1;1
BuitenBusiness B.V.;1;;1
Carglass B.V.;;1;1
Century Autogroep;;1;1
Collect Car B.V.;;1;1
Cor Ottens Advies;1;;1
Cultuurmakelaar;1;;1
De Jufferen Lunsingh V.O.F.;1;;1
De Pudding;1;;1
European Car Adventures;1;;1
Geling's Langste Autowasstraat B.V.;;1;1
Grazie Grazie B.V.;1;;1
Het Paleis Groningen B.V.;1;;1
Hogeschool Domstad Beheer B.V.;1;;1
Hotel Contact B.V.;7;;7
House of Sports;1;;1
HR Via Care B.V.;;1;1
Ivan Hrabinsky;1;;1
KLAP B.V.;;1;1
Kloosterhoeve B.V.;1;;1
Leaseplan Nederland N.V.;;4;4
LeFay Magic;1;;1
Logement Doosje;1;;1
Manutan B.V.;;1;1
Munckhof Regie;;1;1
Nicky-Tax;;1;1
Piloersema;1;;1
Promotex B.V.;1;;1
Reinaerde;1;;1
Restaurant Belle van Zuylen B.V.;1;;1
Retraiterie Rottemeren;1;;1
Shell De Wetering;;1;1
Sprekershuys B.V.;1;;1
Sterk-Staaltje;2;;2
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;1;;1
Stichting Drents Museum;1;;1
Stichting Exploitatie 'Pulchri Studio';1;;1
Stichting saMBO~ICT;1;;1
Swoolish-garage;1;;1
Taxibedrijf Poll;;1;1
Travelcard Nederland B.V.;;1;1
V.O.F. Groninger Forum;1;;1
Verhuurbedrijf Paul B.V.;1;;1
Villa Augustus B.V.;1;;1
Waar B.V.;1;;1
Wereldwinkel Groningen;1;;1
Wildlands Adventure Zoo Emmen B.V.;1;;1
Woudschoten Conferentiecentrum B.V.;1;;1
Zwarte Woud Vastgoed B.V.;1;;1
Eindtotaal;7;5;7
