FID,fnode_,tnode_,lpoly_,rpoly_,length_met,stroken_,stroken_id,filenaam,br_links,br_rechts,sourcethm,datum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2006.1,0,0,0,0,27092.206,1,1,midnorth_south_00,140.6000061,-82.40000153,Stroken_nholland,2006-04-11T00:00:00,,,"LINESTRING (104307.7109999992 524654.813000001, 98960.07800000161 498095.625)"
vlieglijnen_kust_2006.2,0,0,0,0,26624.811,2,2,midnorth_south_01,59.29999924,-78.5,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (104347.0390000008 524179.5309999995, 99057.22700000182 498085.5)"
vlieglijnen_kust_2006.3,0,0,0,0,27764.803,3,3,midnorth_south_02,69.59999847,-71.69999695,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (104642.25800000131 525295.375, 99131.27299999818 498083)"
vlieglijnen_kust_2006.4,0,0,0,0,26786.798,4,4,midnorth_south_03,63.5,-76.09999847,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (104521.6409999989 524333.875, 99209.6409999989 498079.063000001)"
vlieglijnen_kust_2006.5,0,0,0,0,28212.321,5,5,midnorth_south_04,67.80000305,-68.90000153,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (104878.13300000131 525726.438000001, 99265.4299999997 498078.063000001)"
vlieglijnen_kust_2006.6,0,0,0,0,26747.729,6,6,midnorth_south_05,73.80000305,-74.19999695,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (104664.32800000161 524289.125, 99349.6409999989 498074.7190000005)"
vlieglijnen_kust_2006.7,0,0,0,0,28954.579,7,7,midnorth_south_06,73.19999695,-70.09999847,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (99432.1409999989 498098.188000001, 105186.88300000131 526475.125)"
vlieglijnen_kust_2006.8,0,0,0,0,26706.018,8,8,midnorth_south_07,76.80000305,-71.30000305,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (99513.56300000101 498116.438000001, 104820.4059999995 524289.875)"
vlieglijnen_kust_2006.9,0,0,0,0,28571.046,9,9,midnorth_south_08,68.30000305,-70.69999695,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (105267.7890000008 526144.125, 99589.4609999992 498143.0309999995)"
vlieglijnen_kust_2006.10,0,0,0,0,24641.593,10,10,midnorth_south_09,70.90000153,-65.80000305,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (99670.4609999992 498164.875, 104574.13300000131 522313.625)"
vlieglijnen_kust_2006.11,0,0,0,0,25926.764,11,11,midnorth_south_10,69.30000305,-71.59999847,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (99753.2190000005 498187.313000001, 104903.07800000161 523597.4690000005)"
vlieglijnen_kust_2006.12,0,0,0,0,13848.519,12,12,midnorth_south_11,70.40000153,-73.19999695,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (100318.2190000005 498353.313000001, 103075.9690000005 511924.4690000005)"
vlieglijnen_kust_2006.13,0,0,0,0,25033.185,13,13,midnorth_south_12,67.40000153,-67.69999695,Stroken_nholland,2006-05-03T00:00:00,,,"LINESTRING (99762.25 498185.625, 104689.72700000182 522729.063000001)"
