FID,DATUM,VAN_KNPNR,NAAR_KNPNR,STRENGNR,STRENGTYPE,AFVOERTYPE,JAAR,JAAR_RECON,MATERIAAL,VORM,VANBOBPEIL,NARBOBPEIL,BREEDTE,HOOGTE,BODEMBRDT,LENGTE,INSPECTIE,JAARVERV_INDICATIE,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_LEIDINGEN.1873,2022-11-09,11514,11516,1,vuil,gescheiden,1966,1966,beton,rond,5.73,5.51,300,300,130,39.38,2013-10-01,2083,2023-02-01,"LINESTRING (183734.518 424448.057, 183720.452 424484.849)"
BOR_RIO_LEIDINGEN.1874,2022-11-09,11515,11518,1,regen,gescheiden,1966,1966,beton,rond,6.29,6.37,300,300,130,37.93,2013-09-27,2058,2023-02-01,"LINESTRING (183721.632 424477.196, 183756.87 424491.217)"
BOR_RIO_LEIDINGEN.1875,2022-11-09,11516,11517,1,vuil,gescheiden,1966,1966,beton,rond,4.56,4.56,300,300,130,2.79,2013-09-27,2058,2023-02-01,"LINESTRING (183720.452 424484.849, 183717.701 424484.398)"
BOR_RIO_LEIDINGEN.1876,2022-11-09,11516,11519,1,vuil,gescheiden,1966,1966,beton,rond,4.56,4.72,300,300,130,53.88,2013-09-27,2023,2023-02-01,"LINESTRING (183720.452 424484.849, 183772.062 424500.326)"
BOR_RIO_LEIDINGEN.1877,2022-11-09,11518,11520,1,regen,gescheiden,1966,1966,beton,rond,6.37,6.45,300,300,130,44.53,2013-09-27,2058,2023-02-01,"LINESTRING (183756.87 424491.217, 183798.311 424507.627)"
BOR_RIO_LEIDINGEN.1878,2022-11-09,11519,11523,1,vuil,gescheiden,1966,1966,beton,rond,4.72,4.75,300,300,130,44.12,2013-09-27,2023,2023-02-01,"LINESTRING (183772.062 424500.326, 183813.316 424515.962)"
BOR_RIO_LEIDINGEN.1879,2022-11-09,1152,1153,1,regen,gescheiden v,1956,2006,reline beton,rond,8.47,8.28,500,500,140,78.94,2014-06-24,2084,2023-02-01,"LINESTRING (185758.18 429493.637, 185759.144 429414.687)"
BOR_RIO_LEIDINGEN.1880,2022-11-09,11520,11521,1,regen,gescheiden,1966,1966,beton,rond,6.45,6.35,300,300,130,25.87,2015-05-01,2085,2023-02-01,"LINESTRING (183798.311 424507.627, 183789.528 424531.891)"
BOR_RIO_LEIDINGEN.1881,2022-11-09,11521,Z11522,1,regen,gescheiden,1966,1966,beton,rond,6.05,5.9,300,300,130,40.82,2015-05-01,2085,2023-02-01,"LINESTRING (183789.528 424531.891, 183795.406 424572.375)"
BOR_RIO_LEIDINGEN.1882,2022-09-05,11522,11509,1,regen,water it,2011,2011,beton,rond,8.3,8.29,400,400,400,48.43,2011-05-13,2081,2023-02-01,"LINESTRING (184730.385 427298.722, 184778.016 427306.335)"
BOR_RIO_LEIDINGEN.1883,2022-09-05,11522,11530,1,regen,water it,2011,2011,beton,rond,8.3,8.3,400,400,400,34.43,2011-04-26,2081,2023-02-01,"LINESTRING (184730.385 427298.722, 184749.899 427270.274)"
BOR_RIO_LEIDINGEN.1884,2022-11-09,11523,11524,1,vuil,gescheiden,1966,1966,beton,rond,4.75,4.83,300,300,130,35.67,2017-06-28,2042,2023-02-01,"LINESTRING (183813.316 424515.962, 183848.297 424509.031)"
BOR_RIO_LEIDINGEN.1885,2022-11-09,11524,11527,1,vuil,gescheiden,1966,1966,beton,rond,4.83,4.91,300,300,130,40.09,2017-06-28,2042,2023-02-01,"LINESTRING (183848.297 424509.031, 183887.812 424502.265)"
BOR_RIO_LEIDINGEN.1886,2022-11-09,11525,11526,1,vuil,gescheiden,1966,1966,beton,rond,6.55,6.42,300,300,130,45.95,2019-06-05,2019,2023-02-01,"LINESTRING (183849.093 424505.113, 183806.597 424487.578)"
BOR_RIO_LEIDINGEN.1887,2022-11-09,11526,11555,1,vuil,gescheiden,1966,1966,beton,rond,6.42,6.32,300,300,130,38.53,2013-09-30,2083,2023-02-01,"LINESTRING (183806.597 424487.578, 183820.493 424451.684)"
BOR_RIO_LEIDINGEN.1888,2022-11-09,11527,11534,1,vuil,gescheiden,1966,1966,beton,rond,4.91,5,300,300,130,45.93,2016-10-10,2041,2023-02-01,"LINESTRING (183887.812 424502.265, 183933.018 424494.101)"
BOR_RIO_LEIDINGEN.1889,2022-11-09,11527,11545,1,vuil,gescheiden,1966,1966,beton,rond,6.2,6.3,300,300,130,45.32,2013-10-01,2023,2023-02-01,"LINESTRING (183887.812 424502.265, 183904.363 424460.077)"
BOR_RIO_LEIDINGEN.1890,2022-11-09,11528,11529,1,regen,gescheiden,1966,1966,beton,rond,6.07,6,300,300,130,29.34,2015-05-01,2085,2023-02-01,"LINESTRING (183886.656 424509.892, 183876.417 424537.419)"
BOR_RIO_LEIDINGEN.1891,2022-11-09,11528,11546,1,regen,gescheiden,1966,1966,beton,rond,6.07,6.18,300,300,130,53.04,2013-10-03,2083,2023-02-01,"LINESTRING (183886.656 424509.892, 183905.68 424460.363)"
BOR_RIO_LEIDINGEN.1892,2022-11-09,11529,11531,1,regen,gescheiden,1966,1966,beton,rond,6,6.2,300,300,130,62.25,2015-05-01,2085,2023-02-01,"LINESTRING (183876.417 424537.419, 183937.779 424526.892)"
BOR_RIO_LEIDINGEN.1893,2022-11-09,11529,Z11530,1,regen,gescheiden,1966,1966,beton,rond,6,5.9,300,300,130,24.89,2013-10-03,2083,2023-02-01,"LINESTRING (183876.417 424537.419, 183880.609 424561.938)"
BOR_RIO_LEIDINGEN.1894,2022-11-09,1153,16044,1,regen,gescheiden v,1956,2006,reline beton,rond,8.28,8.13,500,500,140,63.33,2014-06-24,2084,2023-02-01,"LINESTRING (185759.144 429414.687, 185760.107 429351.246)"
BOR_RIO_LEIDINGEN.1895,2022-09-05,11530,11451,1,regen,water it,2011,2011,beton,rond,8.3,8.3,400,400,400,46.07,2011-04-26,2081,2023-02-01,"LINESTRING (184749.899 427270.274, 184782.817 427301.816)"
BOR_RIO_LEIDINGEN.1896,2022-11-09,11531,11532,1,regen,gescheiden,1966,1966,beton,rond,6.2,6.3,300,300,130,52.7,2013-09-25,2083,2023-02-01,"LINESTRING (183937.779 424526.892, 183947.259 424578.741)"
BOR_RIO_LEIDINGEN.1897,2022-11-09,11531,11535,1,regen,gescheiden,1966,1966,beton,rond,6.2,6.32,300,300,130,41.12,2013-09-25,2083,2023-02-01,"LINESTRING (183937.779 424526.892, 183929.841 424486.55)"
BOR_RIO_LEIDINGEN.1898,2022-11-09,11532,11922,1,regen,gescheiden,1966,1966,beton,rond,6.3,6.2,300,300,130,51.41,2013-09-25,2083,2023-02-01,"LINESTRING (183947.259 424578.741, 183956.215 424629.25)"
