FID,ID,HALTENAAM,ROLSTOELTOEGANKELIJK,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
MOB_BUSHALTES.809,809,van Peltlaan,Ja,2022-02-08,2023-02-02,POINT (187105.072243771 425741.062380517)
MOB_BUSHALTES.810,810,Leuvensbroek,Ja,2022-02-08,2023-02-02,POINT (182087.020497884 427170.98848485)
MOB_BUSHALTES.811,811,Kulturhus,Nee,2022-02-08,2023-02-02,POINT (192276.057455412 427028.092934947)
MOB_BUSHALTES.812,812,v. Boetbergweg/Malvert,Ja,2022-02-08,2023-02-02,POINT (184240.01680214 424152.004736608)
MOB_BUSHALTES.813,813,Zandsepad,Ja,2022-02-08,2023-02-02,POINT (188740.01836623 432071.07071462)
MOB_BUSHALTES.814,814,Terracottastraat,Nee,2022-02-08,2023-02-02,POINT (186841.998476878 432353.018053928)
MOB_BUSHALTES.815,815,Krekelstraat,Nee,2022-02-08,2023-02-02,POINT (186327.026272802 425511.060640129)
MOB_BUSHALTES.816,816,Beukstraat,Nee,2022-02-08,2023-02-02,POINT (189670.018523188 427258.035997443)
MOB_BUSHALTES.817,817,Meeuwseacker,Ja,2022-02-08,2023-02-02,POINT (183205.024243118 427435.05852925)
MOB_BUSHALTES.818,818,Sint Hubertusweg,Nee,2022-02-08,2023-02-02,POINT (192030.022887977 427365.051582587)
MOB_BUSHALTES.819,819,Van Cranenborchstraat,Ja,2022-02-08,2023-02-02,POINT (188816.045765134 426492.078579125)
MOB_BUSHALTES.820,820,Weezenhof 10e straat,Ja,2022-02-08,2023-02-02,POINT (183948.03899006 423845.019449352)
MOB_BUSHALTES.821,821,Sint Annastraat/Heiweg,Nee,2022-02-08,2023-02-02,POINT (187214.035870626 425255.008621979)
MOB_BUSHALTES.822,822,Hugo de Grootstraat,Ja,2022-02-08,2023-02-02,POINT (188656.04241677 428255.113620513)
MOB_BUSHALTES.823,823,Sportpark Union,Nee,2022-02-08,2023-02-02,POINT (186941.081996328 423754.062399768)
MOB_BUSHALTES.824,824,Rijksweg/Nertsstraat,Nee,2022-02-08,2023-02-02,POINT (186855.075669587 422960.025928315)
MOB_BUSHALTES.825,825,Beatrixplein,Ja,2022-02-08,2023-02-02,POINT (181578.007073095 430331.087745269)
MOB_BUSHALTES.826,826,Molenwei,Ja,2022-02-08,2023-02-02,POINT (190084.036607583 433415.090876463)
MOB_BUSHALTES.827,827,Dominicanenstraat,Nee,2022-02-08,2023-02-02,POINT (188449.022903974 428079.050272312)
MOB_BUSHALTES.828,828,Zwaluwstraat,Nee,2022-02-08,2023-02-02,POINT (186462.029398236 428541.016734306)
MOB_BUSHALTES.829,829,CW-ziekenhuis,Ja,2022-02-08,2023-02-02,POINT (185491.03961446 425465.069717512)
MOB_BUSHALTES.830,830,Mr. Franckenstraat,Ja,2022-02-08,2023-02-02,POINT (188509.026509258 428546.069498881)
MOB_BUSHALTES.831,831,Couwenbergstraat,Ja,2022-02-08,2023-02-02,POINT (185150.032982402 424381.026126356)
MOB_BUSHALTES.832,832,Sint Walrick,Nee,2022-02-08,2023-02-02,POINT (183293.066962451 421590.997483255)
MOB_BUSHALTES.833,833,P+R Nijmegen West,Nee,2022-02-08,2023-02-02,POINT (183553.041836196 427627.059728987)
MOB_BUSHALTES.834,834,Zwanenveld 12e str.,Ja,2022-02-08,2023-02-02,POINT (183797.06909224 425834.096454969)
MOB_BUSHALTES.835,835,Distelakkerstraat,Ja,2022-02-08,2023-02-02,POINT (182809.019885327 430428.010980464)
MOB_BUSHALTES.836,836,Beatrixplein,Ja,2022-02-08,2023-02-02,POINT (181586.999882939 430324.015050207)
MOB_BUSHALTES.837,837,Dalidastraat,Ja,2022-02-08,2023-02-02,POINT (187677.995096186 431809.015125272)
MOB_BUSHALTES.838,838,Klein Rome,Ja,2022-02-08,2023-02-02,POINT (188839.990599328 433732.061685095)
MOB_BUSHALTES.839,839,Centraal Station,Nee,2022-02-08,2023-02-02,POINT (187168.013222722 428458.055449207)
MOB_BUSHALTES.840,840,Aldenhof 12/32 str.,Nee,2022-02-08,2023-02-02,POINT (183692.076129279 424121.022237003)
MOB_BUSHALTES.841,841,Meijhorst 13e straat,Ja,2022-02-08,2023-02-02,POINT (183122.034863426 425016.079418571)
MOB_BUSHALTES.842,842,Smetiusstraat,Nee,2022-02-08,2023-02-02,POINT (187559.023172449 428522.109587405)
MOB_BUSHALTES.843,843,Station Dukenburg (E),Ja,2022-02-08,2023-02-02,POINT (182984.049371665 426176.053097983)
MOB_BUSHALTES.844,844,Duitslandstraat,Nee,2022-02-08,2023-02-02,POINT (188772.057767459 430936.114192764)
MOB_BUSHALTES.845,845,Sint Maartenskliniek,Ja,2022-02-08,2023-02-02,POINT (190227.065679146 427343.031580255)
MOB_BUSHALTES.846,846,Station Heyendaal,Ja,2022-02-08,2023-02-02,POINT (188189.06736608 426570.103774337)
MOB_BUSHALTES.847,847,Kan. Mijllinckstraat,Nee,2022-02-08,2023-02-02,POINT (187676.056544171 425074.091890668)
MOB_BUSHALTES.848,848,Sportpark Union,Nee,2022-02-08,2023-02-02,POINT (186981.035871073 423838.094267744)
MOB_BUSHALTES.849,849,Dekkerswald,Nee,2022-02-08,2023-02-02,POINT (190236.08341976 423962.060121516)
MOB_BUSHALTES.850,850,Dekkerswald,Nee,2022-02-08,2023-02-02,POINT (190181.08266393 424074.044615205)
MOB_BUSHALTES.851,851,Parksesteeg,Nee,2022-02-08,2023-02-02,POINT (183665.062758328 422343.092531943)
MOB_BUSHALTES.852,852,Steve Bikoplein,Ja,2022-02-08,2023-02-02,POINT (183506.00948535 425536.041537121)
MOB_BUSHALTES.853,853,Meidoornstraat,Nee,2022-02-08,2023-02-02,POINT (192495.026056427 426609.056813613)
MOB_BUSHALTES.854,854,Irene Vorrinkstraat,Nee,2022-02-08,2023-02-02,POINT (186061.0371296 424393.044671309)
MOB_BUSHALTES.855,855,Dijkstraat,Ja,2022-02-08,2023-02-02,POINT (187192.025657036 431270.042828538)
MOB_BUSHALTES.856,856,Heideparkseweg,Nee,2022-02-08,2023-02-02,POINT (185451.048345808 426565.053710652)
MOB_BUSHALTES.857,857,Sint Walrick,Nee,2022-02-08,2023-02-02,POINT (183305.044300824 421584.055927432)
MOB_BUSHALTES.858,858,Station Dukenburg (D),Ja,2022-02-08,2023-02-02,POINT (182984.049371665 426176.053097983)
MOB_BUSHALTES.859,859,Sportpark,Nee,2022-02-08,2023-02-02,POINT (192856.045737273 426812.03871207)
MOB_BUSHALTES.860,860,Pompweg,Ja,2022-02-08,2023-02-02,POINT (189889.029954127 428086.097594282)
MOB_BUSHALTES.861,861,Centraal Station,Nee,2022-02-08,2023-02-02,POINT (187156.071744403 428461.093946461)
MOB_BUSHALTES.862,862,Thijmstraat,Ja,2022-02-08,2023-02-02,POINT (186717.038988045 427284.074345211)
MOB_BUSHALTES.863,863,Hatert-Centrum,Nee,2022-02-08,2023-02-02,POINT (185115.040617687 424477.053302947)
MOB_BUSHALTES.864,864,Station Lent,Nee,2022-02-08,2023-02-02,POINT (187684.033649555 430600.007841359)
