Leveranciersnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Allekabels B.V.;;;;;;;;1;;1
Alpina Groep;;;;;;;1;;;1
Ambius B.V.;;;;;;;2;;;2
Aon Risk Solutions;;;;;;;1;;;1
ArboVitale;;1;;;;;;;;1
Ascom (Nederland) B.V.;;1;;;;;;;;1
B.V. Electro Centraal E.C.;;;;;;;;1;;1
B.V. Technisch Bureau Jacot;;;;;;;1;;;1
Baas Verpakkingen en Business Market B.V.;;;;;;;;1;;1
Bal Herenkleding;;;;;;;;1;;1
Banketbakkerij H.F. Borsboom;1;;;;;;;;;1
Boek- en Offsetdrukkerij Morgenstond B.V.;;;;1;1;;;;;1
bol.com B.V.;;;;;;;;1;;1
Brand Control Rooms International B.V.;;;;;;;1;;;1
Calumet Photographic B.V.;;;;;;;;1;;1
Chair Repair;;;;;;;2;;;2
Cimon B.V.;;;;;2;;;;;2
Claxwagen.nl;;;;;;;1;;;1
CNFKoetsier B.V.;;;;;;;1;;;1
Co̦peratieve 'Duurzame Bloemisten Groep' UA;;;;;;;1;;;1
Conrad Electronic Benelux B.V.;;;;;;;;1;;1
Coolblue B.V.;;;;;;;1;;;1
Cycloon Post Den Haag B.V.;;;;1;;;;;;1
De Galerie Den Haag B.V.;;;;;;;1;;;1
De Projectinrichter B.V.;;;;;;;1;;;1
De Raat Security Products B.V.;;1;;;;;2;;;2
De Ruijter Strategie B.V.;;;;;1;;;;;1
De Tijd' Bedrijfskleding;;;;;;;;2;;2
Deep Action Carpet Cleaning B.V.;;;1;;;;;;;1
Defibrion;;2;;;;;;;;2
Dema Stoffering;;;;;;;2;;;2
Discountoffice.nl B.V.;;1;;;;;1;1;;1
Dodidop B.V.;;;;;1;;;;;1
Dokkumer Vlaggen Centrale B.V.;;1;;;;;;;;1
DOM Nederland;;1;;;;;;;;1
Drentea Kantoormeubelen;;;;;;;1;;;1
Duel;;;;;1;;;;;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;;1;;;;;1
Ed. Alter Sanitair B.V.;;;;;;;1;;;1
Ese International B.V.;;1;;;;;;;;1
Espressissimo B.V.;1;;;;;;1;1;;1
Etishop De Etikettenfabriek B.V.;;;;;;;;1;;1
Etol Nederland B.V.;;;1;;;;;;;1
