X,Y,OBJECTID,IDENTIFICATIE,HOOGTE,LOCATIE,X_GEVEL,Y_GEVEL,BRONHOUDER
4.79342304371683,51.5944146424572,97,44D0162,3.076,"fbr grada producten teteringsedijk,hoek hoge steenweg",+0027,+0030,Rijkswaterstaat
4.80802872168324,51.5954946196251,98,44D0163,3.921,erker kruisvereniging teteringsedijk 295 a/d driesprong,+0021,+0025,Rijkswaterstaat
4.81461810893621,51.6257112605,99,44D0172,4.824,rechter sch bdr  blauwhoefse  dreef  3,+0080,+0032,Rijkswaterstaat
4.80162322344616,51.6333233309338,100,44D0173,3.735,hs  abtshoeve  meerberg   8,-0032,+0035,Rijkswaterstaat
4.78957856438905,51.6342781690704,101,44D0174,3.434,fundatie  onder  hsm  25   salesdreef ,-0014,+0040,Rijkswaterstaat
4.77720566183953,51.6316795050179,102,44D0175,1.31,garage  van  hs  hartelweg,-0021,+0030,Rijkswaterstaat
4.77260009955177,51.6112958661834,103,44D0176,2.821,trafo  moerlaken  bij  terheydenseweg ,+0014,+0076,Rijkswaterstaat
4.78239173864723,51.5969828420996,104,44D0180,2.632,fb terheydensewg  hoek  liniestraat,-0017,+0042,Rijkswaterstaat
4.81987417168419,51.6200020516135,105,44D0184,4.893,hs  hoeveneind  51,+0039,+0031,Rijkswaterstaat
4.81741276543703,51.6124844964255,106,44D0185,4.267,gar  gemeentehuis  teteringen  hoeveneind  3,+0019,+0030,Rijkswaterstaat
4.8200581803097,51.6260703364935,107,44D0186,5.294,hs  bdr blauwhoefsedreef  1,+0042,+0055,Rijkswaterstaat
4.83507374126303,51.6098006430526,108,44D0234,6.506,hs  laanzichtweg   95,-0049,+0044,Rijkswaterstaat
4.85751229377886,51.5896887089808,109,44D0241,7.513,rkk dorst L van hoofdingang,+0178,+0071,Rijkswaterstaat
4.81765763716584,51.6113800736367,110,44D0243,4.326,willibrorduskerk   teteringen  ,+0018,+0022,Rijkswaterstaat
4.80848860871777,51.6114878866489,111,44D0244,2.122,sch  bdr  zwartendijk  2,-0389,+0028,Rijkswaterstaat
4.78375567798043,51.6094573100997,112,44D0246,1.548,hs  garage  brasschaatstraat  73,+0022,+0022,Rijkswaterstaat
4.82917745067279,51.5926940558253,113,44D0251,6.315,vdc rw 27 w-z nw gedeelte  van w-bet .pijlers,+0036,+0033,Rijkswaterstaat
4.74945161190397,51.6075854423193,114,44D0252,2.027,trafo  gageldonksepad  ( tnv ptt-centrale ),-0043,+0010,Rijkswaterstaat
4.83212655732368,51.6229461983623,115,44D0260,6.482,sch  ijzerhandel  vraggelsebaan  15 a,-0021,+0048,Rijkswaterstaat
4.84576176996726,51.5912528918446,116,44D0261,6.111,Huis Oude Rijksweg 75 Tilburg-Breda,-0010,+0031,Rijkswaterstaat
4.77575667915295,51.5891910214333,117,44D0268,4.531,RKK Grote Markt 59 3e Kolom,29,16,Rijkswaterstaat
4.77612823254351,51.6055345692476,118,44D0290,2.084,Huis Oudebaan 1,-0029,+0010,Rijkswaterstaat
4.76118624270091,51.612952204795,119,44D0314,8.785,Moerlakenbrug noord oostelijke muur ,-0023,0017,Rijkswaterstaat
4.80215436409872,51.5888136952406,120,44D0801,2.085,duiker  in  mgr .leijtensstraat,,-0017,Gemeente Breda
4.804610425867,51.5874596617961,121,44D0802,2.448,duiker   hooghout,+0029,-0090,Gemeente Breda
4.77990962928404,51.5926463771791,122,44D0804,2.821,willemsbrug  sophiastraat,+0215,+00185,Gemeente Breda
4.78616646128755,51.5996629770492,123,44D0805,2.715,school  a/d  archimedesstraat,+0013,+0039,Gemeente Breda
4.76241245309169,51.601498063255,124,44D0809,2.868,stulemeijerbrug  a/d  markkade,+0074,-0037,Gemeente Breda
4.76295989356626,51.6089167323486,125,44D0820,2.71,fabriek  op  hoechst terrein  lijndonk,+0031,+0046,Gemeente Breda
4.79382234306699,51.6069200420331,126,44D0821,1.89,trafo  evert spoorwaterstraat,-0123,+0044,Gemeente Breda
4.7899055041273,51.6105675223413,127,44D0823,1.541,trafo  kasterleestraat,-0021,+0062,Gemeente Breda
