OBJECTID,GUID,REF_FYSIEKE_SPOORTAK_PUIC,REF_FYSIEKE_SPOORTAK_NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,REF_FUNC_SPOORTAK_NAAM_LANG,SPOORSTAAF_LINKS_RECHTS
2,365fa9fa-9528-9c52-e7b5-81d1cf7bb17b,0cf55503-98e7-4823-b53e-01b8de47c8c4,1009L,255.5242,95698.162,433279.086,-0.122,95814.077,433051.367,-0.178,664,b,664,664_b,Rotterdam Lombardijen,Bd-Rtd,Breda - Rotterdam Centraal ,42.873824,"42,873824",42.624603,"42,624603",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,664_1009L_42.9,Links
3,719c4674-bc42-de83-1b25-6e1e4cb10afa,37179f90-87c4-41c0-8b38-7848c1917052,3731V,110.34814,99143.556,428383.291,2.261,99064.388,428459.811,2.108,924,a,924,924_a,Kijfhoek,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,36.806392,"36,806392",36.915462,"36,915462",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,Zee-Zevenaar,924_3731V_36.8,Links
7,48ec451e-6434-c530-3c9c-8b2e0b63ea17,7ffa4d16-c309-40fb-9e99-8e4283d4e077,1003L,356.22306,177192.351,318574.486,46.949,177143.821,318926.305,46.941,520,c,520,520_c,Maastricht,Mt-Glk,Maastricht - Lanaken (B) ,36.73838,"36,738380",36.966,"36,966000",ProRail,Zuid,Z,Baan,Limburg,340,Maastricht,26,Strukton Rail,Zuid-Oost,520_1003L_36.7,Links
12,0bd98413-9343-53fd-588d-0afc3638ea1a,7ab7db97-004b-4270-a4c5-e5d923f85409,1363L,249.814236,102404.266,426221.761,0.35,102184.9183285,426341.01516762,-0.26143786,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,Bd-Rtd,Breda - Rotterdam Centraal ,32.901404,"32,901404",33.148041,"33,148041",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,116_1363L_32.8,Links
14,594c11f3-9f75-4630-9bf8-cd096cfbdd60,2b3ab7c9-0209-4623-bd99-5c39bcf259b4,929R,404.759788,99614.277,410374.306,3.131,99511.36,410765.668,3.239,801,d,801,801_d,Moerdijk Industrieterrein,Mdk-Mdnw,Moerdijk (Racc.) - Industrie en Havenschap Moerdijk Middenweg ,301.249349,"301,249349",301.658255,"301,658255",Strukton Rail Short Line,Zuid,Z,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,801_929R_301.2,Links
15,410ac21f-cc4f-4a1c-8be9-eb667c7e1307,492e78ac-8f75-406a-88f6-5d1ba9001709,209L,253.259249,136851.86900049,399060.68583039,12.29058167,136970.674,399284.349,12.343,124,a,124,124_a,Tilburg - Vught Aansl.,Tb-Vga,Tilburg - Vught Aansluiting ,4.033277,"4,033277",4.286277,"4,286277",Derden - Overig - NS Onderhoud & Service (onder voorbehoud),Zuid,Z,Baan,Betuwe,320,Den Bosch,21,Strukton Rail,Zuid-West,124_209L_3.8,Links
17,70190e60-bb9c-def1-a67c-9fe3f3c53a41,317b5084-66be-4719-92a4-2f07d1662b35,1061L,180.527001,93282.041,464925.687,5.395,93396.771,465064.848,5.075,534,b,534,534_b,Leiden Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,45.242986,"45,242986",45.063238,"45,063238",ProRail,Randstad Zuid,RZ,Baan,Rijn en Gouwe,100,Leiden,1,BAM Rail,Zuid-Holland Noord,534_1061L_45.3,Links
18,edbb7497-d7da-488e-b0df-64930caf739c,334a98dd-543a-41a6-bc01-1f4d70e3f58e,66R,201.519199,72348.047,438851.909,5.554,72548.672,438845.59,5.627,477,b,477,477_b,Rotterdam Europoort 3,Erp-Kon,"Rotterdam, Emplacement Europoort - Kolenoverslag ",201.707823,"201,707823",201.91806,"201,918060",Strukton Rail Short Line,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,477_66R_201.7,Links
20,8c67eec1-56a5-1cd7-572f-0219885b30a6,4182ce7b-f427-48d7-9297-1a46a6516aa3,811R,262.696603,189280.645,444413.505,28.642,189021.946,444453.526,29.411,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,90.860419,"90,860419",90.608249,"90,608249",ProRail,Noord-Oost,NO,Baan,Gelre,400,Achterhoek,30,ASSET Rail,Oost,508_811R_90.9,Links
21,3a2bcdce-a8f0-1cff-8930-bc68f7d70da7,2d211223-65da-4059-9ecd-a310e566113f,2339L,290.728607,237190.69,579108.68,2.72,237450.272,578977.759,2.72,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,Hlg-Nscg,Harlingen - Nieuweschans Grens ,84.587599,"84,587599",84.877799,"84,877799",ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,Noord,003_2339L_84.6,Links
