FID,naam_anker,entiteit_v,systeem,gdb_geomattr_data,shape
ankergebieden.1,1,ankergebied,DW,,"POLYGON ((484493.92009999976 5768612.608999999, 480198.25299999956 5768400.7763, 480458.4411000004 5772209.8331, 483197.78729999997 5775985.610300001, 490936.9780000001 5776018.5909, 484494.0209999997 5768612.7249, 484493.92009999976 5768612.608999999))"
ankergebieden.2,2,ankergebied,Vaargeul,,"POLYGON ((490377.26659999974 5751973.5757, 490411.3691999996 5751994.9057, 494604.7751000002 5754617.7261, 500076.8393000001 5755388.929099999, 491569.28610000014 5750067.7598, 490377.26659999974 5751973.5757))"
ankergebieden.3,3 East,ankergebied,VSS,,"POLYGON ((538331.8507000003 5762239.907199999, 530908.8711000001 5761194.567, 531228.8301999997 5764638.9713, 538140.1201999998 5765172.346100001, 538331.8507000003 5762239.907199999))"
ankergebieden.4,3 North,ankergebied,VSS,,"POLYGON ((509473.07930000033 5759939.8124, 509559.2368999999 5763001.3544, 514363.94099999964 5763396.325099999, 515895.32299999986 5760843.868799999, 509473.07930000033 5759939.8124))"
ankergebieden.5,3 South,ankergebied,VSS,,"POLYGON ((508648.3295 5751879.931600001, 509012.97809999995 5755279.032299999, 515514.0133999996 5756194.773800001, 514042.28249999974 5752974.715, 508648.3295 5751879.931600001))"
ankergebieden.6,4 East,ankergebied,Overig,,"POLYGON ((548081.6304000001 5756096.9977, 555827.6946999999 5756881.969799999, 556264.3658999996 5752678.548599999, 548511.8296999997 5751892.949999999, 548081.6304000001 5756096.9977))"
ankergebieden.7,4 West,ankergebied,Overig,,"POLYGON ((544788.9665999999 5750320.1711, 528750.8732000003 5745271.0392, 527853.2953000003 5750182.1184, 540859.9967999998 5754276.2916, 543245.6478000004 5755033.2344, 544788.9665999999 5750320.1711))"
ankergebieden.8,5,ankergebied,Overig,,"POLYGON ((550966.4913999997 5774511.7456, 543652.5662000002 5774376.6861000005, 537215.2909000004 5778002.6225000005, 537215.2909000004 5781425.5132, 551041.5603999998 5781510.471100001, 550966.4913999997 5774511.7456))"
ankergebieden.9,6,ankergebied,Vaargeul,,"POLYGON ((555576.1752000004 5811084.071, 549626.7736 5810187.487400001, 549295.7263000002 5812385.2314, 549293.4040999999 5812400.6493, 556006.5118000004 5813408.276699999, 556004.4590999996 5813397.190300001, 555576.1752000004 5811084.071))"
ankergebieden.10,7,ankergebied,Overig,,"POLYGON ((561684.3174999999 5808745.815300001, 565138.6348000001 5810688.0472, 578076.9638 5814096.5613, 578737.0698999995 5812624.782199999, 570352.7874999996 5810270.8747000005, 569340.9633999998 5808522.089299999, 561524.1338 5807877.4361000005, 561684.3174999999 5808745.815300001))"
ankergebieden.11,8,ankergebied,Overig,,"POLYGON ((582829.9534 5819855.088400001, 581802.1705999998 5821840.457900001, 590860.1412000004 5820558.8014, 592078.5724 5818258.603, 582829.9534 5819855.088400001))"
ankergebieden.14,havenmonding Scheveningen,ankergebied,Overig,,"POLYGON ((585011.8958999999 5776414.185799999, 585918.0570999999 5776800.6921, 586390.4638 5775881.710000001, 585466.5985000003 5775425.618899999, 585011.8958999999 5776414.185799999))"
ankergebieden.15,Westhinder,ankergebied,VSS,,"POLYGON ((469066.47420000006 5694309.0627999995, 470942.6911000004 5698005.1842, 477175.86099999957 5697973.4429, 477162.9910000004 5695100.481799999, 473217.20999999996 5694285.577, 469066.47420000006 5694309.0627999995))"
ankergebieden.16,Oostdyck,ankergebied,VSS,,"POLYGON ((466913.7121000001 5687742.3728, 473298.76099999994 5687705.0262, 470391.6327999998 5686886.9419, 469574.9979999997 5686242.992000001, 466904.11290000007 5686259.581900001, 466913.7121000001 5687742.3728))"
ankergebieden.17,Wielingen Noord,ankergebied,Overig,,"POLYGON ((531505.4428000003 5696449.1293, 532127.9077000003 5697537.3662, 532692.8240999999 5698615.4279, 533750.2467 5698570.7336, 534803.1435000002 5698485.139599999, 535080.9289999995 5697177.164000001, 531505.4428000003 5696449.1293))"
ankergebieden.18,Wielingen Zuid,ankergebied,Overig,,"POLYGON ((532767.8501000004 5695745.9901, 535272.9084000001 5696200.405200001, 539010.1161000002 5696602.6866, 538324.1501000002 5695118.0502, 538316.4280000003 5695140.6691, 538257.1920999996 5695219.775, 536093.074 5695507.4002, 535026.8212000001 5695323.346100001, 534403.4051000001 5694855.2699, 533812.3838999998 5694564.287799999, 532980.2200999996 5694300.231899999, 532777.8698000005 5694185.58, 532767.8501000004 5695745.9901))"
ankergebieden.19,Rede Vlissingen,ankergebied,Overig,,"POLYGON ((542226.7855000002 5695797.5877, 540788.0497000003 5695750.654200001, 539292.1272 5695776.594799999, 539588.1369000003 5696667.387, 542054.7001999998 5696909.8978, 542054.7450000001 5696909.580800001, 542226.7855000002 5695797.5877))"
ankergebieden.20,Rede Vlissingen Ooost,ankergebied,Overig,,"POLYGON ((542226.7855000002 5695797.5877, 542054.7450000001 5696909.580800001, 542054.7001999998 5696909.8978, 542548.8109999998 5696958.4783, 543226.7874999996 5696410.5645, 544096.6393999998 5695808.785700001, 542226.7855000002 5695797.5877))"
ankergebieden.21,Springergeul,ankergebied,Overig,,"POLYGON ((550200.2456999999 5691503.557600001, 550410.9577000001 5691724.6752, 551231.4963999996 5690999.7195, 552056.4833000004 5690221.7992, 551791.0678000003 5689959.587400001, 551009.4956 5690728.0973000005, 550200.2456999999 5691503.557600001))"
ankergebieden.22,Marlemon,ankergebied,Overig,,"POLYGON ((580544.8151000002 5692339.275699999, 581109.7596000005 5693135.822000001, 581423.3123000003 5692848.2082, 580981.4757000003 5692593.681600001, 580544.8151000002 5692339.275699999))"
