Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
2CoolMonkeys B.V.;;;2;;;;;;2
2Xplain V.O.F.;;;;;;;;3;3
3Bplus B.V.;;;;;;;1;;1
5hart-IT Opleidingen B.V.;2;;;;;;;;2
7AM B.V.;;;;;;;;1;1
7Zebra's;;;1;;;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;;1;1
ABF Research B.V.;;;4;;;;1;;4
Accenture B.V.;;;;;2;;;;2
Actis B.V.;;;;;;;;1;1
ADO Hospitality & Events B.V.;;;;;;;;1;1
Advies Talent B.V.;;;;;;;1;;1
Adviesgroep Beleidscommunicatie B.V.;;;;;;;2;;2
Advisie Business Consultants;;;;;2;;;;2
AEREA B.V.;;;;;;;1;;1
Agumar Systems B.V.;;;1;;;;;;1
AIRINC Nederland;;;1;;;;;;1
ALBION;;;;;;;1;;1
Albyco Nederland B.V.;;;;;;1;;;1
AlterNET Internet B.V.;;;;;4;;;;4
AMPLEXOR Netherlands;;;;;;;;2;2
And International Publishers N.V.;;;;;5;;;;5
anoniem;;3;1;1;;;5;2;5
ANP Photo;;;;;;;1;;1
Antwoordservice Nederland B.V.;;;;;;;;1;1
Apple Retail Netherlands B.V.;;1;;;;;;;1
ARCADIS Nederland;;;4;;;;2;;4
Archidat B.V.;;;;;1;;;;1
ArchiXL B.V.;;;;;;;;1;1
Argo 360;;;1;;;;;;1
Asp4all Hosting B.V.;;;3;;5;;;3;5
Atos Nederland B.V.;;;2;;6;7;2;7;8
ATPS B.V.;;1;;;;;;;1
Avex B.V.;;1;;;;;;;1
Aviste B.V.;;2;1;;;;;;2
Azerty;;;;;;;;1;1
B.V. Technisch Bureau Jacot;;1;;;;;;;1
B3partners B.V.;;;2;;;;;;2
Backup Transport & Depot Services B.V.;;3;;;;;;1;3
Banketbakkerij Boheemen;;;;;;;;1;1
Beautiful Minds;;;;;;;1;;1
Bechtle direct B.V.;;;;;1;;;;1
Bellshape B.V.;;;;;2;;;;2
Bentley Systems Netherlands B.V.;;;1;2;;;;1;2
Bento Presentaties;;;;;;;1;;1
Bestax;;;;;;;;1;1
Betawerk B.V.;;;1;;;;;;1
Bex*communicatie;;;1;;;;2;;2
Binnenlands Bestuur B.V.;;;;;;;2;;2
BIS Bedrijfs Informatie Systemen B.V.;;7;5;;;;;;7
Bizzdesign;;;;;1;;;;1
Blinker B.V.;;;;1;1;;;1;2
Bloxx;;;;1;;;;;1
Blue Collar Hotel B.V.;;;;;;;;1;1
BMC Implementatie;;;;;;;;2;2
bol.com B.V.;;;1;;;;;;1
Boom B.V.;;;;;;;;2;2
BOOM Communicatie;;;;;;;1;;1
Boom Distributie Centrum;;;1;;;;2;;2
Brantjes Data Vernietiging B.V.;;;;;1;;;;1
Bravosolution Benelux;;;1;;2;;;;2
Briss;;;1;;;;;;1
BT Nederland N.V.;;2;5;;4;5;5;;7
BTC Teleconsult;;6;1;;;;7;;7
BudgetVertalingOnline;;;;;;;1;;1
Buitengoed Hagenhorst Exploitatie B.V.;;;;;;;;1;1
Bureautaal B.V.;;;;;;;;1;1
Buro B.;;;;;;;2;;2
Buro Financieel Advies Ede;;;;;;;1;;1
BusinessForensics B.V.;;;2;;;;;;2
BWS Consulting B.V.;;;;;;;;4;4
CAD & Company Products B.V.;;;;;;;;2;2
Canon Nederland;;2;1;;;;;;2
Canon Nederland N.V.;1;;;;;;;;1
Capgemini N.V.;;;;;5;;;;5
Capgemini Nederland B.V.;7;;7;4;7;2;;7;9
CBizz B.V.;1;;1;;;;;;1
Cendris Dataconsulting B.V.;;;1;;;;;;1
Centraal Boekhuis B.V.;;;;;;;1;;1
Central Point Software;;;;;;;;1;1
Centric;;;3;;7;5;;;7
Centric IT Solutions B.V.;;2;1;;;;;;2
Centric Test & Security Professionals B.V.;;;;;1;;;2;2
CERRIX B.V.;;;;;;;;1;1
CGI Nederland;;;;;;;;1;1
CGI Nederland B.V.;;;2;;7;;;8;9
Cimsolutions;;;2;;;;;;2
Cirquest B.V.;;;1;;;;;;1
Claranet;;;;;1;;;;1
Cloud Seven B.V.;;;;;;;1;;1
Clownfish Creatieve Communicatie B.V.;;;;;;;1;;1
CM Telecom B.V.;;;;;;;1;7;7
Co & Co Solutions B.V.;;;;;3;;;;3
Colorworks B.V.;;;;;;;;1;1
Colour-Digital B.V.;;;;;;;;1;1
Colourful Insights;;;1;;;;;;1
Communicatietante;;;;;;;1;;1
COMPAREX Nederland B.V.;2;5;5;7;9;2;;5;9
Compumatica Secure Networks B.V.;;2;1;;;;;;2
Computel Stand-By B.V.;;;1;;;;;;1
Computest Group B.V.;;;;;;;;1;1
Computest Services B.V.;;;;;;1;;3;3
Concept7 B.V.;;;;;;;;2;2
Concorde Group B.V.;;;;;;;2;;2
Coney Analytix;;;;;1;;;;1
Connected Information Systems B.V.;;;;;;;;2;2
ConnectTools B.V.;;;1;;;;;;1
Contracto B.V.;;;;2;;;;;2
Controle Support B.V.;;;;;;;;1;1
Coolblue B.V.;;;;;;;;1;1
Coöperatieve Circle Economy UA;;;;;;;1;;1
Coosto B.V.;;;2;;;;;;2
Copas B.V.;;;;;;;;2;2
Covalent Infra Technology Solutions B.V.;;;;3;;;;;3
Creativa Design;;;;;;;1;;1
CrMatch B.V.;;;1;;;;;;1
Croon Elektrotechniek B.V.;;;;;;;1;;1
CSU Food Services;;;;;;;;2;2
Cu4it B.V.;;;;;1;;;;1
Dalosy Projecten B.V.;;1;1;;;;;;1
Dankers & Frank;;;;;;1;;;1
De Grote Slok;;;;;;;;1;1
de Persgroep Nederland B.V.;;;;;;;1;;1
DE POUS;;;;;;;;1;1
DE REE archiefsystemen;;;4;;;;;;4
De Superhelden;;;;;;;1;;1
De Telefoongids Holding B.V.;;;;;;;1;;1
Dell B.V.;;;;;;;;1;1
Deloitte Accountants B.V.;;;;;;;;4;4
Deloitte Consulting B.V.;;;;;;;;4;4
Delta 3;;;;;;;;1;1
DEMO Consultants B.V.;;;;;1;;;;1
Detron Telecom Enterprise;;5;2;7;4;4;4;4;7
Digidentity B.V.;;;;1;2;;;1;2
Dijkgraaf-Rijsdorp B.V.;;1;;;;;;;1
Discountoffice.nl B.V.;;1;1;;;;;;1
Docspro B.V.;;;3;;;;;;3
Donki Gotte;;;;;;;1;;1
Dotweb Systems B.V.;;;;2;1;;;;2
Driebit Hosting B.V.;;;3;;;;1;;3
EasyStaff Flex Services B.V.;;;;;;;;2;2
eBrella Front-end B.V.;;;;;;;;2;2
EBSCO Information Services B.V.;;;;;;;1;;1
Edery International B.V.;;;;;;1;1;;1
Eduvision B.V.;;;;;;;;1;1
Ehrm Vision;;;;;2;;;;2
Eleqtron;;;1;;;;;;1
Elevated Graphics B.V.;;;;;;;1;;1
EMC Computer Systems (Benelux) B.V.;;;;;5;;;;5
EMMA Communicatie B.V.;;;4;;;;2;;4
EnablE-U B.V.;;;;;1;;;;1
Eneco Zakelijk;;;3;;;;;;3
Entopic B.V.;;;;1;;;;;1
ENVIEM Oil Nederland B.V.;;;2;;;;;;2
Envolve B.V.;;;;;;;;1;1
EPI-USE B.V.;;;;2;1;;;1;2
Ernst & Young Certifypoint B.V.;;;;;;;;4;4
Eurofiber Nederland;;;;;1;;2;;2
Evema Telecom B.V.;;1;;;;;;;1
E-Vent entertainment;;;;;;;1;;1
Evite Services B.V.;;;2;;;;;;2
Exact Software Nederland B.V.;;;;;3;;;;3
ExperiCom B.V.;;;;;;;2;;2
Explore-IT B.V.;;;;;1;;;;1
