OBJECTID,KDUVORM,KDUHGA1,KDUBOKBO,KDUBOKBE,KDULENGT,KDUBREED,XXXMATER,KDUSOORT,KWKAFSL1,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,IWS_MEMO,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KDUIDENT,IWS_WATERBEHEERFUNCTIE,KERIDENT,IWS_AFST_B,KDUMOEBE,KDUMOEBO,KWKKEREN,OBJECTID_1,KDUIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,GlobalID,Shape__Length
1,1,,0.32,0.32,7.55,0.5,3,,,,,,,,,,,,SZ.00-D1185,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,8107dd7b-8dab-43ce-bad7-8dfed54bc5f0,7.54964899698746
2,1,,-0.45,0.45,13.75,0.32,37,,,,,,zie memoveld,,,,,,SZ.255.38-D1188,,,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,57d80b58-07a4-4bf2-9e47-840fb0563412,13.7469685749489
3,1,,-0.8,-0.84,8.6,1.4,31,,,,,,,,,,,,SZ.270-D9A,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,12964cb2-bc0d-453f-b18e-f906b70216d0,8.59589931098982
4,1,,0.87,0.82,7.1,0.8,3,,,,,,,,,,,,SZ.360-D1141,,,2,,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,,a9b01e27-014f-43c2-a819-5e15a250c26e,7.09689045608473
5,1,,2.32,2.31,5.5,0.5,3,,,,,,,,,,,,SZ.270.90-D3A,,,2,,,2,,,Aangeland,Gewoon en buitengewoon en constructie,,,65a00cec-8bcc-468c-950c-7ab77fe00016,5.49868939124451
6,1,,-0.05,-0.09,8,0.4,20,,,,,,,,,,,,SZ.270.5-D1,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,bd8541c5-640a-4a26-89e2-cc909efecf43,7.99685886221255
7,1,,0.44,0.44,6,0.5,20,,,,,,,,,,,,SZ.270.38-D1A,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,5f0b156b-c67b-4639-a328-4abb5cdd4f6c,5.99666590449301
8,1,,2.1,2.1,5,0.5,3,,,,,,,,,,,,SZ.270.94-D8A,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,fb4bb00c-37c7-4744-ab6e-b892d8e6a9c3,4.99666949095055
9,1,,0.5,0.5,,0.4,20,,,,,,,,,,,,SZ.330-D1A,,,2,,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,,ae0b5239-6bf8-4bc3-9e94-aeb8c278a0ff,5.98547926258854
10,1,,1.88,1.91,9.6,0.45,3,,,,,Hearsolteweg,,,,,,,SZ.270.101-D17,,,2,,,2,,,Gemeente,Gewoon en buitengewoon en constructie,,,ffba94ba-a98b-4768-9d5b-b1c0d48dd04d,9.59676471624941
