Gemeente,CBS Gemeentecode,Bouwjaar,BAG Pand nummer,Status Pand,Gekoppeld adres,GEOMETRIE
Stichtse Vecht,G1904,1250,0311100000002557,Pand in gebruik,Straatweg 25 Kasteel,"POLYGON ((129128.41 464039.636,129132.41 464025.698,129142.688 464028.639,129147.754 464030.089,129147.193 464031.904,129148.889 464032.438,129147.562 464036.588,129148.06 464036.75,129148.792 464038.113,129148.334 464039.585,129147.064 464040.2,129148.191 464042.377,129151.175 464040.758,129151.339 464041.217,129152.311 464040.721,129153.159 464042.366,129152.201 464042.87,129152.424 464043.297,129149.527 464044.87,129150.738 464047.142,129151.792 464046.563,129152.901 464047.02,129153.512 464048.063,129153.164 464049.276,129152.231 464049.879,129155.372 464055.922,129167.072 464058.024,129167.262 464056.949,129168.371 464056.215,129169.402 464056.477,129170.316 464051.681,129177.985 464053.148,129174.921 464069.593,129165.797 464067.866,129165.619 464068.807,129162.249 464068.169,129162.427 464067.228,129153.254 464065.492,129148.992 464060.696,129148.042 464058.877,129144.701 464052.481,129139.418 464042.413,129128.41 464039.636))"
Stichtse Vecht,G1904,1600,0329100000005089,Pand in gebruik,Lindengracht 15 Vreeland,"POLYGON ((130874.904 471340.336,130875.181 471338.54,130877.719 471338.883,130877.422 471340.727,130874.904 471340.336))"
Stichtse Vecht,G1904,1600,0329100000005077,Pand in gebruik,Lindengracht 7 Vreeland,"POLYGON ((130880.144 471324.222,130877.65 471323.917,130877.916 471321.77,130880.434 471322.05,130880.144 471324.222))"
Stichtse Vecht,G1904,1600,0311100000007049,Pand in gebruik,Zandpad 2,"POLYGON ((129106.132 466415.592,129105.983 466414.042,129108.553 466413.795,129108.442 466412.635,129119.543 466411.57,129119.812 466414.37,129106.132 466415.592))"
Stichtse Vecht,G1904,1600,0329100000005086,Pand in gebruik,Lindengracht 13 Vreeland,"POLYGON ((130875.181 471338.54,130875.555 471336.697,130878.011 471337.069,130877.719 471338.883,130875.181 471338.54))"
Stichtse Vecht,G1904,1600,0329100000005092,Pand in gebruik,Lindengracht 17 Vreeland,"POLYGON ((130881.115 471349.123,130881.369 471347.359,130881.518 471347.38,130883.819 471347.7,130883.545 471349.444,130881.115 471349.123))"
Stichtse Vecht,G1904,1600,0329100000005083,Pand in gebruik,Lindengracht 11 Vreeland,"POLYGON ((130876.338 471331.896,130876.571 471330.123,130879.089 471330.451,130878.828 471332.255,130876.338 471331.896))"
Stichtse Vecht,G1904,1600,0329100000005073,Pand in gebruik,Lindengracht 5 Vreeland,"POLYGON ((130883.789 471322.801,130884.087 471320.82,130887.393 471321.317,130887.095 471323.297,130883.789 471322.801))"
Stichtse Vecht,G1904,1600,0329100000005094,Pand in gebruik,Lindengracht 19 Vreeland,"POLYGON ((130880.862 471350.88,130881.115 471349.123,130883.545 471349.444,130883.27 471351.198,130883.061 471351.17,130880.862 471350.88))"
Stichtse Vecht,G1904,1600,0311100000007048,Pand in gebruik,Zandpad 2,"POLYGON ((129090.577 466408.712,129097.429 466408.36,129097.559 466410.899,129097.92 466414.92,129090.92 466415.399,129090.847 466413.983,129090.709 466411.288,129090.601 466409.172,129090.577 466408.712))"
Stichtse Vecht,G1904,1600,1904100000041265,Pand in gebruik,Rijksstraatweg 203 Loenersloot,"POLYGON ((128407.342 471281.326,128406.644 471277.349,128409.122 471276.914,128409.805 471280.905,128407.342 471281.326))"
Stichtse Vecht,G1904,1600,0329100000005080,Pand in gebruik,Lindengracht 9 Vreeland,"POLYGON ((130876.571 471330.123,130876.904 471328.193,130879.364 471328.547,130879.089 471330.451,130876.571 471330.123))"
Stichtse Vecht,G1904,1645,1904100000043694,Pand in gebruik,"Dannegracht 11, Breukelen","POLYGON ((128815.413 464893.969,128816.085 464891.178,128817.591 464891.558,128818.907 464891.89,128818.191 464894.638,128815.413 464893.969))"
Stichtse Vecht,G1904,1645,0311100000007770,Pand in gebruik,Dannegracht 12,"POLYGON ((128818.191 464894.638,128818.907 464891.89,128820.03 464892.174,128822.843 464892.884,128825.334 464893.513,128824.474 464896.314,128818.191 464894.638))"
Stichtse Vecht,G1904,1650,0333100000018845,Pand in gebruik,,"POLYGON ((134765.647 463377.595,134758.21 463372.423,134765.916 463361.621,134773.292 463366.882,134765.647 463377.595))"
Stichtse Vecht,G1904,1650,0329100000000349,Pand in gebruik,Dorpsstraat 28 Loenen aan de Vecht,"POLYGON ((130040.957 468954.802,130034.214 468960.942,130031.498 468957.959,130038.241 468951.819,130040.957 468954.802))"
Stichtse Vecht,G1904,1650,0329100000004019,Pand in gebruik,Voorstraat 23 Vreeland,"POLYGON ((130852.52 471448.639,130852.713 471454.144,130847.714 471454.319,130847.519 471448.73,130848.725 471448.708,130852.52 471448.639))"
Stichtse Vecht,G1904,1650,0329100000000383,Pand in gebruik,Dorpsstraat 65 Loenen aan de Vecht,"POLYGON ((130194.854 469118.109,130197.499 469113.923,130201.059 469116.174,130198.885 469119.417,130198.301 469120.287,130195.276 469118.376,130194.854 469118.109))"
Stichtse Vecht,G1904,1652,0333100000017943,Pand in gebruik,,"POLYGON ((133376.959 459891.69,133380.219 459893.271,133380.339 459893.329,133378.839 459896.509,133373.209 459893.779,133374.709 459890.599,133376.959 459891.69))"
Stichtse Vecht,G1904,1670,0311100000007338,Pand in gebruik,Zandpad 50,"POLYGON ((129141.08 464666.351,129144.915 464659.18,129149.363 464661.593,129145.488 464668.741,129141.08 464666.351))"
