FID,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
lichtmasten_kenmerk.1,R,63.09500122,032,PKK0000090648,I,,POINT (184264.25140000135 567266.8968000002)
lichtmasten_kenmerk.2,R,57.9109993,035,PKK0000090651,I,,POINT (248146.79309999943 476229.4970000014)
lichtmasten_kenmerk.3,R,12.14999962,036,PKK0000090654,I,,POINT (240353.03550000116 491471.87530000135)
lichtmasten_kenmerk.4,R,28.96100044,037,PKK0000090655,I,,POINT (255628.79769999906 527318.3115999997)
lichtmasten_kenmerk.5,R,178.9750061,002,PKK0000091930,I,,POINT (167731.42480000108 371946.22630000114)
lichtmasten_kenmerk.6,R,188.47599792,002,PKK0000091931,I,,POINT (174272.12029999867 365370.2932999991)
lichtmasten_kenmerk.7,R,188.56500244,002,PKK0000091932,I,,POINT (174337.39139999822 365368.9373999983)
lichtmasten_kenmerk.8,R,170.41799927,058,PKK0000092114,I,,POINT (31454.153299998492 387223.73409999907)
lichtmasten_kenmerk.9,R,32.74100113,015,PKK0000088756,I,,POINT (71708.82999999821 437601.1030000001)
lichtmasten_kenmerk.10,R,123.97799683,015,PKK0000088781,I,,POINT (152307.5623999983 431650.126699999)
lichtmasten_kenmerk.11,R,99.91600037,027,PKK0000088811,I,,POINT (145703.01000000164 473569.4481000006)
lichtmasten_kenmerk.12,R,296.83200073,006,PKK0000091760,I,,POINT (177394.4023000002 540101.4521000013)
lichtmasten_kenmerk.13,R,138.3480072,058,PKK0000091789,I,,POINT (60398.125 386651.61400000006)
lichtmasten_kenmerk.14,R,118.75,015,PKK0000093225,I,,POINT (147624.3772 429903.91959999874)
lichtmasten_kenmerk.15,R,140.91200256,015,PKK0000093226,I,,POINT (167642.37170000002 436881.2675999999)
lichtmasten_kenmerk.16,R,151.49099731,015,PKK0000093227,I,,POINT (178213.3949000016 436336.99329999834)
lichtmasten_kenmerk.17,R,36.08100128,037,PKK0000091884,I,,POINT (262431.4408 528620.8293000013)
lichtmasten_kenmerk.18,R,112.81800079,001,PKK0000092675,I,,POINT (217887.71979999915 473041.48849999905)
lichtmasten_kenmerk.19,R,113.77400208,001,PKK0000092677,I,,POINT (218256.42379999906 473280.02629999816)
lichtmasten_kenmerk.20,R,58.02600098,035,PKK0000091256,I,,POINT (247993.16849999875 476136.31120000035)
lichtmasten_kenmerk.21,R,184.90800476,002,PKK0000083757,I,,POINT (171683.75450000167 367773.95980000123)
lichtmasten_kenmerk.22,R,188.65800476,002,PKK0000083758,I,,POINT (174342.1099999994 365200.5230999999)
lichtmasten_kenmerk.23,R,188.63200378,002,PKK0000083759,I,,POINT (174399.6072999984 365202.0245999992)
lichtmasten_kenmerk.24,R,123.55500031,015,PKK0000084597,I,,POINT (151850.86230000108 431518.76370000094)
lichtmasten_kenmerk.25,R,134.27799988,015,PKK0000084602,I,,POINT (161932.28620000184 435991.3092)
lichtmasten_kenmerk.26,R,145.60400391,015,PKK0000084604,I,,POINT (172788.62959999964 436802.1409999989)
lichtmasten_kenmerk.27,R,191.00799561,015,PKK0000084618,I,,POINT (207834.6677000001 437500.0610000007)
lichtmasten_kenmerk.28,R,102.95500183,006,PKK0000084023,I,,POINT (174410.46660000086 517684.8706)
lichtmasten_kenmerk.29,R,235.02999878,015,PKK0000084627,I,,POINT (240498.53200000152 453501.6466999985)
lichtmasten_kenmerk.30,R,238.01600647,015,PKK0000084628,I,,POINT (240437.0938999988 456176.00030000135)
lichtmasten_kenmerk.31,R,245.24200439,015,PKK0000084629,I,,POINT (242750.29289999977 461474.8240999989)
