FID,omschrijving,structuurtype,geometrie
O10002_GBI_Groenstructuur.1,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((175626.278 504843.586, 175625.445 504843.549, 175624.618 504843.44, 175623.804 504843.258, 175623.009 504843.006, 175622.239 504842.684, 175621.5 504842.297, 175620.798 504841.846, 175620.138 504841.335, 175619.526 504840.769, 175618.966 504840.151, 175618.462 504839.486, 175618.019 504838.779, 175617.639 504838.037, 175617.325 504837.264, 175617.081 504836.466, 175616.908 504835.65, 175616.804 504834.788, 175616.78 504833.921, 175616.834 504833.055, 175616.968 504832.197, 175617.179 504831.356, 175617.466 504830.537, 175617.827 504829.748, 175618.258 504828.994, 175618.756 504828.284, 175619.317 504827.622, 175619.936 504827.013, 175620.608 504826.464, 175621.327 504825.979, 175622.087 504825.561, 175622.883 504825.214, 175623.706 504824.941, 175624.552 504824.744, 175625.411 504824.626, 175626.278 504824.586, 175627.147 504824.626, 175628.008 504824.745, 175628.855 504824.942, 175629.68 504825.216, 175630.477 504825.564, 175631.238 504825.984, 175631.958 504826.471, 175632.631 504827.022, 175633.25 504827.633, 175633.811 504828.297, 175634.308 504829.01, 175634.739 504829.766, 175635.098 504830.557, 175635.384 504831.378, 175635.593 504832.222, 175635.725 504833.082, 175635.777 504833.95, 175635.752 504834.785, 175635.654 504835.616, 175635.483 504836.435, 175635.241 504837.235, 175634.929 504838.011, 175634.55 504838.757, 175634.108 504839.466, 175633.604 504840.134, 175633.044 504840.755, 175632.431 504841.324, 175631.771 504841.837, 175631.068 504842.29, 175630.327 504842.68, 175629.556 504843.003, 175628.759 504843.256, 175627.943 504843.439, 175627.114 504843.549, 175626.278 504843.586)))"
O10002_GBI_Groenstructuur.2,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((175533.928 504834.117, 175533.095 504834.081, 175532.268 504833.971, 175531.454 504833.789, 175530.659 504833.537, 175529.889 504833.216, 175529.15 504832.828, 175528.448 504832.377, 175527.789 504831.867, 175527.176 504831.3, 175526.616 504830.682, 175526.112 504830.017, 175525.669 504829.311, 175525.289 504828.568, 175524.975 504827.795, 175524.731 504826.997, 175524.558 504826.181, 175524.454 504825.32, 175524.43 504824.452, 175524.484 504823.586, 175524.618 504822.729, 175524.829 504821.887, 175525.116 504821.068, 175525.477 504820.279, 175525.908 504819.526, 175526.406 504818.815, 175526.967 504818.153, 175527.586 504817.545, 175528.258 504816.996, 175528.977 504816.51, 175529.737 504816.092, 175530.533 504815.745, 175531.357 504815.472, 175532.202 504815.276, 175533.061 504815.157, 175533.928 504815.117, 175534.797 504815.157, 175535.658 504815.276, 175536.505 504815.474, 175537.33 504815.747, 175538.127 504816.096, 175538.888 504816.515, 175539.608 504817.003, 175540.281 504817.554, 175540.9 504818.164, 175541.461 504818.829, 175541.958 504819.541, 175542.389 504820.297, 175542.748 504821.088, 175543.034 504821.91, 175543.244 504822.753, 175543.375 504823.613, 175543.427 504824.481, 175543.402 504825.317, 175543.304 504826.147, 175543.133 504826.966, 175542.891 504827.767, 175542.579 504828.543, 175542.201 504829.288, 175541.758 504829.998, 175541.254 504830.665, 175540.694 504831.286, 175540.081 504831.856, 175539.421 504832.369, 175538.718 504832.822, 175537.977 504833.211, 175537.206 504833.534, 175536.409 504833.788, 175535.593 504833.97, 175534.764 504834.08, 175533.928 504834.117)))"
O10002_GBI_Groenstructuur.3,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((175372.999 504799.53, 175373.868 504799.57, 175374.729 504799.689, 175375.576 504799.886, 175376.401 504800.16, 175377.198 504800.508, 175377.959 504800.928, 175378.679 504801.415, 175379.352 504801.966, 175379.971 504802.577, 175380.532 504803.241, 175381.029 504803.954, 175381.46 504804.709, 175381.819 504805.501, 175382.105 504806.322, 175382.315 504807.166, 175382.446 504808.025, 175382.498 504808.893, 175382.473 504809.729, 175382.375 504810.56, 175382.204 504811.378, 175381.962 504812.179, 175381.65 504812.955, 175381.272 504813.701, 175380.829 504814.41, 175380.325 504815.078, 175379.765 504815.699, 175379.152 504816.268, 175378.492 504816.781, 175377.789 504817.234, 175377.049 504817.624, 175376.277 504817.946, 175375.48 504818.2, 175374.664 504818.383, 175373.835 504818.493, 175372.999 504818.53, 175372.166 504818.493, 175371.339 504818.384, 175370.525 504818.202, 175369.73 504817.949, 175368.96 504817.628, 175368.221 504817.241, 175367.519 504816.79, 175366.86 504816.279, 175366.247 504815.713, 175365.687 504815.094, 175365.183 504814.43, 175364.74 504813.723, 175364.36 504812.98, 175364.047 504812.207, 175363.802 504811.41, 175363.629 504810.594, 175363.525 504809.732, 175363.501 504808.865, 175363.556 504807.999, 175363.689 504807.141, 175363.9 504806.3, 175364.187 504805.481, 175364.548 504804.691, 175364.979 504803.938, 175365.477 504803.228, 175366.038 504802.565, 175366.657 504801.957, 175367.329 504801.408, 175368.048 504800.922, 175368.808 504800.504, 175369.604 504800.157, 175370.428 504799.885, 175371.273 504799.688, 175372.132 504799.57, 175372.999 504799.53)))"
O10002_GBI_Groenstructuur.4,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((175332.626 504803.926, 175332.601 504804.762, 175332.503 504805.592, 175332.332 504806.411, 175332.09 504807.212, 175331.778 504807.988, 175331.399 504808.733, 175330.956 504809.443, 175330.453 504810.11, 175329.892 504810.731, 175329.28 504811.301, 175328.619 504811.814, 175327.916 504812.267, 175327.176 504812.656, 175326.404 504812.979, 175325.608 504813.233, 175324.791 504813.415, 175323.962 504813.525, 175323.127 504813.562, 175322.293 504813.526, 175321.466 504813.416, 175320.652 504813.234, 175319.857 504812.982, 175319.087 504812.661, 175318.349 504812.273, 175317.647 504811.822, 175316.987 504811.312, 175316.375 504810.745, 175315.815 504810.127, 175315.311 504809.462, 175314.867 504808.756, 175314.487 504808.013, 175314.174 504807.24, 175313.93 504806.442, 175313.756 504805.626, 175313.653 504804.765, 175313.628 504803.897, 175313.683 504803.031, 175313.816 504802.174, 175314.028 504801.332, 175314.315 504800.513, 175314.675 504799.724, 175315.107 504798.971, 175315.605 504798.26, 175316.165 504797.598, 175316.784 504796.99, 175317.456 504796.441, 175318.175 504795.955, 175318.936 504795.537, 175319.731 504795.19, 175320.555 504794.917, 175321.4 504794.721, 175322.26 504794.602, 175323.127 504794.562, 175323.995 504794.602, 175324.857 504794.721, 175325.703 504794.919, 175326.529 504795.192, 175327.325 504795.541, 175328.087 504795.96, 175328.807 504796.448, 175329.479 504796.999, 175330.098 504797.609, 175330.659 504798.274, 175331.157 504798.986, 175331.587 504799.742, 175331.947 504800.533, 175332.233 504801.355, 175332.442 504802.198, 175332.573 504803.058, 175332.626 504803.926)))"
O10002_GBI_Groenstructuur.5,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((178078.452 504196.097, 178079.29 504196.134, 178080.121 504196.245, 178080.94 504196.428, 178081.739 504196.684, 178082.512 504197.008, 178083.254 504197.4, 178083.959 504197.856, 178084.62 504198.372, 178085.233 504198.944, 178085.794 504199.568, 178086.297 504200.239, 178086.739 504200.952, 178087.116 504201.701, 178087.426 504202.481, 178087.666 504203.285, 178087.834 504204.107, 178087.929 504204.94, 178087.95 504205.779, 178087.897 504206.616, 178087.77 504207.445, 178087.571 504208.26, 178087.309 504209.031, 178086.982 504209.778, 178086.593 504210.493, 178086.143 504211.172, 178085.637 504211.811, 178085.078 504212.404, 178084.471 504212.946, 178083.819 504213.435, 178083.128 504213.866, 178082.402 504214.236, 178081.648 504214.543, 178080.869 504214.784, 178080.073 504214.957, 178079.266 504215.062, 178078.452 504215.097, 178077.586 504215.057, 178076.728 504214.939, 178075.883 504214.743, 178075.061 504214.471, 178074.266 504214.125, 178073.506 504213.708, 178072.788 504213.223, 178072.116 504212.676, 178071.498 504212.069, 178070.937 504211.408, 178070.439 504210.699, 178070.007 504209.948, 178069.646 504209.16, 178069.357 504208.343, 178069.145 504207.503, 178069.01 504206.647, 178068.954 504205.808, 178068.973 504204.968, 178069.065 504204.133, 178069.231 504203.309, 178069.47 504202.503, 178069.778 504201.721, 178070.155 504200.969, 178070.596 504200.254, 178071.099 504199.581, 178071.66 504198.954, 178072.274 504198.38, 178072.936 504197.862, 178073.641 504197.405, 178074.384 504197.012, 178075.158 504196.686, 178075.959 504196.43, 178076.779 504196.245, 178077.612 504196.134, 178078.452 504196.097)))"
O10002_GBI_Groenstructuur.6,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((178126.464 504200.461, 178127.325 504200.501, 178128.178 504200.617, 178129.018 504200.811, 178129.836 504201.08, 178130.627 504201.422, 178131.384 504201.834, 178132.1 504202.313, 178132.769 504202.855, 178133.387 504203.456, 178133.948 504204.11, 178134.447 504204.812, 178134.881 504205.556, 178135.245 504206.337, 178135.538 504207.147, 178135.755 504207.981, 178135.897 504208.831, 178135.96 504209.69, 178135.946 504210.551, 178135.856 504211.389, 178135.693 504212.216, 178135.456 504213.025, 178135.15 504213.81, 178134.774 504214.565, 178134.334 504215.283, 178133.831 504215.96, 178133.27 504216.589, 178132.656 504217.166, 178131.993 504217.686, 178131.287 504218.146, 178130.543 504218.541, 178129.766 504218.869, 178128.964 504219.127, 178128.141 504219.312, 178127.306 504219.424, 178126.464 504219.461, 178125.615 504219.423, 178124.773 504219.309, 178123.944 504219.121, 178123.135 504218.859, 178122.353 504218.526, 178121.604 504218.124, 178120.894 504217.657, 178120.228 504217.128, 178119.612 504216.542, 178119.051 504215.903, 178118.55 504215.216, 178118.112 504214.488, 178117.741 504213.723, 178117.439 504212.928, 178117.21 504212.11, 178117.055 504211.274, 178116.976 504210.427, 178116.972 504209.573, 178117.046 504208.721, 178117.195 504207.88, 178117.42 504207.055, 178117.717 504206.254, 178118.086 504205.483, 178118.522 504204.748, 178119.023 504204.056, 178119.584 504203.411, 178120.2 504202.819, 178120.868 504202.285, 178121.58 504201.813, 178122.332 504201.407, 178123.118 504201.07, 178123.93 504200.806, 178124.764 504200.615, 178125.61 504200.5, 178126.464 504200.461)))"
O10002_GBI_Groenstructuur.55,Groenstructuur,Wijkstructuur,"MULTIPOLYGON (((177705.672 505100.787, 177704.937 505097.322, 177710.362 505096.062, 177729.756 505089.76, 177732.74 505088.823, 177735.524 505088.078, 177747.329 505085.433, 177748.362 505085.265, 177748.543 505086.223, 177749.593 505086.082, 177751.273 505086.135, 177752.767 505086.568, 177754.18 505087.261, 177755.189 505088.088, 177755.669 505088.694, 177756.154 505089.308, 177756.791 505090.631, 177757.379 505092.793, 177757.721 505094.213, 177705.672 505100.787)))"
O10002_GBI_Groenstructuur.7,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((177860.404 502866.621, 177859.57 502866.584, 177858.744 502866.474, 177857.929 502866.293, 177857.134 502866.04, 177856.364 502865.719, 177855.626 502865.332, 177854.924 502864.881, 177854.264 502864.37, 177853.652 502863.804, 177853.092 502863.185, 177852.588 502862.521, 177852.144 502861.814, 177851.764 502861.071, 177851.451 502860.298, 177851.207 502859.501, 177851.034 502858.685, 177850.93 502857.823, 177850.905 502856.956, 177850.96 502856.09, 177851.094 502855.232, 177851.305 502854.39, 177851.592 502853.572, 177851.953 502852.782, 177852.384 502852.029, 177852.882 502851.319, 177853.443 502850.656, 177854.061 502850.048, 177854.733 502849.499, 177855.452 502849.013, 177856.213 502848.595, 177857.008 502848.248, 177857.832 502847.976, 177858.677 502847.779, 177859.537 502847.661, 177860.404 502847.621, 177861.272 502847.661, 177862.134 502847.78, 177862.98 502847.977, 177863.806 502848.251, 177864.602 502848.599, 177865.364 502849.019, 177866.084 502849.506, 177866.756 502850.057, 177867.375 502850.667, 177867.936 502851.332, 177868.434 502852.045, 177868.864 502852.8, 177869.224 502853.592, 177869.51 502854.413, 177869.719 502855.257, 177869.851 502856.116, 177869.903 502856.984, 177869.878 502857.82, 177869.78 502858.651, 177869.609 502859.469, 177869.367 502860.27, 177869.055 502861.046, 177868.676 502861.792, 177868.233 502862.501, 177867.73 502863.169, 177867.169 502863.79, 177866.557 502864.359, 177865.896 502864.872, 177865.193 502865.325, 177864.453 502865.715, 177863.682 502866.037, 177862.885 502866.291, 177862.068 502866.474, 177861.239 502866.584, 177860.404 502866.621)))"
O10002_GBI_Groenstructuur.8,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((177958.719 502976.859, 177959.588 502976.898, 177960.449 502977.017, 177961.296 502977.215, 177962.121 502977.488, 177962.918 502977.837, 177963.679 502978.256, 177964.399 502978.744, 177965.072 502979.295, 177965.691 502979.905, 177966.252 502980.57, 177966.75 502981.282, 177967.18 502982.038, 177967.54 502982.829, 177967.825 502983.651, 177968.035 502984.494, 177968.166 502985.354, 177968.218 502986.222, 177968.194 502987.058, 177968.095 502987.888, 177967.924 502988.707, 177967.682 502989.508, 177967.371 502990.284, 177966.992 502991.029, 177966.549 502991.739, 177966.045 502992.407, 177965.485 502993.027, 177964.872 502993.597, 177964.212 502994.11, 177963.509 502994.563, 177962.769 502994.952, 177961.997 502995.275, 177961.2 502995.529, 177960.384 502995.711, 177959.555 502995.822, 177958.719 502995.858, 177957.886 502995.822, 177957.059 502995.712, 177956.245 502995.53, 177955.45 502995.278, 177954.68 502994.957, 177953.941 502994.569, 177953.239 502994.118, 177952.58 502993.608, 177951.967 502993.041, 177951.407 502992.423, 177950.903 502991.758, 177950.46 502991.052, 177950.08 502990.309, 177949.767 502989.536, 177949.522 502988.738, 177949.349 502987.922, 177949.246 502987.061, 177949.221 502986.193, 177949.276 502985.327, 177949.409 502984.47, 177949.62 502983.628, 177949.907 502982.809, 177950.268 502982.02, 177950.699 502981.267, 177951.197 502980.556, 177951.758 502979.894, 177952.377 502979.286, 177953.049 502978.737, 177953.768 502978.251, 177954.529 502977.833, 177955.324 502977.486, 177956.148 502977.213, 177956.993 502977.017, 177957.853 502976.898, 177958.719 502976.859)))"
O10002_GBI_Groenstructuur.9,Groenstructuur,Boomstructuur,"MULTIPOLYGON (((178058.571 503029.528, 178058.546 503030.364, 178058.448 503031.195, 178058.277 503032.014, 178058.035 503032.814, 178057.723 503033.59, 178057.344 503034.336, 178056.902 503035.045, 178056.398 503035.713, 178055.838 503036.334, 178055.225 503036.903, 178054.564 503037.416, 178053.861 503037.869, 178053.121 503038.259, 178052.35 503038.582, 178051.553 503038.835, 178050.737 503039.018, 178049.908 503039.128, 178049.072 503039.165, 178048.239 503039.128, 178047.412 503039.019, 178046.598 503038.837, 178045.803 503038.585, 178045.033 503038.263, 178044.294 503037.876, 178043.592 503037.425, 178042.932 503036.914, 178042.32 503036.348, 178041.76 503035.73, 178041.256 503035.065, 178040.812 503034.358, 178040.433 503033.616, 178040.119 503032.843, 178039.875 503032.045, 178039.702 503031.229, 178039.598 503030.367, 178039.574 503029.5, 178039.628 503028.634, 178039.762 503027.776, 178039.973 503026.935, 178040.26 503026.116, 178040.621 503025.327, 178041.052 503024.573, 178041.55 503023.863, 178042.111 503023.201, 178042.73 503022.592, 178043.402 503022.043, 178044.121 503021.558, 178044.881 503021.14, 178045.677 503020.793, 178046.5 503020.52, 178047.346 503020.323, 178048.205 503020.205, 178049.072 503020.165, 178049.941 503020.205, 178050.802 503020.324, 178051.649 503020.521, 178052.474 503020.795, 178053.271 503021.143, 178054.032 503021.563, 178054.752 503022.05, 178055.424 503022.601, 178056.044 503023.212, 178056.604 503023.876, 178057.102 503024.589, 178057.533 503025.345, 178057.892 503026.136, 178058.178 503026.957, 178058.387 503027.801, 178058.519 503028.661, 178058.571 503029.528)))"
