FID,aanlegjaar,categorie,leeftijd_doelgroep,max_valhoogte,omschrijving,toesteltype,geometrie
O10002_Speelobjecten_OD.1,2017,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((171903.939 509206.752))
O10002_Speelobjecten_OD.2,2014,speeltoestel,6-12 jaar,250 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((171882.795 509208.234))
O10002_Speelobjecten_OD.3,2005,speeltoestel,6-12 jaar,30 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((172190.019 509283.095))
O10002_Speelobjecten_OD.4,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((172073.858 509601.161))
O10002_Speelobjecten_OD.5,2000,speeltoestel,0-6 jaar,26 cm,speelvoorziening,Zandbak,MULTIPOINT ((172393.906 509055.37))
O10002_Speelobjecten_OD.6,Niet ingevuld,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Zandbak,MULTIPOINT ((172120.062 508931.655))
O10002_Speelobjecten_OD.7,2012,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((172772.415 508780.9))
O10002_Speelobjecten_OD.8,2016,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((171915.001 508740.588))
O10002_Speelobjecten_OD.9,2007,speeltoestel,6-12 jaar,134 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((171910.123 508743.966))
O10002_Speelobjecten_OD.10,2004,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Veertoestel,MULTIPOINT ((172770.019 508776.79))
O10002_Speelobjecten_OD.11,2011,speeltoestel,6-12 jaar,37 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((172271.705 508575.898))
O10002_Speelobjecten_OD.12,2005,speeltoestel,0-6 jaar,70 cm,speelvoorziening,Veertoestel,MULTIPOINT ((172144.58 508265.398))
O10002_Speelobjecten_OD.13,2006,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((172185.633 509282.42))
O10002_Speelobjecten_OD.14,2005,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((172064.919 508248.724))
O10002_Speelobjecten_OD.15,2011,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Kabelbaan,MULTIPOINT ((172259.417 509551.945))
O10002_Speelobjecten_OD.16,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((172227.999 508167.87))
O10002_Speelobjecten_OD.17,2011,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((172396.805 508715.406))
O10002_Speelobjecten_OD.18,2010,speeltoestel,6-12 jaar,145 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((172768.745 508771.792))
O10002_Speelobjecten_OD.19,2008,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((172570.895 508708.108))
O10002_Speelobjecten_OD.20,2008,speeltoestel,6-12 jaar,80 cm,speelvoorziening,Veertoestel,MULTIPOINT ((172447.795 508876.051))
O10002_Speelobjecten_OD.21,2001,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Glijbaan,MULTIPOINT ((172053.194 508327.907))
O10002_Speelobjecten_OD.22,2011,speeltoestel,6-12 jaar,90 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((172381.88 508409.845))
O10002_Speelobjecten_OD.23,2013,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((172105.973 508923.929))
O10002_Speelobjecten_OD.24,2011,speeltoestel,0-6 jaar,55 cm,speelvoorziening,Stappalen,MULTIPOINT ((172370.31 508404.325))
O10002_Speelobjecten_OD.25,2011,speeltoestel,6-12 jaar,200 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((172170.706 508540.138))
O10002_Speelobjecten_OD.26,2018,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Schommel,MULTIPOINT ((172445.624 508883.109))
O10002_Speelobjecten_OD.27,2014,speeltoestel,6-12 jaar,200 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((171917.248 509202.949))
O10002_Speelobjecten_OD.28,2001,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Veertoestel,MULTIPOINT ((172027.168 508694.671))
O10002_Speelobjecten_OD.29,2005,speeltoestel,6-12 jaar,206 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((172134.481 509224.401))
O10002_Speelobjecten_OD.30,2005,speeltoestel,6-12 jaar,55 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((172192.199 509279.434))
O10002_Speelobjecten_OD.31,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Bokspringpaal,MULTIPOINT ((172090.486 508303.042))
O10002_Speelobjecten_OD.32,2010,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((172766.764 508782.289))
O10002_Speelobjecten_OD.33,2008,speeltoestel,6-12 jaar,37 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((172434.332 508879.526))
O10002_Speelobjecten_OD.34,2005,speeltoestel,0-6 jaar,90 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((172130.867 509228.428))
O10002_Speelobjecten_OD.35,2006,speeltoestel,6-12 jaar,110 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((172029.037 508697.534))
O10002_Speelobjecten_OD.36,2010,speeltoestel,6-12 jaar,136 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((172103.806 508914.104))
O10002_Speelobjecten_OD.37,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Schommel,MULTIPOINT ((172251.833 507990.454))
