OBJECTID,STD_STRUCTUURELEMENT,VERHARDINGSTYPE,VERHARDINGSSOORT,STD_VERHARDINGSSOORT,VERHARDINGSFUNCTIE,STD_VERHARDINGSFUNCTIE,OPPERVLAKTE,RIJSTROOK,STD_RIJSTROOK,AANLEGJAAR,LENGTE,BREEDTE,BINNEN_KOM,WEGTYPE,WOONPLAATS,WIJK,BUURT,OPENBARE_RUIMTE,GlobalID,Shape__Area,Shape__Length
2836164,Woongebied,Elementen,Betonstenen,beton keiformaat,Rijbaan onverdeeld,rijbaan,176.64,Rijbaan onverdeeld,beide,1976,64.07,2.76,Y,weg in woongebied,Genemuiden,Wijk 00 Genemuiden,Binnenlanden-West,Prinses Marijkestraat,0acea454-a4a6-404d-86f0-a38f8d228e42,176.644302368164,133.650828964213
2836165,Woongebied,Elementen,Betontegels,tegels overig,Voetpad-Aanliggend links,voetpad,160,Voetpad-Aanliggend links,links,2015,72.17,2.22,Y,weg in verblijfsgebied,Genemuiden,Wijk 00 Genemuiden,Binnenlanden-West,Prinses Marijkestraat,5cba5ee0-29bf-45ed-a228-1f4dd7d387b5,160.002510070801,148.77696818027
2836166,Woongebied,Elementen,Combinatie betonsteen,betonstraatstenen overig,Parkeerstrook links,parkeervak,42.27,Parkeerstrook links,links,1978,21.38,1.98,Y,weg in woongebied,Genemuiden,Wijk 00 Genemuiden,Binnenlanden-West,Prins Bernhardstraat,5b5cc26e-9303-45a6-9b52-752d544cb872,42.269157409668,46.7076455942996
2836167,Woongebied,Elementen,Combinatie betonsteen,betonstraatstenen overig,Parkeervak links,parkeervak,67.55,Parkeervak links,links,1978,13.58,4.97,Y,weg in woongebied,Genemuiden,Wijk 00 Genemuiden,Binnenlanden-West,Prins Bernhardstraat,445de044-a1b6-4c1c-b2af-5dad5cc48522,67.5548629760742,37.1062043011765
2836168,Woongebied,Elementen,Combinatie betonsteen,beton keiformaat,Parkeerstrook links,parkeervak,23.26,Parkeerstrook links,links,2013,13.79,1.69,Y,weg in woongebied,Zwartsluis,Wijk 04 Zwartsluis,Prinsessenbuurt,Klein Lageland,32418729-8feb-4a0b-9de5-0969b013fb9c,23.2602386474609,30.9525296366027
2836169,Woongebied,Elementen,Betontegels,tegels overig,Voetpad-Aanliggend links,voetpad,96.31,Voetpad-Aanliggend links,links,1999,61.56,1.57,Y,weg in verblijfsgebied,Zwartsluis,Wijk 04 Zwartsluis,Prinsessenbuurt,Arembergerstraat,005b9b39-a470-4543-8bc7-2f6ef4864781,96.3083419799805,126.239448627688
2836170,Woongebied,Elementen,Betonstenen,beton keiformaat,Parkeerstrook rechts,parkeervak,28.23,Parkeerstrook rechts,rechts,1970,15.8,1.79,Y,weg in woongebied,Zwartsluis,Wijk 04 Zwartsluis,De Nieuwesluis,De Taanderij,a84b2a5f-ef8e-4c24-ae91-72b101c71acf,28.2281875610352,35.1743973071628
2836171,Woongebied,Elementen,Betonstenen,beton keiformaat,Rijbaan onverdeeld,rijbaan,180.09,Rijbaan onverdeeld,beide,1970,43.27,4.16,Y,weg in woongebied,Zwartsluis,Wijk 04 Zwartsluis,De Nieuwesluis,De Taanderij,b4645fb0-d7cb-4f44-a974-b094d1fba618,180.087303161621,94.8692370568766
2836172,Woongebied,Elementen,Combinatie betonsteen,betonstraatstenen overig,Parkeervak links,parkeervak,60.73,Parkeervak links,links,2003,13.04,4.66,Y,weg in woongebied,Zwartsluis,Wijk 04 Zwartsluis,Achter het Singel,Beatrixstraat,6899a6f1-9233-44d7-8f8a-ba661bffc454,60.734375,35.3908202084487
2836173,Woongebied,Elementen,Combinatie betonsteen,beton keiformaat,Parkeervak links,parkeervak,111.21,Parkeervak links,links,2003,20.64,5.39,Y,weg in woongebied,Zwartsluis,Wijk 04 Zwartsluis,Achter het Singel,Beatrixstraat,0e422094-9b39-4ab3-b591-24f14635906d,111.213653564453,52.060650537458
2836174,Woongebied,Elementen,Betontegels,tegels overig,Voetpad-Aanliggend links,voetpad,75.7,Voetpad-Aanliggend links,links,2013,37.96,1.99,Y,weg in verblijfsgebied,Zwartsluis,Wijk 04 Zwartsluis,Prinsessenbuurt,Herman Buismanlaan,5b92a5e5-22f7-406f-8c30-22942b0ff4a1,75.6959762573242,79.9034649797988
2836175,Woongebied,Elementen,Combinatie betonsteen,betonstraatstenen overig,Parkeervak links,parkeervak,39.94,Parkeervak links,links,1990,9.54,4.19,Y,weg in woongebied,Zwartsluis,Wijk 04 Zwartsluis,Prinsessenbuurt,Irenestraat,bc9f324c-4ae0-4a77-a755-550281a6a6fc,39.9420013427734,27.4451980832909
2836176,Woongebied,Elementen,Betontegels,tegels overig,Voetpad-Aanliggend rechts,voetpad,83.83,Voetpad-Aanliggend rechts,rechts,2013,51.1,1.64,Y,weg in verblijfsgebied,Zwartsluis,Wijk 04 Zwartsluis,Prinsessenbuurt,Herman Buismanlaan,2488dde4-e2ae-4ef4-9a18-e6d0fc19e78a,83.8256225585938,105.481775584377
