;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
** SDU Uitgevers;1;;;;1
@13;;;;1;1
a4 Training;;;2;;2
AAA Reclame;;;;1;1
AADWORK;;;;1;1
Abonnementenland;1;;;;1
About Image;;;;1;1
Acteursbureau Kapok B.V.;;;1;;1
Action Events B.V.;;;;1;1
Adfo Groep B.V.;1;;;;1
Adviesbureau Hollander en van der Mey B.V.;;;;4;4
Adviesburo mr. Kees Broos;;;;1;1
Agnes Loonstra;;;;1;1
Agripers B.V.;;;;1;1
Albert Heijn B.V.;;;;1;1
Altares - Dun & Bradstreet;4;;;;4
Amsterdam University Press AUP B.V.;1;;;;1
Amsterdamse Carri̬re Dagen;;;;1;1
Ana Petranovic;;;1;;1
Annalise Market Intelligence B.V.;;;;1;1
anoniem_FIN_100;;;;1;1
anoniem_FIN_101;;;;1;1
anoniem_FIN_102;;;1;;1
anoniem_FIN_103;;;1;;1
anoniem_FIN_104;;;;2;2
anoniem_FIN_105;;;;1;1
anoniem_FIN_106;;;1;;1
anoniem_FIN_107;;;;1;1
anoniem_FIN_108;;;;2;2
anoniem_FIN_109;;;;1;1
anoniem_FIN_110;;;;1;1
anoniem_FIN_85;;;1;;1
anoniem_FIN_87;;;;2;2
Arbor Media B.V.;;;;1;1
Ardis Opleidingen B.V.;;;1;;1
Arenda Oomen Fotografie;;;;1;1
Arjodima Holding B.V.;;;1;;1
Art 4 You Decorations;;;1;;1
Artihove Regina B.V.;;;1;;1
Atelier Van Zijderveld;;;;1;1
Athenas B.V.;;;1;;1
ATP Digitale Media bv;1;;;;1
Automotive Publishing B.V.;5;;;;5
AVEQ Creatieve Producties B.V.;;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;;6;6
B+B Vakmedianet B.V.;1;;;;1
B̬ta Publishers B.V.;1;;;;1
Bakker Unilmited;;;;1;1
Barrance Design;;;;1;1
Bart Versteeg Fotografie;;;;1;1
Bartelink Audit B.V.;;;1;;1
Ben Blaauw Music;;;;1;1
BENDEN B.V.;;;1;;1
Berenschot Groep B.V.;;;1;;1
