;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3000 - Uitbesteden overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
(BBP) Beerens-Business Press B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
1848 B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
24Baby.nl B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2
2B-Xclusive;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
2DOBOARD B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
31Volts;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
5st3ps lean six sigma;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.C.S. B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
A.P. van Staveren;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
A2Z-Academy Networks B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A5tien B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;1
About Flowers;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
