Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
ABC International Trade B.V.;;;;;1;1
Acal BFi Nederland BV (alle vestigingen);;;;;1;1
Alphasense Ltd;;;;;1;1
Alternate Computerversand Nederland;;;;;1;1
AquariumVerhuur;;1;;;;1
B.V. Electro Centraal E.C.;;1;;;;1
Beweging 3.0;;;;;1;1
Bio-Connect Services B.V.;;;;;1;1
bol.com B.V.;;;;;1;1
Bouw- en Aannemingsbedrijf Wulverhorst B.V.;;1;;;;1
CareFusion Netherlands 238 B.V.;;;;;1;1
Chubb Fire & Security Groningen;;1;;;;1
Co. Van Beek Generatoren;;;;;1;1
Coöperatieve Universiteit Amersfoort;;;;;1;1
Compass Group Nederland B.V.;;;;;1;1
Concept and Me onderdeel van InAmbition;;;;;1;1
Conrad Electronic Benelux B.V.;1;;;;1;1
Convergence Instruments;;;;;1;1
Convoi BV;;;;1;;1
De Wilde Metaal B.V.;;;;;1;1
Delmation Products B.V.;;;;;1;1
DMV Sales & Trade;;1;;;;1
Donkergroen B.V.;;1;;;;1
DrÃ¤ger Nederland B.V.;;;;;1;1
Drentea Kantoormeubelen;;;;;1;1
Dyzle Operations B.V.;;;;;1;1
Eager People Projecten B.V.;;;;1;;1
Eijkelkamp Soil & Water B.V.;;;;;1;1
Enexis Netbeheer B.V.;;;1;;;1
Eriks B.V.;;;;;1;1
Expl. horecagelegenheden van TT Circuit Assen;;;;;1;1
Fa. van der Neut Uw Groene Vakwinkel;;;;;1;1
Farnell (Netherlands) B.V.;;;;;1;1
FläktGroup Netherlands B.V.;;;;;1;1
Flash Services Nederland;;;;;1;1
Freedom Motors Nederland B.V.;;;;;1;1
Gem. Utrecht IBF Ontvangsten;;;;;1;1
Goudriaan Metaalwarenfabriek B.V.;;;;;1;1
Green Fortune Nederland B.V.;;1;;;;1
Hamamatsu Photonics Deutschland GmbH;;;;;1;1
Hiltra Barneveld B.V.;;;;;1;1
Hobrand B.V.;;;;;1;1
Ideetron B.V.;;;;;1;1
Indutec Amsterdam B.V.;;;;;1;1
J.P. van Eesteren B.V.;;1;;;;1
Jan Abrahams Hovenier B.V.;;1;;;;1
Jelmer Valk;;1;;;;1
Karsten Tenten B.V.;;;;;1;1
Kiwi Electronics B.V.;;;;;1;1
Koopmans Beheer, Onderhoud en Renovatie;;1;;;;1
Libelium Comunicaciones Distribuidas SL;;;;;1;1
Luijten Groentechniek B.V.;;1;;;;1
MaXXus Communications;1;;;;;1
Meetingselect B.V.;1;;;;;1
Minigrip;;;;;1;1
Modelec Data-Industrie;;;;;1;1
Mondial Movers B.V.;;1;;;;1
Newport Spectra-Physics B.V.;;;;;1;1
NHL Hogeschool;;;;;1;1
Nu-Swift Brandbeveiliging B.V.;;1;;;;1
one2one;;1;;;;1
PerkinElmer Nederland B.V.;;;;1;;1
Poolster B.V.;;1;;;;1
RS Components B.V.;;;;;1;1
Sita Ecoservice;;;;1;;1
Smeba Brandbeveiliging B.V.;;1;;;;1
Sodexo B.V.;;;;;1;1
Sortiva B.V.;;;;;1;1
Stedin Netten B.V.;;;1;;;1
Stratec Services B.V.;;;;;1;1
Technische Unie B.V.;;;;;1;1
Ter Riele Groenvoorziening;;1;;;;1
TH&P;;1;;;;1
Tinybots B.V.;;1;;;;1
TinyTronics;;;;;1;1
Wageningen Plant Research;;;;;1;1
Waters Chromatography B.V.;;;;1;;1
Weerspecialist;;;;;1;1
Wiltec Spijkenisse;;;;;1;1
www.dovekwasten.nl;;1;;;;1
Zeus Magazijninrichting B.V.;;;;;1;1
Zwart Techniek B.V.;;1;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;1;;1;;2
Greenchoice;;;2;;;2
Hericon Vastgoed B.V.;;;;;2;2
Hotel Contact B.V.;2;;;;;2
Oasis Data & Document Management Netherlands;;2;;;;2
Op ten Noort Blijdenstein B.V.;;;;;2;2
Protinus IT B.V.;;;;2;1;2
Regus;;;;;2;2
S+B Rotterdam B.V.;;2;;;;2
Synspec B.V.;;;;;2;2
Top Movers Nederland B.V.;;;;2;;2
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;;;;;2;2
Unica Security B.V.;;2;;;;2
Veiligheidstechniek Nederland B.V.;;;;;2;2
Veolia Gebouwenbeheer B.V.;;2;;;;2
Combinatie Heijmans Wegen/Heijmans Civiel;;3;;;;3
Manutan B.V.;;;;;3;3
Building Services Amersfoort B.V.;;4;;;;4
Homij Technische Installaties B.V.;;4;;;;4
WorkSphere;;4;;;;4
ARCADIS Nederland B.V.;;;;;5;5
O&M-Movianto Nederland B.V.;;;;6;;6
Bilthoven Biologicals B.V.;;8;7;3;4;8
Poonawalla Science Park B.V.;;;;;8;8
Eindtotaal;2;8;7;6;8;9
