;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Aannemersbedrijf G.B. van Hoek B.V.;2;;;;2
Albert Heijn B.V.;;1;;;1
Aliansa B.V.;1;;;;1
Ambius B.V.;1;;1;;1
Amtsgericht Heinsberg;;;;1;1
Any Lamp;1;;;;1
ASSA ABLOY Entrance Systems;1;;;;1
Avex B.V.;2;;;;2
Bomera B.V.;1;;;;1
BPM;1;;;1;1
BTL Realisatie B.V.;1;;;1;1
Bus' Handelmaatschappij B.V.;1;;;;1
CBRE B.V.;;;;2;2
Centraal Bureau voor Genealogie;;;;2;2
Chubb Fire & Security Apeldoorn;1;;;;1
Citrus Andriessen B.V.;;;;8;8
Croonwolter&dros B.V.;2;;;1;2
DPVT B.V.;1;;;;1
Drent Deuren Service;1;;;;1
Drenthen's Hout en Konstruktiebedrijf V.O.F.;;;;1;1
DTKO;1;;;;1
Dunea N.V.;;1;;;1
DVTadvies B.V.;1;;;;1
E. Witte Bouw- en Aannemersbedrijf B.V.;1;;;;1
Eneco Services B.V.;;4;;;4
Eneco Zakelijk;;3;;;3
Enexis Netbeheer B.V.;;2;;;2
Fa. C. van den Heuvel;1;;;;1
Frank B.V.;1;;;;1
Fudura B.V.;;1;;;1
Greenchoice;;5;;;5
Heijmans Utiliteit;1;;;;1
Herena Waste Management;1;;;;1
HerstelDirect B.V.;2;;;;2
Hofman Vastgoed B.V.;1;;;;1
Holtrop & Jansma B.V.;1;;;;1
ISSOS B.V.;2;;;;2
Joulz Infradiensten B.V.;;1;;;1
Kalsbeek B.V.;1;;;;1
KPN HotSpots;;;;1;1
Lasaulec B.V.;1;;;;1
Leijdsman Installaties B.V.;1;;;;1
Leylines B.V.;;1;;;1
Lo Minck Systemen B.V.;1;;;;1
Loes Huis- en Tuindiensten;1;;;;1
Loodgietersbedrijf Lantsink & Koning B.V.;1;;;;1
Marqit B.V.;1;;;;1
Maurice v. Kalleveen, Loodg.- & Inst.bedr.;1;;;;1
Mondial Movers B.V.;;;2;;2
N.V. Waterbedrijf Groningen;;1;;;1
NCOD THOP B.V.;;;;2;2
Nederhof hoveniers;1;;;;1
P. Westerhof t.h.o.d.n. Vivante Groningen;2;;;;2
P.T.B. Transportmiddelen B.V.;1;;;;1
Q-Park Off Street Exploitatie B.V.;1;;;;1
ROHDE & GRAHL B.V.;1;;;1;1
Scheeres Handelmaatschappij B.V.;2;;;;2
Schreuder-Ruitenbeek B.V.;;1;;;1
Securiteit Winkels B.V.;1;;;;1
Skyworks B.V.;1;;;;1
Stedin Netbeheer B.V.;;2;;;2
Stichting Goed Bezig in Groningen;2;;;1;3
Stichting Het Spijk;;1;;;1
Stichting New Sound;;;;1;1
Stichting Videma;1;;;;1
Strukton Worksphere B.V.;1;;;;1
Studio Van Eijk & Van der Lubbe;1;;;;1
Ter Hoeven & Partners B.V.;1;;;;1
UTS Abbink Den Haag;;;2;;2
Van der Molen Brandstoffen B.V.;1;;;;1
Van Lente Systeemintegratie B.V.;1;;;;1
Vitens N.V.;1;1;;;1
Werkplekzonwering;1;;;;1
YIP;1;;;;1
Zie Displays;1;;;;1
Ziggo B.V.;1;;;;1
Eindtotaal;5;6;3;8;8
