Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;1;;1
Albron Travel Catering;2;;;;2
Ambius B.V.;1;;;;1
B.V. Van Vliet Groep Milieu-Dienstverleners;;;1;;1
Blom Group B.V.;1;;;;1
Cleanbuilding B.V.;2;;;;2
Croon Elektrotechniek B.V.;1;;;;1
De Sleutel- en Slotenspecialist B. Bosman;1;;;;1
Eneco Services B.V.;;2;;;2
ENGIE Services West B.V.;2;;;;2
Faas Audiovisuele Dienstverlening;1;;;;1
Groenewegen Elektrotechniek;2;;;;2
H.S. Systemen B.V.;1;;;1;1
Heijmans Utiliteit;3;;;;3
In2Content B.V.;1;;;;1
Inbraakpreventie 'M.I.B.' B.V.;1;;;;1
Ipse de Bruggen Maatwerk;1;;;;1
Manutan B.V.;1;;;;1
Nauta Services B.V.;1;;;;1
Out of The Sun;1;;;;1
PBT Consult B.V.;1;;;;1
Perinco Real Estate II B.V.;;;;2;2
Propertyview B.V.;;;;4;4
Q-Park Europarking;1;;;;1
Satellietkantoor Utrecht;;1;;;1
SBK-Amsterdam;1;;;;1
Siemens Nederland N.V.;1;;;;1
Stedin;;1;;;1
Stedin Meetbedrijf B.V.;;1;;;1
Stichting Videma;1;;;;1
Top Movers Nederland B.V.;1;;2;;2
Trigion Beveiliging B.V.;4;;;;4
Van Dorp installaties Amsterdam;1;;;;1
Van Duijnen Koffie B.V.;1;;;;1
Verschoor Schilders B.V.;3;;;;3
Verwey Vastgoed B.V.;;;;2;2
Video Schaay B.V.;1;;;;1
Vierhout Metaal B.V.;1;;;;1
Voorberg Bouwkunde B.V.;2;;;;2
Voskamp Beveiligingstechniek Soest B.V.;1;;;;1
Ziggo Holding B.V.;1;;;;1
Eindtotaal;6;2;2;4;6
