OBJECTID,AUTOMAATNR,STRAATNAAM,ZONEBELPARKEREN,BETAALTIJDEN,TARIEF,BUURTNR,WIJKNR,GEBIEDSNR,LON,LAT,X,Y
1,9002,Markt / Arien Verhoeffstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9097593,51.9780195,190902.38,443419.426
2,9003,Markt / Prinsenhof,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9108029,51.9779196,190974.155,443408.83
3,9005,Rijnkade / Vossenstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,1,1,1,5.9029811,51.9787851,190436.082,443501.275
4,9006,Nieuwe Kade,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,39,3,1,5.9133616,51.9749677,191152.328,443081.692
5,9008,Velperbuitensingel,26075,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,11,2,1,5.9150138,51.9827795,191259.537,443951.617
6,9009,Koningsplein,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9136633,51.9803340,191168.731,443678.87
7,9012,Beekstraat / Broerenstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9122315,51.9797307,191070.854,443611.03
8,9016,Bergstraat / Oude Kraan,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,4,1,1,5.9012083,51.9817872,190311.92,443834.409
9,9020,Eusebiusbinnensingel / Oranjewachtstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9131181,51.9773096,191133.715,443342.116
10,9021,Eusebiusbuitensingel / Westervoortsedijk,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,38,3,1,5.9154456,51.9773493,191293.592,443347.691
11,9025,Oude Kraan / Onderlangs,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,70,1,1,5.8996700,51.9822513,190205.878,443885.296
12,9027,Eusebiusbuitensingel / Parkstraat,26071,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,2.25,12,2,1,5.9160367,51.9794216,191332.525,443578.542
13,9029,Prinsenhof / Oranjewachtstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9119877,51.9772403,191056.105,443333.848
14,9031,Jansbinnensingel ,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,3,1,1,5.9088898,51.9842226,190837.679,444109.126
15,9033,Beekstraat / Damstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9125882,51.9795279,191095.522,443588.648
16,9034,Beekstraat Catharinaplaats,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9119782,51.9802886,191053.004,443672.974
17,9048,Rijnkade / afrit Rodenburgstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,1,1,1,5.9071602,51.9770127,190724.607,443306.133
18,9056,Trans / Rodenburgstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,1,1,1,5.9076177,51.9783266,190754.997,443452.54
19,9057,Turfstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9085289,51.9789185,190817.125,443518.843
20,9065,Kadestraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9117029,51.9762452,191037.337,443222.988
21,9066,Oude Kraan / blauwe golven 1,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,4,1,1,5.9013630,51.9813261,190322.912,443783.193
22,9068,Langstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,1,1,1,5.9049408,51.9800392,190569.723,443641.764
23,9072,Trans / Weerdjesstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,1,1,1,5.9061328,51.9787530,190652.638,443499.244
24,9074,Arien Verhoeffstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,1,1,1,5.9077486,51.9779799,190764.265,443414.037
25,9076,Bergstraat / Stationsplein,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,70,1,1,5.9003471,51.9831628,190251.676,443987.034
26,9079,Stationsplein,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,4,1,1,5.9011700,51.9833899,190308.024,444012.698
27,9087,Eusebiusbinnensingel / Nijmeegseweg,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9133028,51.9784069,191145.522,443464.283
28,9099,Walburgstraat,26001,ma t/m za 09.00-23.00 uur zondag 12.00-23.00 uur,3.40,0,1,1,5.9120459,51.9787265,191058.91,443499.219
