FID,fotonaam,fotonummer,fotodatum,fototijd,camera,diafragma,sluitertyd,contractor,gsd,x,y,z,roll,pitch,yaw,gdb_geomattr_data,shape
beeldmiddenoverzicht_lrl_2020.1,2020_05_06_07_29_11_002160001_RGBI_lrl,2160001,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,224095.099,408091.995,6253.926,-1.3727,-0.089,199.7263,,POINT (224095.09899999946 408091.99500000104)
beeldmiddenoverzicht_lrl_2020.2,2020_05_06_07_29_17_002160002_RGBI_lrl,2160002,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,223278.228,408099.779,6255.939,0.6859,0.0407,199.7185,,POINT (223278.22800000012 408099.77899999917)
beeldmiddenoverzicht_lrl_2020.3,2020_05_06_07_29_23_002160003_RGBI_lrl,2160003,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,222485.936,408094.528,6254.705,0.3369,-0.4204,199.8072,,POINT (222485.9360000007 408094.52800000086)
beeldmiddenoverzicht_lrl_2020.4,2020_05_06_07_29_29_002160004_RGBI_lrl,2160004,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,221677.529,408078.969,6257.536,0.3601,-0.3561,199.7969,,POINT (221677.52899999917 408078.9690000005)
beeldmiddenoverzicht_lrl_2020.5,2020_05_06_07_29_35_002160005_RGBI_lrl,2160005,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,220881.702,408070.101,6259.057,0.2367,-0.36,199.805,,POINT (220881.70199999958 408070.1009999998)
beeldmiddenoverzicht_lrl_2020.6,2020_05_06_07_29_40_002160006_RGBI_lrl,2160006,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,220087.828,408067.84,6261.182,0.0085,-0.0616,199.745,,POINT (220087.8280000016 408067.83999999985)
beeldmiddenoverzicht_lrl_2020.7,2020_05_06_07_29_46_002160007_RGBI_lrl,2160007,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,219291.099,408072,6261.969,0.1053,-0.0907,199.7845,,POINT (219291.09899999946 408072)
beeldmiddenoverzicht_lrl_2020.8,2020_05_06_07_29_52_002160008_RGBI_lrl,2160008,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,218482.749,408076.459,6261.328,0.1208,-0.0787,199.8049,,POINT (218482.7490000017 408076.45899999887)
beeldmiddenoverzicht_lrl_2020.9,2020_05_06_07_29_58_002160009_RGBI_lrl,2160009,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,217682.668,408077,6258.538,0.0411,-0.0729,199.7585,,POINT (217682.66800000146 408077)
beeldmiddenoverzicht_lrl_2020.10,2020_05_06_07_30_04_002160010_RGBI_lrl,2160010,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,216883.372,408075.192,6258.452,0.0686,-0.0616,199.8393,,POINT (216883.37200000137 408075.19200000167)
beeldmiddenoverzicht_lrl_2020.11,2020_05_06_07_30_10_002160011_RGBI_lrl,2160011,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,216083.151,408072.091,6258.77,0.0605,-0.0135,199.7552,,POINT (216083.15100000054 408072.09099999815)
beeldmiddenoverzicht_lrl_2020.12,2020_05_06_07_30_15_002160012_RGBI_lrl,2160012,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,215295.135,408070.156,6257.364,0.0029,-0.0508,199.728,,POINT (215295.13500000164 408070.1559999995)
beeldmiddenoverzicht_lrl_2020.13,2020_05_06_07_30_21_002160013_RGBI_lrl,2160013,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,214492.578,408070.267,6259.845,0.0962,-0.0607,199.7669,,POINT (214492.5780000016 408070.2670000009)
beeldmiddenoverzicht_lrl_2020.14,2020_05_06_07_30_27_002160014_RGBI_lrl,2160014,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,213691.967,408071.674,6260.728,0.0948,-0.0477,199.8256,,POINT (213691.96700000018 408071.6739999987)
beeldmiddenoverzicht_lrl_2020.15,2020_05_06_07_30_33_002160015_RGBI_lrl,2160015,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,212888.76,408074.548,6259.421,0.0403,-0.0556,199.7683,,POINT (212888.76000000164 408074.5480000004)
beeldmiddenoverzicht_lrl_2020.16,2020_05_06_07_30_38_002160016_RGBI_lrl,2160016,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,212087.852,408077.986,6259.195,0.0688,-0.0506,199.7209,,POINT (212087.85200000182 408077.98600000143)
beeldmiddenoverzicht_lrl_2020.17,2020_05_06_07_30_44_002160017_RGBI_lrl,2160017,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,211286.431,408079.304,6258.71,-0.0136,-0.0529,199.7969,,POINT (211286.43100000173 408079.3040000014)
beeldmiddenoverzicht_lrl_2020.18,2020_05_06_07_30_50_002160018_RGBI_lrl,2160018,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,210497.52,408076.982,6259.043,0.0581,-0.0589,199.8331,,POINT (210497.51999999955 408076.9820000008)
beeldmiddenoverzicht_lrl_2020.19,2020_05_06_07_30_56_002160019_RGBI_lrl,2160019,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,209692.842,408074.34,6259.708,-0.0032,-0.037,199.7763,,POINT (209692.84200000018 408074.33999999985)
beeldmiddenoverzicht_lrl_2020.20,2020_05_06_07_31_02_002160020_RGBI_lrl,2160020,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,208890.723,408073.751,6260.524,-0.024,-0.0512,199.7466,,POINT (208890.72300000116 408073.7509999983)
beeldmiddenoverzicht_lrl_2020.21,2020_05_06_07_31_07_002160021_RGBI_lrl,2160021,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,208085.968,408075.36,6260.882,-0.0458,-0.0622,199.8358,,POINT (208085.96799999848 408075.3599999994)
beeldmiddenoverzicht_lrl_2020.22,2020_05_06_07_31_13_002160022_RGBI_lrl,2160022,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,207295.624,408077.454,6260.727,-0.0595,-0.029,199.7517,,POINT (207295.6240000017 408077.4539999999)
beeldmiddenoverzicht_lrl_2020.23,2020_05_06_07_31_19_002160023_RGBI_lrl,2160023,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,206491.302,408078.98,6259.485,0.0503,-0.0553,199.7486,,POINT (206491.30200000107 408078.98000000045)
beeldmiddenoverzicht_lrl_2020.24,2020_05_06_07_31_25_002160024_RGBI_lrl,2160024,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,205686.256,408078.227,6259.312,-0.0257,-0.0574,199.8483,,POINT (205686.25600000098 408078.2270000018)
beeldmiddenoverzicht_lrl_2020.25,2020_05_06_07_31_30_002160025_RGBI_lrl,2160025,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,204893.111,408075.277,6259.296,0.0658,-0.0352,199.7577,,POINT (204893.11100000143 408075.27699999884)
beeldmiddenoverzicht_lrl_2020.26,2020_05_06_07_31_36_002160026_RGBI_lrl,2160026,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,204084.092,408070.713,6259.21,0.1289,-0.0425,199.7219,,POINT (204084.09200000018 408070.7129999995)
beeldmiddenoverzicht_lrl_2020.27,2020_05_06_07_31_42_002160027_RGBI_lrl,2160027,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,203290.332,408070.12,6259.46,0.086,-0.0425,199.7427,,POINT (203290.33199999854 408070.12000000104)
beeldmiddenoverzicht_lrl_2020.28,2020_05_06_07_31_48_002160028_RGBI_lrl,2160028,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,202483.007,408068.973,6259.498,0.0105,-0.0508,199.7748,,POINT (202483.00699999928 408068.97300000116)
beeldmiddenoverzicht_lrl_2020.29,2020_05_06_07_31_53_002160029_RGBI_lrl,2160029,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,201688.87,408071.602,6260.512,0.0779,-0.0633,199.7502,,POINT (201688.87000000104 408071.6020000018)
beeldmiddenoverzicht_lrl_2020.30,2020_05_06_07_31_59_002160030_RGBI_lrl,2160030,2020-05-06T00:00:00,175,UC-EpII-1-82416042-f100,6.7,175,Geocart,25,200879.189,408075.656,6260.122,-0.0001,-0.0636,199.7269,,POINT (200879.1889999993 408075.6559999995)
