Handelsnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
@llbidigit B.V.;;;;;3;;;;;3
123Accu B.V.;;;;;;;;1;;1
4walls;;;;;;;;1;;1
A. de Jong T.H. Beheer;;;;;;;;1;;1
AB Sciex Netherlands B.V.;;;;;;;;2;;2
Abtronix B.V.;;;;;;;;1;;1
Achterhoek Antennebouw Aalten B.V.;;1;;;;;;;;1
AED Service Nederland B.V.;;1;;;;;;;;1
AENC Audiovisual;;;;;;;1;;;1
AG Connect B.V.;;;;;;;;1;;1
Agilent Technologies Sanigi B.V.;;;;;;;;1;;1
Agro Buren B.V.;;;;;;;;1;;1
Ahrend Nederland B.V.;;;;;;;2;4;;4
AIS-Scanology B.V.;;;;;;;;1;;1
Albert Nolten Schoenen B.V.;;;;;;;;1;;1
Albron Nederland B.V.;6;;;;;;;;;6
Alewijnse Industrie B.V.;;;;;;;;1;;1
Alleleijn Informatie Verzorging AIV B.V.;;;;;1;;;;;1
Alles voor de lunch;1;;;;;;;;;1
Allindus;;;1;;;;;;;1
Alticom B.V.;;;;;;;1;;;1
Alvero Kantoormeubelverhuur B.V.;;;;;;;1;2;;2
Ambius B.V.;;;;;;;1;;;1
Ann's Art;;;;;;;;1;;1
Antalis B.V.;;;;;;;;1;;1
Antea Nederland B.V.;;;;;1;;;;;1
Appèl@Work;1;;;;;;;;;1
Arcadis Aqumen Facility Management;5;4;4;;;;;;;6
ARSprintmedia B.V.;;;;;1;;;;;1
Art 4 You Decorations;;;;;;;;1;;1
ArtTest B.V.;;;;;;;;1;;1
Asito B.V.;;;2;;;;;;;2
Asito BV;;;1;;;;;;;1
ASSA ABLOY Entrance Systems;;;;;;;1;;;1
ASSA ABLOY Nederland B.V.;;;;;;;;1;;1
ATK Grootkeukentechniek B.V.;1;;;;;;;;;1
ATN Beveiliging B.V.;;1;;;;;;;;1
ATN Bewaking B.V.;;1;;;;;;;;1
Atoomclub Management B.V.;;;;;;;2;;;2
Atos Nederland B.V.;;;;1;;;;;;1
Automatic Signal Rijsenhout B.V.;;;;;;;;1;;1
AUV Groothandel B.V.;;;;;;;;1;;1
Avilo Stikstof en Perslucht Systemen B.V.;;;;;;;;1;;1
Azbil Telstar Benelux B.V.;;;;;;;;1;;1
B & R Klimaattechniek V.O.F.;;;;;;;;1;;1
B.M.I. Bedrijfsmeubels Import Nederland B.V.;;;;;;;1;;;1
B.V. Etap;;;;;;;;1;;1
B.V. Glazenwasserij G. Raggers & Zn.;;;1;;;;;;;1
Bakkerij Henk Post;1;;;;;;;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;;;;;;2;;2
Bax-shop.nl B.V.;;;;;;;;1;;1
Bedrijfs- en Kantineservice C. de Rooij B.V.;;;;;;;;1;;1
Ben de Graaff Projekt B.V.;;;;;;;1;;;1
Benly;1;;;;;;;;;1
Benscore B.V.;;;;;;;;1;;1
Besam  Nederland b.v.;;;;;;;1;;;1
Beun- de Ronde B.V.;;;;;;;;1;;1
Beurtvaartadres document B.V.;;;;;1;;;;;1
Bever Boek en Kaart;;;;;;;1;;;1
Bio-Connect B.V.;;;;;;;;1;;1
bioMérieux Benelux B.V.;;;;;;;;1;;1
Bio-Rad Laboratories B.V.;;;;;;;;2;;2
Biozymtc B.V.;;;;;;;;2;;2
Birkhoff B.V.;;1;;;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;;;;1;;1
Bloemstylist Hans Zijlstra;;;;;;;1;;;1
bol.com B.V.;;;;;;;1;;;1
Boom B.V.;;;;1;;;;1;;1
Boon Edam Nederland B.V.;;;;;;;;1;;1
Bos Gerechtsdeurwaarderskantoor bv;;;;;;;;;1;1
Bouter B.V.;;;;;;;;1;;1
Bouwbedrijf De Boer B.V.;;;;;;;1;;;1
Bowling- & Partycentrum Groningen B.V.;;;;;;;1;;;1
BPI Services B.V.;;1;;;;;;;;1
Brandpreventie Groep B.V.;;1;;;;;;;;1
Bredenoord International B.V.;;;;;;;;2;;2
Breijer Contractonderhoud B.V.;;;;;;;3;2;;3
Bronson Incubator Services B.V.;;;;;;;;1;;1
Bruker Nederland B.V.;;;;;;;;2;;2
Buram Electro B.V.;;;;;;;;1;;1
Buro van Riel B.V.;;;1;;;;;;;1
Busch & Van der Worp;;;;;;;;1;;1
C J Wildbird Foods Limited;;;;;;;;1;;1
C.I.V. Lauwerszee Lauwersoog B.V.;;;;;;;;1;;1
Caliz B.V.;;;;;;;;1;;1
Canon Nederland N.V.;;;;;2;;;2;;3
Cantine Service;6;;;;;;;;;6
Capgemini Nederland B.V.;;;2;1;;;1;1;;2
Capriole Coffee Service;1;;;;;;;;;1
Card Vision B.V.;;1;;;;;;;;1
Carl Zeiss B.V.;;;;;;;;2;;2
Cendris Dataconsulting B.V.;;;;1;;;;;;1
Centenna Electronics;;;;;;;;1;;1
Certafix B.V.;;;1;;;;;;;1
Chair Repair;;;;;;;1;;;1
Cheeseworks;;;;;1;;;;;1
Chris Struijk;;;;;;1;;;;1
Chubb Fire & Security Alkmaar;;1;;;;;;;;1
Chubb Fire & Security Amsterdam;;1;;;;;;;;1
Chubb Nederland B.V.;;1;;;;;;;;1
Cifoda B.V.;;;;;;;;2;;2
C-Mark B.V.;;;1;;;;;;;1
Codor Dorned B.V.;;;1;;;;;;;1
Cold Tex B.V.;;;;;;;;1;;1
Colliers International REMS Offices;;;;;;;1;;;1
Commissie van Beheer Rijkskantoorgebouw Hanzelaan;;1;;1;;;;;;1
Communicatie Bureau Podium B.V.;;;;;1;;;;;1
Compass Group Nederland B.V.;6;;;;;;;;;6
Conrad Electronic Benelux B.V.;;1;1;;;;1;1;;1
Consensus Advies en Bemiddeling B.V.;;;;1;;;;;;1
Coolblue B.V.;;;;;;;1;1;;1
Coolwater Service Zuid B.V.;1;;;;;;;;;1
Coöp. In- en Verkoopver. 'Den Oever' UA;;;;;;;;1;;1
Cormet Schoolcatering B.V.;1;;;;;;;;;1
Couriers Sneltransport;;;;1;;;;;;1
Creator Meeting Support B.V.;;;;;;;1;;;1
Croon Elektrotechniek B.V.;;2;;;;;2;;;2
Crowd Support B.V.;;2;;;;;;;;2
CSU Airport Services;;;2;;;;;;;2
CSU Total Care;;;1;;;;;;;1
Cuna International B.V.;;1;;;;;;;;1
CWS Nederland B.V.;;;3;;;;;;;3
Cycloon Fietskoeriers Groningen;;;;1;;;;;;1
DARE ! ! Calibrations;;;;1;;;;1;;1
Data B. Mailservice B.V.;;;;1;2;;;;;2
De Groene Weide;1;;;;;;;;;1
De Haan Westerhoff;;;;;;;1;;;1
De Koningh Coding & Labeling B.V.;;;;;1;;;1;;1
De Lage Landen Vendorlease B.V.;;;;;;;;1;;1
De Stempelplaats B.V.;;;;;;;;1;;1
De Vries Projekt Design B.V.;;;;;;;1;;;1
De Waterreus;1;;;;;;;;;1
Deadan.com. B.V.;;;;;;;1;;;1
Deelen Metaaltechniek en Zonweringen;;;;;;;;1;;1
