FID,omschr,aant_dgk,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,vnrwol,gdb_geomattr_data,shape
doelgroepstroken_wegvak.1,Busstrook,1 -> 1,H,600143882,2021-10-01T00:00:00,146,172,060014388220211001,KLK0008127934,L,I,5,,"LINESTRING (193405.47569999844 455128.21709999815, 193401.8264000006 455102.7509999983)"
doelgroepstroken_wegvak.2,Busstrook,1 -> 1,H,600143882,2021-10-01T00:00:00,23,146,060014388220211001,KLK0008127935,L,I,4,,"LINESTRING (193422.92339999974 455249.9732999988, 193405.47569999844 455128.21709999815)"
doelgroepstroken_wegvak.3,Busstrook,1 -> 1,H,600143872,2021-10-01T00:00:00,163,186,060014387220211001,KLK0008127985,L,I,5,,"LINESTRING (193747.99069999903 456954.8288999982, 193739.93079999834 456933.1037000008)"
doelgroepstroken_wegvak.4,Busstrook,1 -> 1,H,600144928,2021-10-01T00:00:00,0,23,060014492820211001,KLK0008127985,L,I,5,,"LINESTRING (193735.48800000176 456955.29100000113, 193739.93079999834 456933.1037000008)"
doelgroepstroken_wegvak.5,Busstrook,1 -> 1,H,600143872,2021-10-01T00:00:00,27,163,060014387220211001,KLK0008127986,L,I,4,,"LINESTRING (193793.82620000094 457082.8645000011, 193789.7302000001 457070.5137999989, 193779.51559999958 457041.1603000015, 193759.08790000156 456984.7408999987, 193747.99069999903 456954.8288999982)"
doelgroepstroken_wegvak.6,Busstrook,1 -> 1,H,387313008,2021-10-01T00:00:00,21,175,038731300820211001,KLK0008127993,R,I,4,,"LINESTRING (193768.73950000107 456972.8291000016, 193782.1409999989 457009.45540000126, 193795.61030000076 457047.11939999834, 193808.5749000013 457084.9648000002, 193819.44839999825 457118.2270999998)"
doelgroepstroken_wegvak.7,Busstrook,1 -> 1,H,600148036,2021-10-01T00:00:00,266,304,060014803620211001,KLK0008130497,L,I,2,,"LINESTRING (197609.5186999999 466452.84490000084, 197573.72610000148 466439.84699999914)"
doelgroepstroken_wegvak.8,Busstrook,1 -> 1,T,67202003,2021-10-01T00:00:00,1877,2023,006720200320211001,KLK0008132257,M,I,2,,"LINESTRING (35385.615499999374 401498.3258000016, 35400.90709999949 401495.70809999853, 35420.552600000054 401491.95109999925, 35437.09820000082 401488.4587999992, 35456.5978000015 401483.9288999997, 35475.98250000179 401479.0058999993, 35500.39429999888 401472.1094000004, 35514.900400001556 401467.6779999994, 35527.28869999945 401463.6708999984)"
doelgroepstroken_wegvak.9,Busstrook,1 -> 1,H,67202003,2021-10-01T00:00:00,1855,2004,006720200320211001,KLK0008132260,M,I,2,,"LINESTRING (35363.86199999973 401501.59910000116, 35366.84420000017 401501.21599999815, 35381.16750000045 401499.0872000009, 35400.90709999949 401495.70809999853, 35420.552600000054 401491.95109999925, 35437.09820000082 401488.4587999992, 35456.5978000015 401483.9288999997, 35475.98250000179 401479.0058999993, 35500.39429999888 401472.1094000004, 35509.18149999902 401469.42500000075)"
doelgroepstroken_wegvak.10,Busstrook,1 -> 1,H,600093467,2021-10-01T00:00:00,27,177,060009346720211001,KLK0008132322,R,I,2,,"LINESTRING (33093.09180000052 401059.21930000186, 33082.52650000155 401051.60909999907, 33066.72170000151 401039.3528999984, 33053.41149999946 401028.7153999992, 33037.97309999913 401015.94139999896, 33022.84670000151 401002.85649999976, 33004.213100001216 400985.84739999846, 32989.67870000005 400972.0573000014, 32979.264800000936 400961.77160000056)"
doelgroepstroken_wegvak.11,Busstrook,1 -> 1,H,65201011,2021-10-01T00:00:00,919,994,006520101120211001,KLK0008132350,M,I,2,,"LINESTRING (32535.851599998772 400014.53069999814, 32510.085000000894 399948.7067000009, 32508.5410999991 399944.6799999997)"
doelgroepstroken_wegvak.12,Busstrook,1 -> 1,T,65201011,2021-10-01T00:00:00,818,889,006520101120211001,KLK0008132351,M,I,2,,"LINESTRING (32572.547600001097 400108.6283, 32562.72049999982 400083.1704999991, 32546.787099998444 400042.46660000086)"
doelgroepstroken_wegvak.13,Busstrook,1 -> 1,H,600120460,2021-10-01T00:00:00,253,340,060012046020211001,KLK0008133980,R,I,4,,"LINESTRING (107726.48589999974 398653.0656000003, 107712.11320000142 398649.36349999905, 107684.93620000035 398643.0399999991, 107665.39909999818 398638.72260000184, 107645.75290000066 398634.97729999945, 107641.59409999847 398634.11769999936)"
doelgroepstroken_wegvak.14,Busstrook,1 -> 1,H,600120460,2021-10-01T00:00:00,340,512,060012046020211001,KLK0008133981,R,I,3,,"LINESTRING (107641.59409999847 398634.11769999936, 107626.16459999979 398630.9285000004, 107587.03069999814 398624.317400001, 107567.24049999937 398621.4015999995, 107547.4188000001 398618.73310000077, 107527.56650000066 398616.30490000173, 107507.67639999837 398614.1739999987, 107487.76040000096 398612.24610000104, 107471.10200000182 398610.8845000006)"
doelgroepstroken_wegvak.15,Busstrook,1 -> 1,H,255367020,2021-10-01T00:00:00,85,89,025536702020211001,KLK0008046786,R,I,2,,"LINESTRING (127691.1799999997 483514.9321999997, 127693.41290000081 483511.9506999999)"
doelgroepstroken_wegvak.16,Busstrook,1 -> 1,H,255367026,2021-10-01T00:00:00,0,101,025536702620211001,KLK0008046786,R,I,2,,"LINESTRING (127693.41290000081 483511.9506999999, 127705.37990000099 483495.9257000014, 127714.18279999867 483483.4708000012, 127722.78180000186 483470.51469999924, 127736.1323999986 483449.3773000017, 127741.70050000027 483441.0692999996, 127750.58749999851 483428.74280000106)"
doelgroepstroken_wegvak.17,Busstrook,1 -> 1,H,255367026,2021-10-01T00:00:00,101,134,025536702620211001,KLK0008046795,R,I,3,,"LINESTRING (127750.58749999851 483428.74280000106, 127751.09200000018 483428.04300000146, 127757.19729999825 483420.1229999997, 127763.69159999862 483412.15370000154, 127770.309799999 483404.6563999988, 127771.57730000094 483403.3000999987)"
