Nummer;Totaal van;Jaar;Maand;Type;Land bij nationaliteit;Aantal AMV
9;Jaar, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;;2.190
10;Jaar, Maand, Aantal AMV;2021;1;Alleenstaande minderjarige vreemdelingen;;90
10;Jaar, Maand, Aantal AMV;2021;2;Alleenstaande minderjarige vreemdelingen;;70
10;Jaar, Maand, Aantal AMV;2021;3;Alleenstaande minderjarige vreemdelingen;;70
10;Jaar, Maand, Aantal AMV;2021;4;Alleenstaande minderjarige vreemdelingen;;80
10;Jaar, Maand, Aantal AMV;2021;5;Alleenstaande minderjarige vreemdelingen;;80
10;Jaar, Maand, Aantal AMV;2021;6;Alleenstaande minderjarige vreemdelingen;;120
10;Jaar, Maand, Aantal AMV;2021;7;Alleenstaande minderjarige vreemdelingen;;140
10;Jaar, Maand, Aantal AMV;2021;8;Alleenstaande minderjarige vreemdelingen;;260
10;Jaar, Maand, Aantal AMV;2021;9;Alleenstaande minderjarige vreemdelingen;;270
10;Jaar, Maand, Aantal AMV;2021;10;Alleenstaande minderjarige vreemdelingen;;380
10;Jaar, Maand, Aantal AMV;2021;11;Alleenstaande minderjarige vreemdelingen;;350
10;Jaar, Maand, Aantal AMV;2021;12;Alleenstaande minderjarige vreemdelingen;;280
11;Jaar, Land bij nationaliteit, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;Afghanistan;90
11;Jaar, Land bij nationaliteit, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;Algeria;70
11;Jaar, Land bij nationaliteit, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;Eritrea;240
11;Jaar, Land bij nationaliteit, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;Ethiopia;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;Gambia;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2021;;Alleenstaande minderjarige vreemdelingen;Iraq;160
