Verkiezing;Gemeente;Stembureau_naam/totaal;Stembureau_nummer;Opgeroepenen;Geldige stempas;Geldig volmachtbewijs;Geldige kiezerspas;Toegelaten kiezers;Toegelaten kiezers (briefstembureaus gemeente);Geldige stembiljetten;Blanco stembiljetten;Ongeldige stembiljetten;Aangetroffen stembiljetten;Meer stembiljetten dan toegelaten kiezers;Minder stembiljetten dan toegelaten kiezers;Kiezers met stembiljet hebben niet gestemd;Er zijn te weinig stembiljetten uitgereikt;Er zijn te veel stembiljetten uitgereikt;Geen stembiljet in enveloppe (briefstembureaus);Meer stembiljetten in een enveloppe (briefstembureaus);Geen verklaring;Andere verklaring;Stembureau_woonplaats;Stembureau_wijknaam;Stembureau_buurtnaam;Stembureau_straatnaam;Stembureau_huisnummer;Stembureau_huisnummer_toevoeging;Stembureau_postcode;Stembureau_latitude;Stembureau_longitude;Stembureau_x;Stembureau_y;Stembureau_BAG_referentie_nummer;CBS_gemeentecode;CBS_wijkcode;CBS_buurtcode
TK2021;Stichtse Vecht;Gemeentekantoor;1;1153;1934;202;6;2142;0;2129;3;8;2140;0;2;0;0;0;0;0;2;0;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;De Vondel;2;1369;455;48;0;503;0;501;1;1;503;0;0;0;0;0;0;0;0;0;Maarssen;Maarssen;Lanenkwartier;Achter Maria Dommer;8;;3601 EX;5.038439;52.143581;131126.48;461767.63;333100000009480;G1904;WK190401;BK19040109
TK2021;Stichtse Vecht;Basisschool De Klaroen;3;1655;939;128;0;1067;0;1065;2;2;1069;2;0;0;0;2;0;0;0;0;Maarssen;Maarssen;Zeeheldenbuurt;Michiel Adriaanszoon de Ruyterstraat;2;;3601 TJ;5.042356;52.146364;131396.04;462075.99;333100000013689;G1904;WK190401;BK19040115
TK2021;Stichtse Vecht;Gymzaal Huis ten Bosch;4;1766;1005;113;3;1121;0;1120;0;1;1121;0;0;0;0;0;0;0;0;0;Maarssen;Maarssen;Schilderskwartier;Huis ten Boschstraat;7;;3601 AA;5.048083;52.1411;131785.32;461488.47;333100000018238;G1904;WK190401;BK19040112
TK2021;Stichtse Vecht;Basisschool Het Kompas;5;3698;2721;259;3;2983;0;2974;4;0;2978;3;2;0;0;0;0;0;2;0;Maarssen;Maarssen;Zandweg-Oostwaard;Buitenweg;328;;3602 ZK;5.053434;52.136105;132149.07;460931.07;333100000017478;G1904;WK190401;BK19040105
TK2021;Stichtse Vecht;OVVO hal;6;1336;840;83;3;926;0;925;1;0;926;0;0;0;0;0;0;0;0;0;Maarssen;Maarssen;Op Buuren;Sportparkweg;9;;3604 AW;5.060945;52.124606;132657.53;459649.31;333100000014618;G1904;WK190401;BK19040104
TK2021;Stichtse Vecht;Dorpshuis De Veenkluit;7;1476;825;103;2;930;0;929;1;0;930;0;0;0;0;0;0;0;0;0;Tienhoven;Tienhoven;Tienhoven-Oud Maarsseveen;Ds. Ulferslaan;25;;3612 BH;5.082458;52.165755;134149.99;464221.18;333100000012122;G1904;WK190407;BK19040703
TK2021;Stichtse Vecht;Het Trefpunt;9;1691;568;46;1;615;0;615;0;0;615;0;0;0;0;0;0;0;0;0;Maarssen;Maarssen;Componistenbuurt;Kerkweg;21;;3603 CL;5.042615;52.137657;131409.17;461107.21;333100000016021;G1904;WK190401;BK19040108
TK2021;Stichtse Vecht;Sportzaal Bloemstede;10;1642;822;78;3;903;0;901;0;2;903;0;0;0;0;0;0;0;0;0;Maarssen;Maarssenbroek;Bloemstede;Bloemstede;223;;3608 TA;5.03372;52.126709;130794.26;459892.08;333100000014424;G1904;WK190412;BK19041209
TK2021;Stichtse Vecht;De Shelter Scouting, naast ambulancepost;11;1294;790;55;1;846;0;843;0;0;843;0;3;0;0;0;0;0;3;0;Maarssen;Maarssenbroek;Boomstede;Floraweg;16;;3608 BW;5.034363;52.121621;130835.6;459325.7;333100000017447;G1904;WK190412;BK19041204
TK2021;Stichtse Vecht;Sportzaal Fazantenkamp;12;1655;767;95;1;863;0;863;0;0;863;0;0;0;0;0;0;0;0;0;Maarssen;Maarssenbroek;Fazantenkamp;Fazantenkamp;163;;3607 CH;5.01746;52.131639;129683.64;460446.14;333100000018077;G1904;WK190412;BK19041203
TK2021;Stichtse Vecht;Kerkcentrum De Ark;13;1636;1964;241;1;2206;0;2194;3;2;2199;0;7;0;0;0;0;0;7;0;Maarssen;Maarssenbroek;Duivenkamp;Duivenkamp;844;;3607 WG;5.02648;52.130903;130300.81;460361.09;333100000018656;G1904;WK190412;BK19041208
TK2021;Stichtse Vecht;RK Verrijzenisgemeenschap;14;1662;1803;174;4;1981;0;1976;3;4;1983;2;0;0;0;0;0;0;2;0;Maarssen;Maarssenbroek;Reigerskamp;Reigerskamp;611;;3607 JK;5.018255;52.132692;129738.64;460562.99;333100000020946;G1904;WK190412;BK19041205
