OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Area,Shape__Length
1,a30a14fc28cb4479980aafa502cb3bae,2022/11/01 07:30:32+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,23.022087,"23,022087",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,150044.599547,491226.205,52.40883921,5.31437894,4431.506781,283,,4431.506781,742.66070987503
2,26abe02da29048fbae4bff6f86ce373d,2022/10/27 08:39:10+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,14.588567,"14,588567",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,142952.830517,487351.552,52.373906,5.21029622,1111.430895,283,,1111.430895,229.682747812902
3,deeb693350b941a48155a5b8aeb058e0,2022/11/01 07:30:32+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,19.140606,"19,140606",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,147021.2275,488872.642862,52.38765098,5.27000285,5094.729437,283,,5094.729437,764.799796308056
4,e78a7ad80b50687de0530b29a8c0c22a,2022/09/05 12:19:26+00,L0004,Prorail,bestaand,0,gesloten verharding,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,21.721312,"21,721312",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,148964.6445,490501.458736,52.40231476,5.29852075,7.9794,283,,7.9794,12.2447975057153
5,8aa99dd44f9e4b598e6fc960246b873a,2022/11/01 07:30:32+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,18.677407,"18,677407",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,146753.1575,488495.241503,52.38425512,5.26607439,6677.230413,283,,6677.230413,949.849654426469
6,21350bc1327d4a5e8af6f8a85de92f67,2020/09/18 18:07:09+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,37.844076,"37,844076",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,160649.697,500159.599773,52.48912037,5.47038457,1896.862084,283,,1896.862084,335.098217268099
7,d61a03ad8ae642088cf826139b9396cb,2022/11/01 07:30:32+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,19.853087,"19,853087",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,147425.8975,489457.35107,52.39291178,5.27593393,1489.435383,283,,1489.435383,277.028921693447
8,8c0be67084aa45d4b15f8d86ead0b5a0,2022/10/27 08:39:11+00,L0004,Prorail,bestaand,0,half verhard,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,13.243513,"13,243513",Randstad Noord,RN,Weesp,11,BAAN,Amstelsepoort,BAAN,Randstad Noord,RN,ProRail,141754.597515,486772.086,52.36867045,5.19272354,3260.198676,283,,3260.198676,626.919923090493
9,86b41363efdd47dc911e3101957bf927,2022/10/19 13:45:45+00,L0004,Prorail,bestaand,0,half verhard,087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,20.342287,"20,342287",Randstad Noord,RN,Amersfoort,12,BAAN,Eemland,BAAN,Randstad Noord,RN,ProRail,138072.740912,477993.33,52.28966965,5.13910467,6382.508609,283,,6382.5086085,1144.38882812366
10,70c8336595f3488e8dc315bd188a8328,2022/02/03 08:33:26+00,L0004,Prorail,bestaand,0,half verhard,127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,59.585661,"59,585661",Zuid,Z,Goes,18,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,40660.612972,391650.787,51.50225155,3.74034938,10343.052634,283,,10343.0526335,1751.3372189038
