;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8510 - Diversen communicatie;Eindtotaal
Adformatie Groep BV;;1;;;;1
Aeclipse;;1;;;;1
Arenda Oomen Fotografie;;;;;1;1
B+B Vakmedianet B.V.;;1;;;;1
Banketbakkerij Boheemen;;;;1;;1
Blendle B.V.;;1;;;;1
Bobbe International B.V.;;2;;;;2
Boekhandel Donner B.V.;;;;1;;1
Boom uitgevers Den Haag;;1;;;;1
Broekhuizen Communicatie;;1;;;;1
Buyitdirect.com B.V.;;1;;;;1
CareerGuide;;1;;;;1
COMPAREX Nederland B.V.;;4;;;;4
Coosto B.V.;;1;;;;1
CreditProfessionals B.V.;;1;;;;1
de Persgroep Nederland B.V.;;1;;;;1
DPI;;2;;;;2
EMMA Communicatie B.V.;;1;;;;1
Entopic B.V.;;1;;;;1
Expo Display Service;;1;;;;1
Fotografie : Paul Voorham;1;;;;1;1
Giant Publicity B.V.;;1;;;;1
Graveer Atelier Glass Tattoo Lansingerland;;;;1;;1
GW Cross Media B.V.;;1;;;;1
Het Financieele Dagblad B.V.;;1;;;;1
Het Notuleercentrum B.V.;;2;;;;2
Hollandse Hoogte B.V.;;1;;;;1
I & O Research B.V.;;3;;;;3
I. en P.M. Inform. en Procesmanagement B.V.;;1;;;;1
Ivo Broekhuizen Communicatie;;;;;2;2
Kahoot AS;;1;;;;1
Kompaan;;;;1;;1
KPN B.V.;;1;;;;1
Leonidas;;;;1;;1
Livewords;;;1;;;1
Magazijn 'De Bijenkorf' B.V.;;;;1;;1
Mainpress B.V.;;2;;;;2
Managementboek.nl;;1;;;;1
ManagementBoxx B.V.;;3;;1;;3
Martijn Beekman Fotografie;;1;;;;1
Maters & Hermsen Journalistiek B.V.;;1;;;;1
Moduli Print B.V.;;1;;;;1
Nationale Beeldbank B.V.;;1;;;;1
Nederl. Vereniging Voor Arbeidsverhoudingen;;1;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;1;;;;1
Nevi B.V.;;1;;;;1
Oomph Advies;;1;;;;1
Pardon Consult;;1;;;;1
Pejoha B.V.;;1;;;;1
Persmanager B.V.;;1;;;;1
Petersen Holding B.V.;;1;;;;1
Phil Nijhuis Fotografie;;1;;;;1
Porter Novelli B.V.;;2;;;;2
Preventcare B.V.;;1;;;;1
Publiquest, de Communicatie Coöperatie UA;;1;;;;1
Sdu Uitgevers B.V.;;1;;;;1
Smart.pr B.V.;;1;;;;1
Solvinity;;1;;;;1
Stichting Accessibility;;1;;;;1
Stichting De Schrijverscentrale;;;;1;;1
Stichting Middin;;;;1;;1
Sylvia Roes Communicatie;;1;;;;1
Tekstburo Gort B.V.;;1;;;;1
TenderData;;1;;;;1
Things To Make And Do B.V.;;1;;;;1
ToCa B.V.;;;2;;;2
Vakmedianet BouwCommunities B.V.;;1;;;;1
Vakmedianet Management B.V.;;1;;;;1
Van Stockum, Belinfante & Coebergh B.V.;;1;;;;1
VOC Uitgevers B.V.;;1;;;;1
Void Media B.V.;;1;;;;1
Wolters Kluwer Nederland B.V.;;1;;;;1
Xerox (Nederland) B.V.;;;;1;;1
Zoom Script B.V.;;1;;;;1
Eindtotaal;1;5;2;1;2;6
