product;provincie;gemeente;feitcode;omschrijving;zaken;bedrag
OM-afdoening;Groningen;Appingedam;A917A;Met een motorrijtuig, niet zijnde brom-fiets,rijden zonder vereiste verzekering;1;600
OM-afdoening;Groningen;Appingedam;D515;Door het bevoegd gezag naar zijn naamgevraagd een valse naam opgeven;1;380
OM-afdoening;Groningen;Appingedam;D517;Niet voldoen aan verplichting om identi-teitsbewijs ter inzage aan te bieden;6;570
OM-afdoening;Groningen;Appingedam;D537;Zonder gerechtigd bevinden op grondwaarvan toegang blijkbare wijze verboden;4;192
OM-afdoening;Groningen;Appingedam;E211B;Als persoon jonger dan 18 alcohol aan-wezig hebben waar dit niet is toegestaan;1;95
OM-afdoening;Groningen;Appingedam;F185;Binnen bebouwde kom buiten daarvoor be-stemde plaats zijn behoefte doen;4;560
OM-afdoening;Groningen;Appingedam;GA300B;Rijden onder invloed, alcoholgehalteadem bedraagt: 355 t/m 435 µg/l;1;425
OM-afdoening;Groningen;Appingedam;GA302E;Rijden onder invloed, alcoholgehalteadem bedraagt: 235 t/m 350 µg/l;1;125
OM-afdoening;Groningen;Appingedam;GA305A;Rijden onder invloed, alcoholgehalteadem 95 t/m 230µg/l.(beg. bestuurder);1;300
OM-afdoening;Groningen;Appingedam;H012;cat.huish.afv.st.,die zndr inz.midd.moetaangeb,niet op voorgeschr.wijze t.i.aanb;1;95
OM-afdoening;Groningen;Appingedam;K055;Rijden zonder geldig rijbewijs;3;1060
OM-afdoening;Groningen;Appingedam;S005C;Niet voldoende afst.houden bij snelhedenv.>80 km/h en t/m 100 km/h, afstand >3m.;1;430
OM-afdoening;Groningen;Appingedam;VA035;Overschrijding max. snelheid binnenbebouwde kom, van 31 tot 35 km/h;1;370
OM-afdoening;Groningen;Appingedam;VA040;Overschrijding max. snelheid binnenbebouwde kom, van 35 tot 40 km/h;1;460
OM-afdoening;Groningen;Appingedam;VF040;Overschrijding max snelheid (auto)wegenbuiten bebouwde kom, van 35-40 km/h;1;410
OM-afdoening;Groningen;Appingedam;VF045;Overschrijding max snelheid (auto)wegenbuiten bebouwde kom, van 40-45 km/h;1;510
Wahv;Groningen;Appingedam;A902;voor een bromfiets niet de vereisteverzekering afsluiten en in stand hou-den;8;2860
Wahv;Groningen;Appingedam;A915;voor een motorrijtuig niet de vereisteverzekering afsluiten en in stand hou-den;13;5200
Wahv;Groningen;Appingedam;K045B;voor het motorrijtuig met een toegestanemaximummassa v 3500 kg of minder heefthet keuringsbewijs geldigheid verloren;10;1400
Wahv;Groningen;Appingedam;K150C;Niet op eerste vordering behoorlijk hetrijbewijs ter inzage afgeven;1;95
Wahv;Groningen;Appingedam;N270S;Als bestuurder van een voertuig rijden,terwijl twee banden niet voldoen aan deeisen t.a.v.de profilering;2;420
Wahv;Groningen;Appingedam;N310A;Als bestuurder van een voertuig rijden,terwijl de reminrichting/onderdelen nietdeugdelijk is/zijn;1;240
Wahv;Groningen;Appingedam;N400D;Als bestuurder van een voertuig rijden,terwijl niet is voorzien van een goedfunctionerende losbreekreminrichting;1;140
Wahv;Groningen;Appingedam;N514M;als best. van een voertuig rijden, ter-wijl voertuig niet voorzien is van goedwerkende zijretroreflectoren;2;190
Wahv;Groningen;Appingedam;N560;als bestuurder van een voertuig rijden,terwijl de dimlichten niet aan de eisenvoldoen;1;95
Wahv;Groningen;Appingedam;P380;Verlichting aanhangwagen, is nietzodanig aangesloten, dat deze overeen-komen met trekkend voertuig;1;140
Wahv;Groningen;Appingedam;R315B;niet de rijbaan gebruiken door stil testaan op het het trottoir, voetpad,(brom)fietspad of ruiterpad;7;665
Wahv;Groningen;Appingedam;R395;voertuig zodanig op de weg laten staandat gevaar wordt/kan worden veroorzaaktof verkeer wordt/kan worden gehinderd;1;140
Wahv;Groningen;Appingedam;R397A;Parkeren bij een kruispunt binnen 5meter daarvan;5;475
Wahv;Groningen;Appingedam;R397B;Parkeren voor een in- en/of uitrit;2;190
Wahv;Groningen;Appingedam;R397J;parkeren buiten parkeervak bij één vande borden E4 tot en met E10, E12 ofE13 v/d bijlage I van het RVV 1990;1;95
Wahv;Groningen;Appingedam;R400AB;Motorvoertuig parkeren by blauwe streepterwijl toegestane parkeertijd is verstreken;2;190
Wahv;Groningen;Appingedam;R400AE;motorvtg op meer dan twee wielen parker-en bij blw. streep terw niet is voorzienv/e duidelijke geplaatste parkeerschijf;32;3040
Wahv;Groningen;Appingedam;R400AF;parkeren bij blauwe streep terwijl opparkeerschijf niet juiste tijdstip beginparkeren is weergegeven;6;570
Wahv;Groningen;Appingedam;R402B;Parkeren op gehandicaptenparkeerplaatszonder duidelijk zichtbaregeldige gehand. parkeerkaart;2;760
Wahv;Groningen;Appingedam;R406;voertuig laten staan in park, plantsoen,openbare beplantingen of groenstroken;1;95
Wahv;Groningen;Appingedam;R438K;geen voortdurend zichtbaar wit/geellicht a.d voorzijde en/of zichtbaar roodlicht a.d. achterzijde van fiets voeren;4;193
Wahv;Groningen;Appingedam;R533;als bestuurder of passagier geen gebruikmaken van een autogordel;6;840
Wahv;Groningen;Appingedam;R535F;passagier jonger dan 12 jaar en korterdan 1.35 meter vervoeren zonder gebruikkinderbeveiligingssysteem;1;140
Wahv;Groningen;Appingedam;R536A;Bestuurder of passagier bromfiets draagtgeen goedgekeurde, goedpassende/ deugde-lijk bevestigde helm;1;95
Wahv;Groningen;Appingedam;R545;als bestuurder tijdens het rijden eenmobiel elektronisch apparaat vasthouden;9;2080
Wahv;Groningen;Appingedam;R548;Geen voorrang verlenen bij voorrangsweg.;1;240
Wahv;Groningen;Appingedam;R551B;Handelen ism een geslotenverkla-ring (bord C 2 van het RVV 1990. een-richtingverkeer);2;280
